# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.158596 ,-0.008154 ,8.000328  ,8.000000  ,0.000000  ,-0.088543 ,100.000000,0.015050  ,-1.109659 
0.020000  ,0.001057  ,-0.011290 ,7.969736  ,8.000000  ,0.026598  ,0.033817  ,0.000000  ,0.016156  ,-1.218424 
0.040000  ,0.160476  ,-0.014681 ,7.975685  ,8.000000  ,0.025475  ,0.050678  ,0.090000  ,0.022150  ,-1.190279 
0.060000  ,0.320019  ,-0.018329 ,7.982648  ,8.000000  ,0.016429  ,-0.058924 ,0.170000  ,0.026422  ,-1.024120 
0.080000  ,0.479475  ,-0.022166 ,7.968338  ,8.000000  ,0.012078  ,-0.013244 ,0.170000  ,0.029305  ,-0.781632 
0.100000  ,0.638810  ,-0.026108 ,7.970047  ,8.000000  ,0.007431  ,0.067701  ,0.260000  ,0.030967  ,-0.499524 
0.120000  ,0.798254  ,-0.030064 ,7.979114  ,8.000000  ,0.002362  ,0.067622  ,0.340000  ,0.025993  ,-0.202357 
0.140000  ,0.957872  ,-0.033934 ,7.987331  ,8.000000  ,0.003028  ,-0.043926 ,0.430000  ,0.026556  ,0.089518  
0.160000  ,1.117463  ,-0.037612 ,7.976571  ,8.000000  ,0.007917  ,-0.050783 ,0.520000  ,0.026297  ,0.366329  
0.180000  ,1.276860  ,-0.040999 ,7.967155  ,8.000000  ,0.012546  ,-0.032580 ,0.520000  ,0.025197  ,0.623452  
0.200000  ,1.436174  ,-0.044010 ,7.967180  ,8.000000  ,0.016806  ,-0.171913 ,0.600000  ,0.023315  ,0.853604  
0.220000  ,1.594994  ,-0.046559 ,7.919301  ,8.000000  ,0.020611  ,-0.010226 ,0.690000  ,0.019701  ,1.071621  
0.240000  ,1.753433  ,-0.048576 ,7.925844  ,8.000000  ,0.023853  ,-0.031449 ,0.770000  ,0.016924  ,1.264874  
0.260000  ,1.911983  ,-0.050001 ,7.929808  ,8.000000  ,0.026494  ,0.039264  ,0.860000  ,0.013504  ,1.415542  
0.280000  ,2.070680  ,-0.050783 ,7.939970  ,8.000000  ,0.028470  ,0.025730  ,0.860000  ,0.009440  ,1.528941  
0.300000  ,2.229560  ,-0.050883 ,7.947932  ,8.000000  ,0.029759  ,0.016952  ,0.950000  ,0.007959  ,1.610721  
0.320000  ,2.388582  ,-0.050274 ,7.954340  ,8.000000  ,0.030323  ,0.088175  ,1.030000  ,0.003393  ,1.669572  
0.340000  ,2.547789  ,-0.048934 ,7.966765  ,8.000000  ,0.030141  ,0.002718  ,1.120000  ,-0.001916 ,1.707809  
0.360000  ,2.707144  ,-0.046851 ,7.970103  ,8.000000  ,0.029199  ,-0.125384 ,1.200000  ,-0.008027 ,1.732995  
0.380000  ,2.866178  ,-0.044191 ,7.937234  ,8.000000  ,0.027641  ,0.092943  ,1.200000  ,-0.013499 ,1.720330  
0.400000  ,3.025039  ,-0.041103 ,7.951690  ,8.000000  ,0.025646  ,0.013447  ,1.290000  ,-0.010437 ,1.588506  
0.420000  ,3.184093  ,-0.037620 ,7.957423  ,8.000000  ,0.023239  ,0.109091  ,1.380000  ,-0.012152 ,1.332049  
0.440000  ,3.343339  ,-0.033834 ,7.971504  ,8.000000  ,0.020509  ,0.014444  ,1.460000  ,-0.012603 ,1.009686  
0.460000  ,3.502760  ,-0.029857 ,7.975491  ,8.000000  ,0.017569  ,0.090416  ,1.550000  ,-0.011997 ,0.660279  
0.480000  ,3.662326  ,-0.025810 ,7.986160  ,8.000000  ,0.014517  ,-0.008581 ,1.550000  ,-0.010503 ,0.311350  
