# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.020000  ,0.001610  ,0.000000  ,0.170729  ,8.000000  ,0.039862  
0.020000  ,0.001610  ,0.000000  ,0.170729  ,8.000000  ,0.039862  
0.040000  ,0.006927  ,0.000001  ,0.360929  ,8.000000  ,0.039847  
0.040000  ,0.006927  ,0.000001  ,0.360929  ,8.000000  ,0.039847  
0.060000  ,0.016047  ,0.000034  ,0.551129  ,8.000000  ,0.039790  
0.060000  ,0.016047  ,0.000034  ,0.551129  ,8.000000  ,0.039790  
0.080000  ,0.028969  ,0.000293  ,0.741329  ,8.000000  ,0.039497  
0.080000  ,0.028969  ,0.000293  ,0.741329  ,8.000000  ,0.039497  
0.100000  ,0.045692  ,0.000705  ,0.931529  ,8.000000  ,0.039040  
0.100000  ,0.045692  ,0.000705  ,0.931529  ,8.000000  ,0.039040  
0.120000  ,0.066217  ,0.001264  ,1.121729  ,8.000000  ,0.038426  
0.120000  ,0.066217  ,0.001264  ,1.121729  ,8.000000  ,0.038426  
0.140000  ,0.090543  ,0.001984  ,1.311929  ,8.000000  ,0.037642  
0.140000  ,0.090543  ,0.001984  ,1.311929  ,8.000000  ,0.037642  
0.160000  ,0.118669  ,0.002885  ,1.502129  ,8.000000  ,0.032331  
0.160000  ,0.118669  ,0.002885  ,1.502129  ,8.000000  ,0.032331  
0.180000  ,0.150595  ,0.003992  ,1.692329  ,8.000000  ,0.032613  
0.180000  ,0.150595  ,0.003992  ,1.692329  ,8.000000  ,0.032613  
0.200000  ,0.186318  ,0.005335  ,1.882529  ,8.000000  ,0.032825  
0.200000  ,0.186318  ,0.005335  ,1.882529  ,8.000000  ,0.032825  
0.220000  ,0.225839  ,0.006929  ,2.072729  ,8.000000  ,0.032951  
0.220000  ,0.225839  ,0.006929  ,2.072729  ,8.000000  ,0.032951  
0.240000  ,0.269161  ,0.008647  ,2.262929  ,8.000000  ,0.033117  
0.240000  ,0.269161  ,0.008647  ,2.262929  ,8.000000  ,0.033117  
0.260000  ,0.316285  ,0.010509  ,2.453129  ,8.000000  ,0.036690  
0.260000  ,0.316285  ,0.010509  ,2.453129  ,8.000000  ,0.036690  
0.280000  ,0.367209  ,0.012546  ,2.643329  ,8.000000  ,0.035076  
0.280000  ,0.367209  ,0.012546  ,2.643329  ,8.000000  ,0.035076  
0.300000  ,0.421932  ,0.014784  ,2.833529  ,8.000000  ,0.033293  
0.300000  ,0.421932  ,0.014784  ,2.833529  ,8.000000  ,0.033293  
0.320000  ,0.480453  ,0.017245  ,3.023729  ,8.000000  ,0.031318  
0.320000  ,0.480453  ,0.017245  ,3.023729  ,8.000000  ,0.031318  
0.340000  ,0.542771  ,0.019948  ,3.213929  ,8.000000  ,0.028693  
0.340000  ,0.542771  ,0.019948  ,3.213929  ,8.000000  ,0.028693  
0.360000  ,0.608885  ,0.022909  ,3.404129  ,8.000000  ,0.026702  
0.360000  ,0.608885  ,0.022909  ,3.404129  ,8.000000  ,0.026702  
0.380000  ,0.678795  ,0.026146  ,3.594329  ,8.000000  ,0.024492  
0.380000  ,0.678795  ,0.026146  ,3.594329  ,8.000000  ,0.024492  
0.400000  ,0.752499  ,0.029672  ,3.784529  ,8.000000  ,0.021786  
0.400000  ,0.752499  ,0.029672  ,3.784529  ,8.000000  ,0.021786  
0.420000  ,0.830001  ,0.033407  ,3.974729  ,8.000000  ,0.019533  
0.420000  ,0.830001  ,0.033407  ,3.974729  ,8.000000  ,0.019533  
0.440000  ,0.911307  ,0.037253  ,4.164929  ,8.000000  ,0.017241  
0.440000  ,0.911307  ,0.037253  ,4.164929  ,8.000000  ,0.017241  
0.460000  ,0.996416  ,0.041195  ,4.355129  ,8.000000  ,0.014958  
0.460000  ,0.996416  ,0.041195  ,4.355129  ,8.000000  ,0.014958  
0.480000  ,1.085330  ,0.045211  ,4.545329  ,8.000000  ,0.012452  
0.480000  ,1.085330  ,0.045211  ,4.545329  ,8.000000  ,0.012452  
0.500000  ,1.178050  ,0.049281  ,4.735529  ,8.000000  ,0.009922  
0.500000  ,1.178050  ,0.049281  ,4.735529  ,8.000000  ,0.009922  
0.520000  ,1.274575  ,0.053382  ,4.925729  ,8.000000  ,0.007564  
0.520000  ,1.274575  ,0.053382  ,4.925729  ,8.000000  ,0.007564  
0.540000  ,1.374907  ,0.057494  ,5.115929  ,8.000000  ,0.005226  
0.540000  ,1.374907  ,0.057494  ,5.115929  ,8.000000  ,0.005226  
0.560000  ,1.479047  ,0.061600  ,5.306129  ,8.000000  ,0.003108  
0.560000  ,1.479047  ,0.061600  ,5.306129  ,8.000000  ,0.003108  
0.580000  ,1.586994  ,0.065684  ,5.496329  ,8.000000  ,0.001073  
0.580000  ,1.586994  ,0.065684  ,5.496329  ,8.000000  ,0.001073  
0.600000  ,1.698750  ,0.069730  ,5.686529  ,8.000000  ,0.000782  
0.600000  ,1.698750  ,0.069730  ,5.686529  ,8.000000  ,0.000782  
0.620000  ,1.814313  ,0.073726  ,5.876729  ,8.000000  ,0.000000  
0.620000  ,1.814313  ,0.073726  ,5.876729  ,8.000000  ,0.000000  
0.640000  ,1.933685  ,0.077659  ,6.066929  ,8.000000  ,0.004071  
0.640000  ,1.933685  ,0.077659  ,6.066929  ,8.000000  ,0.004071  
0.660000  ,2.056846  ,0.081519  ,6.253251  ,8.000000  ,0.005318  
0.660000  ,2.056846  ,0.081519  ,6.253251  ,8.000000  ,0.005318  
0.680000  ,2.183469  ,0.085280  ,6.412668  ,8.000000  ,0.006414  
0.680000  ,2.183469  ,0.085280  ,6.412668  ,8.000000  ,0.006414  
0.700000  ,2.313247  ,0.088918  ,6.568382  ,8.000000  ,0.007276  
0.700000  ,2.313247  ,0.088918  ,6.568382  ,8.000000  ,0.007276  
0.720000  ,2.445997  ,0.092412  ,6.709454  ,8.000000  ,0.007737  
0.720000  ,2.445997  ,0.092412  ,6.709454  ,8.000000  ,0.007737  
0.740000  ,2.581348  ,0.095734  ,6.828297  ,8.000000  ,0.007990  
0.740000  ,2.581348  ,0.095734  ,6.828297  ,8.000000  ,0.007990  
0.760000  ,2.718931  ,0.098854  ,6.932315  ,8.000000  ,0.007927  
0.760000  ,2.718931  ,0.098854  ,6.932315  ,8.000000  ,0.007927  
0.780000  ,2.858729  ,0.101752  ,7.049058  ,8.000000  ,0.007389  
0.780000  ,2.858729  ,0.101752  ,7.049058  ,8.000000  ,0.007389  
0.800000  ,3.000439  ,0.104535  ,7.123744  ,8.000000  ,0.006695  
0.800000  ,3.000439  ,0.104535  ,7.123744  ,8.000000  ,0.006695  
0.820000  ,3.143726  ,0.107321  ,7.206649  ,8.000000  ,0.005890  
0.820000  ,3.143726  ,0.107321  ,7.206649  ,8.000000  ,0.005890  
0.840000  ,3.288517  ,0.110142  ,7.274375  ,8.000000  ,0.004891  
0.840000  ,3.288517  ,0.110142  ,7.274375  ,8.000000  ,0.004891  
0.860000  ,3.434717  ,0.113053  ,7.347625  ,8.000000  ,0.003920  
0.860000  ,3.434717  ,0.113053  ,7.347625  ,8.000000  ,0.003920  
0.880000  ,3.582191  ,0.116116  ,7.402325  ,8.000000  ,0.002982  
0.880000  ,3.582191  ,0.116116  ,7.402325  ,8.000000  ,0.002982  
0.900000  ,3.730909  ,0.119400  ,7.472273  ,8.000000  ,0.002140  
0.900000  ,3.730909  ,0.119400  ,7.472273  ,8.000000  ,0.002140  
0.920000  ,3.880772  ,0.122968  ,7.517714  ,8.000000  ,0.001336  
0.920000  ,3.880772  ,0.122968  ,7.517714  ,8.000000  ,0.001336  
0.940000  ,4.031536  ,0.126872  ,7.563196  ,8.000000  ,0.000822  
0.940000  ,4.031536  ,0.126872  ,7.563196  ,8.000000  ,0.000822  
0.960000  ,4.183184  ,0.131021  ,7.606720  ,8.000000  ,0.000429  
0.960000  ,4.183184  ,0.131021  ,7.606720  ,8.000000  ,0.000429  
0.980000  ,4.335705  ,0.135299  ,7.650875  ,8.000000  ,0.000040  
0.980000  ,4.335705  ,0.135299  ,7.650875  ,8.000000  ,0.000040  
1.000000  ,4.489078  ,0.139688  ,7.692171  ,8.000000  ,0.000477  
1.000000  ,4.489078  ,0.139688  ,7.692171  ,8.000000  ,0.000477  
1.020000  ,4.643156  ,0.144125  ,7.721619  ,8.000000  ,0.001001  
1.020000  ,4.643156  ,0.144125  ,7.721619  ,8.000000  ,0.001001  
1.040000  ,4.797770  ,0.148531  ,7.745807  ,8.000000  ,0.000000  
1.040000  ,4.797770  ,0.148531  ,7.745807  ,8.000000  ,0.000000  
1.060000  ,4.952816  ,0.152974  ,7.764940  ,8.000000  ,0.002431  
1.060000  ,4.952816  ,0.152974  ,7.764940  ,8.000000  ,0.002431  
1.080000  ,5.108435  ,0.157535  ,7.803199  ,8.000000  ,0.003192  
1.080000  ,5.108435  ,0.157535  ,7.803199  ,8.000000  ,0.003192  
1.100000  ,5.264530  ,0.162194  ,7.813139  ,8.000000  ,0.004104  
1.100000  ,5.264530  ,0.162194  ,7.813139  ,8.000000  ,0.004104  
1.120000  ,5.420812  ,0.166964  ,7.822170  ,8.000000  ,0.004924  
1.120000  ,5.420812  ,0.166964  ,7.822170  ,8.000000  ,0.004924  
1.140000  ,5.577304  ,0.171890  ,7.834671  ,8.000000  ,0.005700  
1.140000  ,5.577304  ,0.171890  ,7.834671  ,8.000000  ,0.005700  
1.160000  ,5.734165  ,0.177031  ,7.859552  ,8.000000  ,0.006374  
1.160000  ,5.734165  ,0.177031  ,7.859552  ,8.000000  ,0.006374  
1.180000  ,5.891373  ,0.182452  ,7.870429  ,8.000000  ,0.006983  
1.180000  ,5.891373  ,0.182452  ,7.870429  ,8.000000  ,0.006983  
1.200000  ,6.048774  ,0.188212  ,7.880092  ,8.000000  ,0.007297  
1.200000  ,6.048774  ,0.188212  ,7.880092  ,8.000000  ,0.007297  
1.220000  ,6.206123  ,0.194364  ,7.867545  ,8.000000  ,0.000000  
1.220000  ,6.206123  ,0.194364  ,7.867545  ,8.000000  ,0.000000  
1.240000  ,6.363384  ,0.200887  ,7.872004  ,8.000000  ,0.007055  
1.240000  ,6.363384  ,0.200887  ,7.872004  ,8.000000  ,0.007055  
1.260000  ,6.520536  ,0.207668  ,7.858551  ,8.000000  ,0.006628  
1.260000  ,6.520536  ,0.207668  ,7.858551  ,8.000000  ,0.006628  
1.280000  ,6.677674  ,0.214648  ,7.870553  ,8.000000  ,0.006189  
1.280000  ,6.677674  ,0.214648  ,7.870553  ,8.000000  ,0.006189  
1.300000  ,6.835180  ,0.221820  ,7.896076  ,8.000000  ,0.005598  
1.300000  ,6.835180  ,0.221820  ,7.896076  ,8.000000  ,0.005598  
1.320000  ,6.993183  ,0.229119  ,7.920708  ,8.000000  ,0.004989  
1.320000  ,6.993183  ,0.229119  ,7.920708  ,8.000000  ,0.004989  
1.340000  ,7.151125  ,0.236425  ,7.891926  ,8.000000  ,0.004455  
1.340000  ,7.151125  ,0.236425  ,7.891926  ,8.000000  ,0.004455  
1.360000  ,7.308755  ,0.243629  ,7.887768  ,8.000000  ,0.004092  
1.360000  ,7.308755  ,0.243629  ,7.887768  ,8.000000  ,0.004092  
1.380000  ,7.466589  ,0.250661  ,7.911037  ,8.000000  ,0.004076  
1.380000  ,7.466589  ,0.250661  ,7.911037  ,8.000000  ,0.004076  
1.400000  ,7.624692  ,0.257591  ,7.914355  ,8.000000  ,0.004187  
1.400000  ,7.624692  ,0.257591  ,7.914355  ,8.000000  ,0.004187  
1.420000  ,7.782948  ,0.264497  ,7.926169  ,8.000000  ,0.004401  
1.420000  ,7.782948  ,0.264497  ,7.926169  ,8.000000  ,0.004401  
1.440000  ,7.941429  ,0.271367  ,7.936645  ,8.000000  ,0.004732  
1.440000  ,7.941429  ,0.271367  ,7.936645  ,8.000000  ,0.004732  
1.460000  ,8.100110  ,0.278230  ,7.946238  ,8.000000  ,0.005196  
1.460000  ,8.100110  ,0.278230  ,7.946238  ,8.000000  ,0.005196  
1.480000  ,8.258799  ,0.285139  ,7.938073  ,8.000000  ,0.005643  
1.480000  ,8.258799  ,0.285139  ,7.938073  ,8.000000  ,0.005643  
