# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.040000  ,0.006942  ,-0.000001 ,0.361380  ,8.000000  ,0.039849  
0.040000  ,0.006942  ,-0.000001 ,0.361380  ,8.000000  ,0.039849  
0.060000  ,0.016072  ,0.000021  ,0.551580  ,8.000000  ,0.039802  
0.060000  ,0.016072  ,0.000021  ,0.551580  ,8.000000  ,0.039802  
0.080000  ,0.029003  ,0.000265  ,0.741780  ,8.000000  ,0.039524  
0.080000  ,0.029003  ,0.000265  ,0.741780  ,8.000000  ,0.039524  
0.100000  ,0.045736  ,0.000657  ,0.931980  ,8.000000  ,0.039088  
0.100000  ,0.045736  ,0.000657  ,0.931980  ,8.000000  ,0.039088  
0.120000  ,0.066271  ,0.001175  ,1.122180  ,8.000000  ,0.038515  
0.120000  ,0.066271  ,0.001175  ,1.122180  ,8.000000  ,0.038515  
0.140000  ,0.090611  ,0.001701  ,1.312380  ,8.000000  ,0.037925  
0.140000  ,0.090611  ,0.001701  ,1.312380  ,8.000000  ,0.037925  
0.160000  ,0.118749  ,0.002513  ,1.502580  ,8.000000  ,0.032706  
0.160000  ,0.118749  ,0.002513  ,1.502580  ,8.000000  ,0.032706  
0.180000  ,0.150683  ,0.003615  ,1.692780  ,8.000000  ,0.032993  
0.180000  ,0.150683  ,0.003615  ,1.692780  ,8.000000  ,0.032993  
0.200000  ,0.186422  ,0.004781  ,1.882980  ,8.000000  ,0.033383  
0.200000  ,0.186422  ,0.004781  ,1.882980  ,8.000000  ,0.033383  
0.220000  ,0.225959  ,0.006177  ,2.073180  ,8.000000  ,0.033707  
0.220000  ,0.225959  ,0.006177  ,2.073180  ,8.000000  ,0.033707  
0.240000  ,0.269301  ,0.007600  ,2.263380  ,8.000000  ,0.034170  
0.240000  ,0.269301  ,0.007600  ,2.263380  ,8.000000  ,0.034170  
0.260000  ,0.316451  ,0.008949  ,2.453580  ,8.000000  ,0.038251  
0.260000  ,0.316451  ,0.008949  ,2.453580  ,8.000000  ,0.038251  
0.280000  ,0.367412  ,0.010102  ,2.643780  ,8.000000  ,0.037522  
0.280000  ,0.367412  ,0.010102  ,2.643780  ,8.000000  ,0.037522  
0.300000  ,0.422179  ,0.011193  ,2.833980  ,8.000000  ,0.036885  
0.300000  ,0.422179  ,0.011193  ,2.833980  ,8.000000  ,0.036885  
0.320000  ,0.480753  ,0.012077  ,3.024180  ,8.000000  ,0.036488  
0.320000  ,0.480753  ,0.012077  ,3.024180  ,8.000000  ,0.036488  
0.340000  ,0.543135  ,0.012735  ,3.214380  ,8.000000  ,0.035911  
0.340000  ,0.543135  ,0.012735  ,3.214380  ,8.000000  ,0.035911  
0.360000  ,0.609323  ,0.013286  ,3.404580  ,8.000000  ,0.036331  
0.360000  ,0.609323  ,0.013286  ,3.404580  ,8.000000  ,0.036331  
0.380000  ,0.679316  ,0.013584  ,3.594780  ,8.000000  ,0.037061  
0.380000  ,0.679316  ,0.013584  ,3.594780  ,8.000000  ,0.037061  
0.400000  ,0.753113  ,0.013854  ,3.784980  ,8.000000  ,0.037613  
0.400000  ,0.753113  ,0.013854  ,3.784980  ,8.000000  ,0.037613  
0.420000  ,0.830713  ,0.014372  ,3.975180  ,8.000000  ,0.038578  
0.420000  ,0.830713  ,0.014372  ,3.975180  ,8.000000  ,0.038578  
0.440000  ,0.912113  ,0.015305  ,4.165380  ,8.000000  ,0.039413  
0.440000  ,0.912113  ,0.015305  ,4.165380  ,8.000000  ,0.039413  
0.460000  ,0.997303  ,0.017078  ,4.355580  ,8.000000  ,0.039086  
0.460000  ,0.997303  ,0.017078  ,4.355580  ,8.000000  ,0.039086  
0.480000  ,1.086274  ,0.019825  ,4.545780  ,8.000000  ,0.037850  
0.480000  ,1.086274  ,0.019825  ,4.545780  ,8.000000  ,0.037850  
0.500000  ,1.179026  ,0.023332  ,4.735980  ,8.000000  ,0.035884  
0.500000  ,1.179026  ,0.023332  ,4.735980  ,8.000000  ,0.035884  
0.520000  ,1.275555  ,0.027558  ,4.926180  ,8.000000  ,0.033401  
0.520000  ,1.275555  ,0.027558  ,4.926180  ,8.000000  ,0.033401  
0.540000  ,1.375864  ,0.032385  ,5.116380  ,8.000000  ,0.030349  
0.540000  ,1.375864  ,0.032385  ,5.116380  ,8.000000  ,0.030349  
0.560000  ,1.479952  ,0.037810  ,5.306580  ,8.000000  ,0.026911  
0.560000  ,1.479952  ,0.037810  ,5.306580  ,8.000000  ,0.026911  
0.580000  ,1.587811  ,0.043959  ,5.496780  ,8.000000  ,0.022809  
0.580000  ,1.587811  ,0.043959  ,5.496780  ,8.000000  ,0.022809  
0.600000  ,1.699446  ,0.050684  ,5.686980  ,8.000000  ,0.018274  
0.600000  ,1.699446  ,0.050684  ,5.686980  ,8.000000  ,0.018274  
0.620000  ,1.814866  ,0.057840  ,5.877180  ,8.000000  ,0.013385  
0.620000  ,1.814866  ,0.057840  ,5.877180  ,8.000000  ,0.013385  
0.640000  ,1.934089  ,0.065126  ,6.067380  ,8.000000  ,0.008469  
0.640000  ,1.934089  ,0.065126  ,6.067380  ,8.000000  ,0.008469  
0.660000  ,2.057035  ,0.072438  ,6.246803  ,8.000000  ,0.003766  
0.660000  ,2.057035  ,0.072438  ,6.246803  ,8.000000  ,0.003766  
0.680000  ,2.183398  ,0.079915  ,6.409568  ,8.000000  ,0.001052  
0.680000  ,2.183398  ,0.079915  ,6.409568  ,8.000000  ,0.001052  
0.700000  ,2.312856  ,0.087602  ,6.557222  ,8.000000  ,0.005970  
0.700000  ,2.312856  ,0.087602  ,6.557222  ,8.000000  ,0.005970  
0.720000  ,2.445130  ,0.095343  ,6.691168  ,8.000000  ,0.010687  
0.720000  ,2.445130  ,0.095343  ,6.691168  ,8.000000  ,0.010687  
0.740000  ,2.579983  ,0.102693  ,6.812679  ,8.000000  ,0.014980  
0.740000  ,2.579983  ,0.102693  ,6.812679  ,8.000000  ,0.014980  
0.760000  ,2.717180  ,0.109567  ,6.922908  ,8.000000  ,0.018680  
0.760000  ,2.717180  ,0.109567  ,6.922908  ,8.000000  ,0.018680  
0.780000  ,2.856495  ,0.116146  ,7.022904  ,8.000000  ,0.021833  
0.780000  ,2.856495  ,0.116146  ,7.022904  ,8.000000  ,0.021833  
0.800000  ,2.997749  ,0.122018  ,7.113617  ,8.000000  ,0.024241  
0.800000  ,2.997749  ,0.122018  ,7.113617  ,8.000000  ,0.024241  
0.820000  ,3.140764  ,0.127074  ,7.195908  ,8.000000  ,0.025714  
0.820000  ,3.140764  ,0.127074  ,7.195908  ,8.000000  ,0.025714  
0.840000  ,3.285370  ,0.131511  ,7.270559  ,8.000000  ,0.026335  
0.840000  ,3.285370  ,0.131511  ,7.270559  ,8.000000  ,0.026335  
0.860000  ,3.431424  ,0.135042  ,7.338280  ,8.000000  ,0.025991  
0.860000  ,3.431424  ,0.135042  ,7.338280  ,8.000000  ,0.025991  
0.880000  ,3.578789  ,0.137574  ,7.399713  ,8.000000  ,0.024527  
0.880000  ,3.578789  ,0.137574  ,7.399713  ,8.000000  ,0.024527  
0.900000  ,3.727340  ,0.139057  ,7.455443  ,8.000000  ,0.021892  
0.900000  ,3.727340  ,0.139057  ,7.455443  ,8.000000  ,0.021892  
0.920000  ,3.876959  ,0.139656  ,7.505999  ,8.000000  ,0.018129  
0.920000  ,3.876959  ,0.139656  ,7.505999  ,8.000000  ,0.018129  
0.940000  ,4.027542  ,0.139362  ,7.551862  ,8.000000  ,0.013427  
0.940000  ,4.027542  ,0.139362  ,7.551862  ,8.000000  ,0.013427  
0.960000  ,4.178996  ,0.138156  ,7.593466  ,8.000000  ,0.007690  
0.960000  ,4.178996  ,0.138156  ,7.593466  ,8.000000  ,0.007690  
0.980000  ,4.331229  ,0.135842  ,7.631209  ,8.000000  ,0.000726  
0.980000  ,4.331229  ,0.135842  ,7.631209  ,8.000000  ,0.000726  
1.000000  ,4.484170  ,0.132817  ,7.665447  ,8.000000  ,0.007187  
1.000000  ,4.484170  ,0.132817  ,7.665447  ,8.000000  ,0.007187  
1.020000  ,4.637761  ,0.129693  ,7.696506  ,8.000000  ,0.015247  
1.020000  ,4.637761  ,0.129693  ,7.696506  ,8.000000  ,0.015247  
1.040000  ,4.791953  ,0.126997  ,7.724682  ,8.000000  ,0.023001  
1.040000  ,4.791953  ,0.126997  ,7.724682  ,8.000000  ,0.023001  
1.060000  ,4.946687  ,0.124611  ,7.750243  ,8.000000  ,0.030564  
1.060000  ,4.946687  ,0.124611  ,7.750243  ,8.000000  ,0.030564  
1.080000  ,5.101912  ,0.122480  ,7.773430  ,8.000000  ,0.038089  
1.080000  ,5.101912  ,0.122480  ,7.773430  ,8.000000  ,0.038089  
1.100000  ,5.257588  ,0.121286  ,7.794464  ,8.000000  ,0.044738  
1.100000  ,5.257588  ,0.121286  ,7.794464  ,8.000000  ,0.044738  
1.120000  ,5.413669  ,0.121702  ,7.813546  ,8.000000  ,0.049895  
1.120000  ,5.413669  ,0.121702  ,7.813546  ,8.000000  ,0.049895  
1.140000  ,5.570094  ,0.124201  ,7.830856  ,8.000000  ,0.053084  
1.140000  ,5.570094  ,0.124201  ,7.830856  ,8.000000  ,0.053084  
1.160000  ,5.726792  ,0.129117  ,7.846559  ,8.000000  ,0.053971  
1.160000  ,5.726792  ,0.129117  ,7.846559  ,8.000000  ,0.053971  
1.180000  ,5.883703  ,0.136260  ,7.860805  ,8.000000  ,0.052847  
1.180000  ,5.883703  ,0.136260  ,7.860805  ,8.000000  ,0.052847  
1.200000  ,6.040775  ,0.145531  ,7.873727  ,8.000000  ,0.049632  
1.200000  ,6.040775  ,0.145531  ,7.873727  ,8.000000  ,0.049632  
1.220000  ,6.197958  ,0.156895  ,7.885450  ,8.000000  ,0.044427  
1.220000  ,6.197958  ,0.156895  ,7.885450  ,8.000000  ,0.044427  
1.240000  ,6.355230  ,0.169984  ,7.896085  ,8.000000  ,0.037600  
1.240000  ,6.355230  ,0.169984  ,7.896085  ,8.000000  ,0.037600  
1.260000  ,6.512548  ,0.184850  ,7.905732  ,8.000000  ,0.029094  
1.260000  ,6.512548  ,0.184850  ,7.905732  ,8.000000  ,0.029094  
1.280000  ,6.669924  ,0.201001  ,7.914484  ,8.000000  ,0.019503  
1.280000  ,6.669924  ,0.201001  ,7.914484  ,8.000000  ,0.019503  
1.300000  ,6.827369  ,0.218093  ,7.922423  ,8.000000  ,0.008991  
1.300000  ,6.827369  ,0.218093  ,7.922423  ,8.000000  ,0.008991  
1.320000  ,6.984923  ,0.235576  ,7.929626  ,8.000000  ,0.001818  
1.320000  ,6.984923  ,0.235576  ,7.929626  ,8.000000  ,0.001818  
1.340000  ,7.142678  ,0.252485  ,7.936159  ,8.000000  ,0.011960  
1.340000  ,7.142678  ,0.252485  ,7.936159  ,8.000000  ,0.011960  
1.360000  ,7.300667  ,0.268343  ,7.942086  ,8.000000  ,0.020890  
1.360000  ,7.300667  ,0.268343  ,7.942086  ,8.000000  ,0.020890  
1.380000  ,7.458887  ,0.282974  ,7.947463  ,8.000000  ,0.028548  
1.380000  ,7.458887  ,0.282974  ,7.947463  ,8.000000  ,0.028548  
1.400000  ,7.617380  ,0.295636  ,7.952340  ,8.000000  ,0.034149  
1.400000  ,7.617380  ,0.295636  ,7.952340  ,8.000000  ,0.034149  
1.420000  ,7.776117  ,0.306233  ,7.956765  ,8.000000  ,0.037603  
1.420000  ,7.776117  ,0.306233  ,7.956765  ,8.000000  ,0.037603  
1.440000  ,7.935073  ,0.314561  ,7.960779  ,8.000000  ,0.038710  
1.440000  ,7.935073  ,0.314561  ,7.960779  ,8.000000  ,0.038710  
1.460000  ,8.094203  ,0.320787  ,7.964420  ,8.000000  ,0.037588  
1.460000  ,8.094203  ,0.320787  ,7.964420  ,8.000000  ,0.037588  
1.480000  ,8.253462  ,0.325233  ,7.967723  ,8.000000  ,0.034656  
1.480000  ,8.253462  ,0.325233  ,7.967723  ,8.000000  ,0.034656  
