# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.037878  ,0.075697  ,0.000000  ,0.051889  ,0.000000  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.037893  ,-0.079353 ,0.000000  ,-0.103161 ,0.000000  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.037942  ,0.024240  ,0.000000  ,-0.000007 ,0.021375  
0.060000  ,0.016072  ,0.000023  ,0.551580  ,8.000000  ,0.038046  ,0.054293  ,0.000000  ,0.029372  ,0.053722  
0.080000  ,0.029005  ,0.000075  ,0.741780  ,8.000000  ,0.038216  ,0.129432  ,0.000000  ,0.104381  ,0.139367  
0.100000  ,0.045743  ,0.000162  ,0.931980  ,8.000000  ,0.038454  ,0.036052  ,0.000000  ,0.011516  ,0.181565  
0.120000  ,0.066283  ,0.000340  ,1.122180  ,8.000000  ,0.038818  ,-0.027782 ,0.000000  ,-0.053188 ,0.329287  
0.140000  ,0.090626  ,0.000731  ,1.312380  ,8.000000  ,0.042630  ,-0.089466 ,0.090000  ,-0.116858 ,0.637365  
0.160000  ,0.118773  ,0.001064  ,1.502580  ,8.000000  ,0.042258  ,-0.180272 ,0.090000  ,-0.208304 ,0.358903  
0.180000  ,0.150727  ,0.000987  ,1.692780  ,8.000000  ,0.041382  ,0.115977  ,0.090000  ,0.090314  ,0.300758  
0.200000  ,0.186474  ,0.000174  ,1.882980  ,8.000000  ,0.039675  ,0.122961  ,0.090000  ,0.103645  ,1.048254  
0.220000  ,0.225996  ,-0.001591 ,2.073180  ,8.000000  ,0.036921  ,0.148351  ,0.090000  ,0.138904  ,1.636774  
0.240000  ,0.269291  ,-0.004051 ,2.263380  ,8.000000  ,0.033379  ,-0.018484 ,0.090000  ,-0.012550 ,1.648567  
0.260000  ,0.316377  ,-0.006863 ,2.453580  ,8.000000  ,0.027907  ,0.159901  ,0.170000  ,0.174761  ,1.276888  
0.280000  ,0.367265  ,-0.009815 ,2.643780  ,8.000000  ,0.024791  ,0.320336  ,0.170000  ,0.340899  ,0.824711  
0.300000  ,0.421959  ,-0.012840 ,2.833980  ,8.000000  ,0.021590  ,0.048934  ,0.170000  ,0.072497  ,0.477734  
0.320000  ,0.480475  ,-0.015608 ,3.024180  ,8.000000  ,0.018633  ,0.025627  ,0.170000  ,0.056355  ,0.110111  
0.340000  ,0.542820  ,-0.017856 ,3.214380  ,8.000000  ,0.016333  ,-0.030151 ,0.260000  ,-0.005137 ,-0.159005 
0.360000  ,0.608981  ,-0.019784 ,3.404580  ,8.000000  ,0.013957  ,0.111980  ,0.260000  ,0.131182  ,-0.152032 
0.380000  ,0.678954  ,-0.021485 ,3.594780  ,8.000000  ,0.011782  ,-0.231746 ,0.260000  ,-0.212251 ,-0.065849 
0.400000  ,0.752735  ,-0.023075 ,3.784980  ,8.000000  ,0.009772  ,0.034467  ,0.340000  ,0.050025  ,0.041671  
0.420000  ,0.830325  ,-0.024406 ,3.975180  ,8.000000  ,0.007723  ,0.136915  ,0.340000  ,0.148607  ,0.072786  
0.440000  ,0.911722  ,-0.025580 ,4.165380  ,8.000000  ,0.005678  ,0.215997  ,0.430000  ,0.228014  ,0.139108  
0.460000  ,0.996928  ,-0.026326 ,4.355580  ,8.000000  ,0.004281  ,0.156232  ,0.430000  ,0.163487  ,0.153418  
0.480000  ,1.085941  ,-0.026202 ,4.545780  ,8.000000  ,0.003738  ,-0.050988 ,0.520000  ,-0.051539 ,0.205261  
0.500000  ,1.178747  ,-0.024816 ,4.735980  ,8.000000  ,0.000000  ,-0.011874 ,0.520000  ,-0.026200 ,0.388024  
0.520000  ,1.275327  ,-0.021985 ,4.926180  ,8.000000  ,0.006479  ,-0.121112 ,0.520000  ,-0.155465 ,0.714359  
0.540000  ,1.375664  ,-0.017786 ,5.116380  ,8.000000  ,0.009896  ,-0.098649 ,0.600000  ,-0.147771 ,1.081982  
0.560000  ,1.479757  ,-0.012457 ,5.306580  ,8.000000  ,0.014401  ,-0.054094 ,0.600000  ,-0.122533 ,1.343383  
0.580000  ,1.587617  ,-0.006327 ,5.496780  ,8.000000  ,0.019678  ,0.157257  ,0.690000  ,0.085377  ,1.389669  
0.600000  ,1.699265  ,0.000167  ,5.686980  ,8.000000  ,0.025301  ,0.090067  ,0.770000  ,0.010755  ,1.177928  
0.620000  ,1.814728  ,0.006599  ,5.877180  ,8.000000  ,0.030853  ,-0.114749 ,0.770000  ,-0.184305 ,0.724531  
0.640000  ,1.934003  ,0.012983  ,6.067380  ,8.000000  ,0.036322  ,0.145690  ,0.860000  ,0.077843  ,0.153897  
0.660000  ,2.057001  ,0.019357  ,6.246803  ,8.000000  ,0.041771  ,-0.129341 ,0.860000  ,-0.195823 ,0.315167  
0.680000  ,2.183439  ,0.025433  ,6.409568  ,8.000000  ,0.046896  ,0.095018  ,0.950000  ,0.035410  ,0.623133  
0.700000  ,2.312995  ,0.031226  ,6.557222  ,8.000000  ,0.051722  ,-0.112127 ,1.030000  ,-0.171511 ,0.827685  
0.720000  ,2.445390  ,0.036511  ,6.691168  ,8.000000  ,0.056049  ,0.078172  ,1.030000  ,0.020127  ,0.945243  
0.740000  ,2.580355  ,0.041376  ,6.812679  ,8.000000  ,0.059936  ,-0.056425 ,1.120000  ,-0.111732 ,1.023420  
0.760000  ,2.717659  ,0.045622  ,6.922908  ,8.000000  ,0.063198  ,0.061443  ,1.200000  ,0.007807  ,1.069077  
0.780000  ,2.857079  ,0.049371  ,7.022904  ,8.000000  ,0.065982  ,0.052542  ,1.200000  ,0.000535  ,1.112414  
0.800000  ,2.998422  ,0.052429  ,7.113617  ,8.000000  ,0.068064  ,-0.046256 ,1.290000  ,-0.095298 ,1.150565  
0.820000  ,3.141502  ,0.055087  ,7.195908  ,8.000000  ,0.069746  ,0.080384  ,1.380000  ,0.032719  ,-1.159246 
0.840000  ,3.286158  ,0.057338  ,7.270559  ,8.000000  ,0.071028  ,0.074582  ,1.460000  ,0.027488  ,-1.078499 
0.860000  ,3.432247  ,0.058878  ,7.338280  ,8.000000  ,0.071631  ,0.114244  ,1.460000  ,0.068655  ,-1.029456 
0.880000  ,3.579630  ,0.060047  ,7.399713  ,8.000000  ,0.071854  ,-0.098565 ,1.550000  ,-0.142106 ,-1.011649 
0.900000  ,3.728185  ,0.061032  ,7.455443  ,8.000000  ,0.071903  ,-0.071764 ,1.640000  ,-0.115615 ,-0.883638 
0.920000  ,3.877801  ,0.062100  ,7.505999  ,8.000000  ,0.072065  ,-0.138846 ,1.640000  ,-0.187078 ,-0.597613 
0.940000  ,4.028383  ,0.062983  ,7.551862  ,8.000000  ,0.072043  ,0.015075  ,1.720000  ,-0.037405 ,0.278003  
0.960000  ,4.179841  ,0.063214  ,7.593466  ,8.000000  ,0.071382  ,0.014562  ,1.810000  ,-0.034868 ,-0.212384 
0.980000  ,4.332090  ,0.062405  ,7.631209  ,8.000000  ,0.069695  ,0.055888  ,1.890000  ,0.018507  ,-0.564858 
1.000000  ,4.485052  ,0.060768  ,7.665447  ,8.000000  ,0.067194  ,0.098907  ,1.980000  ,0.077680  ,-1.169376 
1.020000  ,4.638655  ,0.058272  ,7.696506  ,8.000000  ,0.063872  ,0.050431  ,1.980000  ,0.047020  ,-1.756207 
1.040000  ,4.792838  ,0.055136  ,7.724682  ,8.000000  ,0.059908  ,-0.081065 ,2.070000  ,-0.079485 ,-2.130292 
1.060000  ,4.947551  ,0.051660  ,7.750243  ,8.000000  ,0.055618  ,0.067894  ,2.150000  ,0.076545  ,-2.125440 
1.080000  ,5.102744  ,0.047864  ,7.773430  ,8.000000  ,0.051023  ,0.122144  ,2.240000  ,0.132944  ,-1.768158 
1.100000  ,5.258369  ,0.043660  ,7.794464  ,8.000000  ,0.046048  ,-0.085354 ,2.240000  ,-0.074163 ,-1.263256 
1.120000  ,5.414399  ,0.039630  ,7.813546  ,8.000000  ,0.041249  ,-0.046641 ,2.320000  ,-0.047424 ,-0.633239 
1.140000  ,5.570812  ,0.036400  ,7.830856  ,8.000000  ,0.037263  ,0.098020  ,2.410000  ,0.085399  ,0.257419  
1.160000  ,5.727568  ,0.033884  ,7.846559  ,8.000000  ,0.034002  ,-0.151734 ,2.500000  ,-0.179222 ,1.257139  
1.180000  ,5.884632  ,0.032028  ,7.860805  ,8.000000  ,0.031412  ,-0.056614 ,2.580000  ,-0.097704 ,2.060559  
1.200000  ,6.041977  ,0.031309  ,7.873727  ,8.000000  ,0.029977  ,-0.054606 ,2.580000  ,-0.110608 ,2.644252  
1.220000  ,6.199570  ,0.031511  ,7.885450  ,8.000000  ,0.029463  ,0.140957  ,2.670000  ,0.080869  ,2.987788  
1.240000  ,6.357385  ,0.032136  ,7.896085  ,8.000000  ,0.029377  ,0.122027  ,2.750000  ,0.059893  ,2.872706  
1.260000  ,6.515403  ,0.032723  ,7.905732  ,8.000000  ,0.029259  ,-0.170140 ,2.840000  ,-0.223779 ,2.191914  
1.280000  ,6.673605  ,0.033435  ,7.914484  ,8.000000  ,0.029268  ,0.153121  ,2.840000  ,0.112612  ,1.191126  
1.300000  ,6.831973  ,0.034328  ,7.922423  ,8.000000  ,0.029457  ,0.056758  ,2.930000  ,0.029899  ,0.251352  
1.320000  ,6.990493  ,0.034876  ,7.929626  ,8.000000  ,0.029298  ,0.099171  ,3.010000  ,0.084781  ,-0.551225 
