# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.039847  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.039847  
0.060000  ,0.016072  ,0.000034  ,0.551580  ,8.000000  ,0.039790  
0.060000  ,0.016072  ,0.000034  ,0.551580  ,8.000000  ,0.039790  
0.080000  ,0.029003  ,0.000293  ,0.741780  ,8.000000  ,0.039496  
0.080000  ,0.029003  ,0.000293  ,0.741780  ,8.000000  ,0.039496  
0.100000  ,0.045735  ,0.000705  ,0.931980  ,8.000000  ,0.039040  
0.100000  ,0.045735  ,0.000705  ,0.931980  ,8.000000  ,0.039040  
0.120000  ,0.066269  ,0.001265  ,1.122180  ,8.000000  ,0.038426  
0.120000  ,0.066269  ,0.001265  ,1.122180  ,8.000000  ,0.038426  
0.140000  ,0.090604  ,0.001985  ,1.312380  ,8.000000  ,0.037641  
0.140000  ,0.090604  ,0.001985  ,1.312380  ,8.000000  ,0.037641  
0.160000  ,0.118739  ,0.002886  ,1.502580  ,8.000000  ,0.032333  
0.160000  ,0.118739  ,0.002886  ,1.502580  ,8.000000  ,0.032333  
0.180000  ,0.150674  ,0.003994  ,1.692780  ,8.000000  ,0.032614  
0.180000  ,0.150674  ,0.003994  ,1.692780  ,8.000000  ,0.032614  
0.200000  ,0.186406  ,0.005337  ,1.882980  ,8.000000  ,0.032826  
0.200000  ,0.186406  ,0.005337  ,1.882980  ,8.000000  ,0.032826  
0.220000  ,0.225935  ,0.006947  ,2.073180  ,8.000000  ,0.032936  
0.220000  ,0.225935  ,0.006947  ,2.073180  ,8.000000  ,0.032936  
0.240000  ,0.269258  ,0.008859  ,2.263380  ,8.000000  ,0.032910  
0.240000  ,0.269258  ,0.008859  ,2.263380  ,8.000000  ,0.032910  
0.260000  ,0.316375  ,0.011092  ,2.453580  ,8.000000  ,0.036108  
0.260000  ,0.316375  ,0.011092  ,2.453580  ,8.000000  ,0.036108  
0.280000  ,0.367291  ,0.013522  ,2.643780  ,8.000000  ,0.034101  
0.280000  ,0.367291  ,0.013522  ,2.643780  ,8.000000  ,0.034101  
0.300000  ,0.422004  ,0.016164  ,2.833980  ,8.000000  ,0.031914  
0.300000  ,0.422004  ,0.016164  ,2.833980  ,8.000000  ,0.031914  
0.320000  ,0.480515  ,0.019044  ,3.024180  ,8.000000  ,0.029519  
0.320000  ,0.480515  ,0.019044  ,3.024180  ,8.000000  ,0.029519  
0.340000  ,0.542822  ,0.022188  ,3.214380  ,8.000000  ,0.026454  
0.340000  ,0.542822  ,0.022188  ,3.214380  ,8.000000  ,0.026454  
0.360000  ,0.608922  ,0.025614  ,3.404580  ,8.000000  ,0.023999  
0.360000  ,0.608922  ,0.025614  ,3.404580  ,8.000000  ,0.023999  
0.380000  ,0.678817  ,0.029340  ,3.594780  ,8.000000  ,0.021299  
0.380000  ,0.678817  ,0.029340  ,3.594780  ,8.000000  ,0.021299  
0.400000  ,0.752509  ,0.033286  ,3.784980  ,8.000000  ,0.018173  
0.400000  ,0.752509  ,0.033286  ,3.784980  ,8.000000  ,0.018173  
0.420000  ,0.830003  ,0.037357  ,3.975180  ,8.000000  ,0.015583  
0.420000  ,0.830003  ,0.037357  ,3.975180  ,8.000000  ,0.015583  
0.440000  ,0.911302  ,0.041540  ,4.165380  ,8.000000  ,0.012955  
0.440000  ,0.911302  ,0.041540  ,4.165380  ,8.000000  ,0.012955  
0.460000  ,0.996404  ,0.045816  ,4.355580  ,8.000000  ,0.010337  
0.460000  ,0.996404  ,0.045816  ,4.355580  ,8.000000  ,0.010337  
0.480000  ,1.085311  ,0.050165  ,4.545780  ,8.000000  ,0.007498  
0.480000  ,1.085311  ,0.050165  ,4.545780  ,8.000000  ,0.007498  
0.500000  ,1.178024  ,0.054569  ,4.735980  ,8.000000  ,0.004634  
0.500000  ,1.178024  ,0.054569  ,4.735980  ,8.000000  ,0.004634  
0.520000  ,1.274544  ,0.059008  ,4.926180  ,8.000000  ,0.001938  
0.520000  ,1.274544  ,0.059008  ,4.926180  ,8.000000  ,0.001938  
0.540000  ,1.374870  ,0.063464  ,5.116380  ,8.000000  ,0.000744  
0.540000  ,1.374870  ,0.063464  ,5.116380  ,8.000000  ,0.000744  
0.560000  ,1.479005  ,0.067923  ,5.306580  ,8.000000  ,0.003214  
0.560000  ,1.479005  ,0.067923  ,5.306580  ,8.000000  ,0.003214  
0.580000  ,1.586947  ,0.072369  ,5.496780  ,8.000000  ,0.005612  
0.580000  ,1.586947  ,0.072369  ,5.496780  ,8.000000  ,0.005612  
0.600000  ,1.698697  ,0.076790  ,5.686980  ,8.000000  ,0.007842  
0.600000  ,1.698697  ,0.076790  ,5.686980  ,8.000000  ,0.007842  
0.620000  ,1.814255  ,0.081173  ,5.877180  ,8.000000  ,0.009956  
0.620000  ,1.814255  ,0.081173  ,5.877180  ,8.000000  ,0.009956  
0.640000  ,1.933622  ,0.085507  ,6.067380  ,8.000000  ,0.011918  
0.640000  ,1.933622  ,0.085507  ,6.067380  ,8.000000  ,0.011918  
0.660000  ,2.056712  ,0.089777  ,6.246803  ,8.000000  ,0.013577  
0.660000  ,2.056712  ,0.089777  ,6.246803  ,8.000000  ,0.013577  
0.680000  ,2.183226  ,0.093958  ,6.409568  ,8.000000  ,0.015095  
0.680000  ,2.183226  ,0.093958  ,6.409568  ,8.000000  ,0.015095  
0.700000  ,2.312848  ,0.098025  ,6.557222  ,8.000000  ,0.016390  
0.700000  ,2.312848  ,0.098025  ,6.557222  ,8.000000  ,0.016390  
0.720000  ,2.445290  ,0.101950  ,6.691168  ,8.000000  ,0.017289  
0.720000  ,2.445290  ,0.101950  ,6.691168  ,8.000000  ,0.017289  
0.740000  ,2.580291  ,0.105709  ,6.812679  ,8.000000  ,0.017987  
0.740000  ,2.580291  ,0.105709  ,6.812679  ,8.000000  ,0.017987  
0.760000  ,2.717614  ,0.109274  ,6.922908  ,8.000000  ,0.018376  
0.760000  ,2.717614  ,0.109274  ,6.922908  ,8.000000  ,0.018376  
0.780000  ,2.857044  ,0.112620  ,7.022904  ,8.000000  ,0.018294  
0.780000  ,2.857044  ,0.112620  ,7.022904  ,8.000000  ,0.018294  
0.800000  ,2.998387  ,0.115720  ,7.113617  ,8.000000  ,0.017929  
0.800000  ,2.998387  ,0.115720  ,7.113617  ,8.000000  ,0.017929  
0.820000  ,3.141464  ,0.118549  ,7.195908  ,8.000000  ,0.017173  
0.820000  ,3.141464  ,0.118549  ,7.195908  ,8.000000  ,0.017173  
0.840000  ,3.286115  ,0.121081  ,7.270559  ,8.000000  ,0.015889  
0.840000  ,3.286115  ,0.121081  ,7.270559  ,8.000000  ,0.015889  
0.860000  ,3.432195  ,0.123293  ,7.338280  ,8.000000  ,0.014225  
0.860000  ,3.432195  ,0.123293  ,7.338280  ,8.000000  ,0.014225  
0.880000  ,3.579571  ,0.125160  ,7.399713  ,8.000000  ,0.012095  
0.880000  ,3.579571  ,0.125160  ,7.399713  ,8.000000  ,0.012095  
0.900000  ,3.728120  ,0.126799  ,7.455443  ,8.000000  ,0.009617  
0.900000  ,3.728120  ,0.126799  ,7.455443  ,8.000000  ,0.009617  
0.920000  ,3.877733  ,0.128346  ,7.505999  ,8.000000  ,0.006801  
0.920000  ,3.877733  ,0.128346  ,7.505999  ,8.000000  ,0.006801  
0.940000  ,4.028309  ,0.129836  ,7.551862  ,8.000000  ,0.003882  
0.940000  ,4.028309  ,0.129836  ,7.551862  ,8.000000  ,0.003882  
0.960000  ,4.179760  ,0.131334  ,7.593466  ,8.000000  ,0.000848  
0.960000  ,4.179760  ,0.131334  ,7.593466  ,8.000000  ,0.000848  
0.980000  ,4.332004  ,0.132917  ,7.631209  ,8.000000  ,0.002223  
0.980000  ,4.332004  ,0.132917  ,7.631209  ,8.000000  ,0.002223  
1.000000  ,4.484964  ,0.134666  ,7.665447  ,8.000000  ,0.005365  
1.000000  ,4.484964  ,0.134666  ,7.665447  ,8.000000  ,0.005365  
1.020000  ,4.638575  ,0.136659  ,7.696506  ,8.000000  ,0.008311  
1.020000  ,4.638575  ,0.136659  ,7.696506  ,8.000000  ,0.008311  
1.040000  ,4.792773  ,0.138971  ,7.724682  ,8.000000  ,0.011061  
1.040000  ,4.792773  ,0.138971  ,7.724682  ,8.000000  ,0.011061  
1.060000  ,4.947501  ,0.141664  ,7.750243  ,8.000000  ,0.013549  
1.060000  ,4.947501  ,0.141664  ,7.750243  ,8.000000  ,0.013549  
1.080000  ,5.102709  ,0.144796  ,7.773430  ,8.000000  ,0.015814  
1.080000  ,5.102709  ,0.144796  ,7.773430  ,8.000000  ,0.015814  
1.100000  ,5.258349  ,0.148416  ,7.794464  ,8.000000  ,0.017653  
1.100000  ,5.258349  ,0.148416  ,7.794464  ,8.000000  ,0.017653  
1.120000  ,5.414376  ,0.152562  ,7.813546  ,8.000000  ,0.019081  
1.120000  ,5.414376  ,0.152562  ,7.813546  ,8.000000  ,0.019081  
1.140000  ,5.570751  ,0.157270  ,7.830856  ,8.000000  ,0.020063  
1.140000  ,5.570751  ,0.157270  ,7.830856  ,8.000000  ,0.020063  
1.160000  ,5.727438  ,0.162567  ,7.846559  ,8.000000  ,0.020570  
1.160000  ,5.727438  ,0.162567  ,7.846559  ,8.000000  ,0.020570  
1.180000  ,5.884402  ,0.168477  ,7.860805  ,8.000000  ,0.020681  
1.180000  ,5.884402  ,0.168477  ,7.860805  ,8.000000  ,0.020681  
1.200000  ,6.041612  ,0.175020  ,7.873727  ,8.000000  ,0.020199  
1.200000  ,6.041612  ,0.175020  ,7.873727  ,8.000000  ,0.020199  
1.220000  ,6.199041  ,0.182210  ,7.885450  ,8.000000  ,0.019176  
1.220000  ,6.199041  ,0.182210  ,7.885450  ,8.000000  ,0.019176  
1.240000  ,6.356662  ,0.190063  ,7.896085  ,8.000000  ,0.017595  
1.240000  ,6.356662  ,0.190063  ,7.896085  ,8.000000  ,0.017595  
1.260000  ,6.514460  ,0.198435  ,7.905732  ,8.000000  ,0.015600  
1.260000  ,6.514460  ,0.198435  ,7.905732  ,8.000000  ,0.015600  
1.280000  ,6.672422  ,0.207169  ,7.914484  ,8.000000  ,0.013444  
1.280000  ,6.672422  ,0.207169  ,7.914484  ,8.000000  ,0.013444  
1.300000  ,6.830533  ,0.216213  ,7.922423  ,8.000000  ,0.011003  
1.300000  ,6.830533  ,0.216213  ,7.922423  ,8.000000  ,0.011003  
1.320000  ,6.988783  ,0.225483  ,7.929626  ,8.000000  ,0.008432  
1.320000  ,6.988783  ,0.225483  ,7.929626  ,8.000000  ,0.008432  
1.340000  ,7.147164  ,0.234873  ,7.936159  ,8.000000  ,0.005831  
1.340000  ,7.147164  ,0.234873  ,7.936159  ,8.000000  ,0.005831  
1.360000  ,7.305668  ,0.244273  ,7.942086  ,8.000000  ,0.003311  
1.360000  ,7.305668  ,0.244273  ,7.942086  ,8.000000  ,0.003311  
1.380000  ,7.464292  ,0.253572  ,7.947463  ,8.000000  ,0.001066  
1.380000  ,7.464292  ,0.253572  ,7.947463  ,8.000000  ,0.001066  
1.400000  ,7.623031  ,0.262663  ,7.952340  ,8.000000  ,0.000955  
1.400000  ,7.623031  ,0.262663  ,7.952340  ,8.000000  ,0.000955  
1.420000  ,7.781879  ,0.271452  ,7.956765  ,8.000000  ,0.002595  
1.420000  ,7.781879  ,0.271452  ,7.956765  ,8.000000  ,0.002595  
1.440000  ,7.940833  ,0.279852  ,7.960779  ,8.000000  ,0.003771  
1.440000  ,7.940833  ,0.279852  ,7.960779  ,8.000000  ,0.003771  
1.460000  ,8.099888  ,0.287789  ,7.964420  ,8.000000  ,0.004362  
1.460000  ,8.099888  ,0.287789  ,7.964420  ,8.000000  ,0.004362  
1.480000  ,8.259037  ,0.295198  ,7.967723  ,8.000000  ,0.004394  
