# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.098486 ,0.053938  ,0.000000  ,8.000000  ,0.090923  ,0.003104  ,0.000000  ,-0.065554 ,151.291582
0.000000  ,-0.098486 ,0.053938  ,0.000000  ,8.000000  ,0.090923  ,0.023139  ,0.000000  ,-0.065554 ,0.000000  
0.020000  ,-0.096869 ,0.053938  ,0.171180  ,8.000000  ,0.090938  ,-0.026123 ,0.000000  ,-0.065554 ,0.000000  
0.040000  ,-0.091544 ,0.053937  ,0.361380  ,8.000000  ,0.090985  ,-0.035272 ,0.000000  ,-0.065073 ,-0.021375 
0.060000  ,-0.082415 ,0.053877  ,0.551580  ,8.000000  ,0.091007  ,-0.017855 ,0.000000  ,-0.063221 ,0.218662  
0.080000  ,-0.069488 ,0.053451  ,0.741780  ,8.000000  ,0.090698  ,0.031088  ,0.000000  ,-0.061086 ,1.601952  
0.100000  ,-0.052765 ,0.052768  ,0.931980  ,8.000000  ,0.090166  ,0.054401  ,0.000000  ,-0.057929 ,1.858683  
0.120000  ,-0.032244 ,0.051839  ,1.122180  ,8.000000  ,0.089423  ,0.021811  ,0.000000  ,-0.054015 ,1.869231  
0.140000  ,-0.007928 ,0.050643  ,1.312380  ,8.000000  ,0.088447  ,0.017865  ,0.000000  ,-0.049483 ,1.806967  
0.160000  ,0.020182  ,0.049145  ,1.502580  ,8.000000  ,0.087204  ,-0.007765 ,0.000000  ,-0.044439 ,1.713091  
0.180000  ,0.052088  ,0.047399  ,1.692780  ,8.000000  ,0.085746  ,-0.019507 ,0.000000  ,-0.034051 ,1.482098  
0.200000  ,0.087792  ,0.045445  ,1.882980  ,8.000000  ,0.087401  ,-0.074855 ,0.090000  ,-0.028984 ,1.189249  
0.220000  ,0.127291  ,0.043222  ,2.073180  ,8.000000  ,0.084190  ,0.002836  ,0.090000  ,-0.024113 ,0.985548  
0.240000  ,0.170582  ,0.040676  ,2.263380  ,8.000000  ,0.080562  ,0.013456  ,0.090000  ,-0.019352 ,0.831594  
0.260000  ,0.217661  ,0.037760  ,2.453580  ,8.000000  ,0.076469  ,-0.022291 ,0.090000  ,-0.014690 ,0.704747  
0.280000  ,0.268526  ,0.034428  ,2.643780  ,8.000000  ,0.071865  ,0.032309  ,0.090000  ,-0.000404 ,0.593067  
0.300000  ,0.323172  ,0.030636  ,2.833980  ,8.000000  ,0.065383  ,0.003188  ,0.170000  ,0.004859  ,0.490294  
0.320000  ,0.381597  ,0.026357  ,3.024180  ,8.000000  ,0.060917  ,-0.007530 ,0.170000  ,0.009788  ,0.388129  
