# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.173997 ,-0.008679 ,8.000000  ,8.000000  ,0.000000  ,-0.016298 ,100.000000,-0.003966 ,-0.330274 
0.000000  ,-0.173997 ,-0.008679 ,8.000000  ,8.000000  ,0.000000  ,0.024432  ,100.000000,-0.003966 ,-1.120976 
0.020000  ,-0.014016 ,-0.011138 ,8.000000  ,8.000000  ,0.026614  ,0.007723  ,0.000000  ,0.007205  ,-0.774527 
0.040000  ,0.145959  ,-0.013974 ,8.000000  ,8.000000  ,0.026545  ,-0.002747 ,0.090000  ,0.017917  ,-1.097165 
0.060000  ,0.305928  ,-0.017136 ,8.000000  ,8.000000  ,0.017667  ,-0.011553 ,0.170000  ,0.026907  ,-1.267324 
0.080000  ,0.465892  ,-0.020529 ,8.000000  ,8.000000  ,0.013759  ,0.000417  ,0.170000  ,0.032965  ,-1.244843 
0.100000  ,0.625851  ,-0.024141 ,8.000000  ,8.000000  ,0.009486  ,0.019697  ,0.260000  ,0.029009  ,-1.055962 
0.120000  ,0.785807  ,-0.027904 ,8.000000  ,8.000000  ,0.000000  ,0.017836  ,0.340000  ,0.031203  ,-0.765812 
0.140000  ,0.945761  ,-0.031717 ,8.000000  ,8.000000  ,0.000718  ,-0.011006 ,0.430000  ,0.031907  ,-0.422127 
0.160000  ,1.105718  ,-0.035461 ,8.000000  ,8.000000  ,0.005674  ,-0.011777 ,0.520000  ,0.031284  ,-0.058930 
0.180000  ,1.265678  ,-0.039011 ,8.000000  ,8.000000  ,0.010472  ,0.009887  ,0.520000  ,0.029452  ,0.300388  
0.200000  ,1.425646  ,-0.042244 ,8.000000  ,8.000000  ,0.014957  ,-0.011994 ,0.600000  ,0.023975  ,0.640543  
0.220000  ,1.585621  ,-0.045043 ,8.000000  ,8.000000  ,0.019022  ,-0.021316 ,0.690000  ,0.021237  ,0.952320  
