# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.037878  ,0.000000  ,0.000000  ,-0.023808 ,0.000000  
0.040000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.037878  ,0.000000  ,0.000000  ,-0.023808 ,0.000000  
0.080000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.037878  ,0.000000  ,0.000000  ,-0.023808 ,0.000000  
0.120000  ,0.003804  ,-0.000000 ,0.266280  ,8.000000  ,0.037912  ,-0.000000 ,0.000000  ,-0.023722 ,-0.005080 
0.160000  ,0.022063  ,-0.000049 ,0.646680  ,8.000000  ,0.038028  ,0.000000  ,0.000000  ,-0.023096 ,0.194410  
0.200000  ,0.055537  ,-0.000328 ,1.027080  ,8.000000  ,0.038052  ,0.000000  ,0.000000  ,-0.020392 ,0.376649  
0.240000  ,0.104226  ,-0.000819 ,1.407480  ,8.000000  ,0.040740  ,-0.000000 ,0.090000  ,-0.018422 ,0.354201  
0.280000  ,0.168129  ,-0.001571 ,1.787880  ,8.000000  ,0.038389  ,-0.000000 ,0.090000  ,-0.016043 ,0.309978  
0.320000  ,0.247244  ,-0.002662 ,2.168280  ,8.000000  ,0.035319  ,0.000000  ,0.090000  ,-0.010698 ,0.257588  
0.360000  ,0.341571  ,-0.004182 ,2.548680  ,8.000000  ,0.030506  ,-0.000000 ,0.170000  ,-0.007496 ,0.200933  
0.400000  ,0.451107  ,-0.006232 ,2.929080  ,8.000000  ,0.028104  ,-0.000000 ,0.170000  ,-0.000514 ,0.142427  
0.440000  ,0.575849  ,-0.008919 ,3.309480  ,8.000000  ,0.025047  ,-0.000000 ,0.260000  ,0.002986  ,0.084012  
0.480000  ,0.715794  ,-0.012354 ,3.689880  ,8.000000  ,0.020834  ,0.000000  ,0.340000  ,0.011159  ,0.027282  
0.520000  ,0.870938  ,-0.016649 ,4.070280  ,8.000000  ,0.015103  ,-0.000000 ,0.340000  ,0.020077  ,-0.026518 
