# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.020000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.040000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.060000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.080000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.100000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.120000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.039847  
0.140000  ,0.016072  ,0.000034  ,0.551580  ,8.000000  ,0.039790  
0.160000  ,0.029003  ,0.000293  ,0.741780  ,8.000000  ,0.039496  
0.180000  ,0.045735  ,0.000705  ,0.931980  ,8.000000  ,0.039040  
0.200000  ,0.066269  ,0.001265  ,1.122180  ,8.000000  ,0.038426  
0.220000  ,0.090604  ,0.001985  ,1.312380  ,8.000000  ,0.037641  
0.240000  ,0.118739  ,0.002886  ,1.502580  ,8.000000  ,0.032333  
0.260000  ,0.150674  ,0.003994  ,1.692780  ,8.000000  ,0.032614  
0.280000  ,0.186406  ,0.005337  ,1.882980  ,8.000000  ,0.032826  
0.300000  ,0.225935  ,0.006947  ,2.073180  ,8.000000  ,0.032936  
0.320000  ,0.269258  ,0.008859  ,2.263380  ,8.000000  ,0.032910  
0.340000  ,0.316374  ,0.011107  ,2.453580  ,8.000000  ,0.036093  
0.360000  ,0.367280  ,0.013731  ,2.643780  ,8.000000  ,0.033892  
0.380000  ,0.421974  ,0.016754  ,2.833980  ,8.000000  ,0.031323  
0.400000  ,0.480463  ,0.020052  ,3.024180  ,8.000000  ,0.028511  
0.420000  ,0.542746  ,0.023637  ,3.214380  ,8.000000  ,0.025004  
0.440000  ,0.608820  ,0.027531  ,3.404580  ,8.000000  ,0.022080  
0.460000  ,0.678687  ,0.031754  ,3.594780  ,8.000000  ,0.018883  
0.480000  ,0.752343  ,0.036322  ,3.784980  ,8.000000  ,0.015135  
0.500000  ,0.829791  ,0.041203  ,3.975180  ,8.000000  ,0.011734  
0.520000  ,0.911036  ,0.046307  ,4.165380  ,8.000000  ,0.008183  
0.540000  ,0.996082  ,0.051578  ,4.355580  ,8.000000  ,0.004571  
0.560000  ,1.084931  ,0.056995  ,4.545780  ,8.000000  ,0.000663  
0.580000  ,1.177583  ,0.062535  ,4.735980  ,8.000000  ,0.003339  
0.600000  ,1.274040  ,0.068177  ,4.926180  ,8.000000  ,0.007238  
0.620000  ,1.374302  ,0.073897  ,5.116380  ,8.000000  ,0.011185  
0.640000  ,1.478372  ,0.079668  ,5.306580  ,8.000000  ,0.014969  
0.660000  ,1.586252  ,0.085437  ,5.496780  ,8.000000  ,0.018691  
0.680000  ,1.697944  ,0.091126  ,5.686980  ,8.000000  ,0.022190  
0.700000  ,1.813456  ,0.096605  ,5.877180  ,8.000000  ,0.025401  
0.720000  ,1.932788  ,0.101818  ,6.067380  ,8.000000  ,0.028243  
0.740000  ,2.055854  ,0.106699  ,6.246803  ,8.000000  ,0.030513  
0.760000  ,2.182359  ,0.111165  ,6.409568  ,8.000000  ,0.032317  
0.780000  ,2.311984  ,0.115133  ,6.557222  ,8.000000  ,0.033513  
0.800000  ,2.444441  ,0.118524  ,6.691168  ,8.000000  ,0.033877  
0.820000  ,2.579466  ,0.121260  ,6.812679  ,8.000000  ,0.033554  
0.840000  ,2.716820  ,0.123269  ,6.922908  ,8.000000  ,0.032387  
0.860000  ,2.856284  ,0.124605  ,7.022904  ,8.000000  ,0.030294  
0.880000  ,2.997659  ,0.125345  ,7.113617  ,8.000000  ,0.027569  
0.900000  ,3.140764  ,0.125479  ,7.195908  ,8.000000  ,0.024119  
0.920000  ,3.285437  ,0.125018  ,7.270559  ,8.000000  ,0.019842  
0.940000  ,3.431529  ,0.123984  ,7.338280  ,8.000000  ,0.014934  
0.960000  ,3.578909  ,0.122424  ,7.399713  ,8.000000  ,0.009380  
0.980000  ,3.727456  ,0.120597  ,7.455443  ,8.000000  ,0.003436  
1.000000  ,3.877063  ,0.118580  ,7.505999  ,8.000000  ,0.002941  
1.020000  ,4.027632  ,0.116459  ,7.551862  ,8.000000  ,0.009469  
1.040000  ,4.179075  ,0.114331  ,7.593466  ,8.000000  ,0.016126  
1.060000  ,4.331313  ,0.112294  ,7.631209  ,8.000000  ,0.022813  
1.080000  ,4.484274  ,0.110590  ,7.665447  ,8.000000  ,0.029406  
1.100000  ,4.637893  ,0.109468  ,7.696506  ,8.000000  ,0.035466  
1.120000  ,4.792108  ,0.109060  ,7.724682  ,8.000000  ,0.040933  
1.140000  ,4.946859  ,0.109519  ,7.750243  ,8.000000  ,0.045652  
1.160000  ,5.102091  ,0.111004  ,7.773430  ,8.000000  ,0.049564  
1.180000  ,5.257750  ,0.113668  ,7.794464  ,8.000000  ,0.052357  
1.200000  ,5.413781  ,0.117654  ,7.813546  ,8.000000  ,0.053945  
1.220000  ,5.570132  ,0.123090  ,7.830856  ,8.000000  ,0.054196  
1.240000  ,5.726751  ,0.130092  ,7.846559  ,8.000000  ,0.052995  
1.260000  ,5.883586  ,0.138760  ,7.860805  ,8.000000  ,0.050345  
1.280000  ,6.040597  ,0.149026  ,7.873727  ,8.000000  ,0.046132  
1.300000  ,6.197749  ,0.160798  ,7.885450  ,8.000000  ,0.040519  
1.320000  ,6.355005  ,0.174080  ,7.896085  ,8.000000  ,0.033498  
1.340000  ,6.512334  ,0.188832  ,7.905732  ,8.000000  ,0.025107  
1.360000  ,6.669712  ,0.204965  ,7.914484  ,8.000000  ,0.015534  
1.380000  ,6.827148  ,0.222141  ,7.922423  ,8.000000  ,0.004937  
1.400000  ,6.984653  ,0.240065  ,7.929626  ,8.000000  ,0.006315  
1.420000  ,7.142247  ,0.258412  ,7.936159  ,8.000000  ,0.017899  
1.440000  ,7.299945  ,0.276944  ,7.942086  ,8.000000  ,0.029515  
1.460000  ,7.457770  ,0.295363  ,7.947463  ,8.000000  ,0.040973  
1.480000  ,7.615774  ,0.313117  ,7.952340  ,8.000000  ,0.051685  
1.500000  ,7.773981  ,0.329866  ,7.956765  ,8.000000  ,0.061309  
1.520000  ,7.932410  ,0.345264  ,7.960779  ,8.000000  ,0.069503  
1.540000  ,8.091084  ,0.358807  ,7.964420  ,8.000000  ,0.075711  
1.560000  ,8.250011  ,0.369992  ,7.967723  ,8.000000  ,0.079527  
1.580000  ,8.409169  ,0.378449  ,7.970720  ,8.000000  ,0.080550  
1.600000  ,8.568513  ,0.383963  ,7.973438  ,8.000000  ,0.078569  
1.620000  ,8.727986  ,0.386344  ,7.975904  ,8.000000  ,0.073403  
1.640000  ,8.887521  ,0.385347  ,7.978141  ,8.000000  ,0.064779  
1.660000  ,9.047043  ,0.381031  ,7.980170  ,8.000000  ,0.052828  
1.680000  ,9.206483  ,0.373470  ,7.982011  ,8.000000  ,0.037604  
1.700000  ,9.365784  ,0.362834  ,7.983681  ,8.000000  ,0.019285  
1.720000  ,9.524925  ,0.349640  ,7.985196  ,8.000000  ,0.001605  
1.740000  ,9.683905  ,0.334314  ,7.986571  ,8.000000  ,0.024647  
1.760000  ,9.842774  ,0.317622  ,7.987818  ,8.000000  ,0.049049  
1.780000  ,10.001591 ,0.300217  ,7.988949  ,8.000000  ,0.074168  
1.800000  ,10.160420 ,0.282721  ,7.989975  ,8.000000  ,0.099381  
1.820000  ,10.319373 ,0.266212  ,7.990905  ,8.000000  ,0.123612  
1.840000  ,10.478530 ,0.251616  ,7.991750  ,8.000000  ,0.145909  
1.860000  ,10.637957 ,0.240142  ,7.992516  ,8.000000  ,0.165094  
1.880000  ,10.797635 ,0.232670  ,7.993210  ,8.000000  ,0.180270  
1.900000  ,10.957476 ,0.229954  ,7.993841  ,8.000000  ,0.190673  
1.920000  ,11.117322 ,0.232863  ,7.994413  ,8.000000  ,0.195423  
1.940000  ,11.276932 ,0.242188  ,7.994931  ,8.000000  ,0.193645  
1.960000  ,11.435977 ,0.258594  ,7.995402  ,8.000000  ,0.184751  
1.980000  ,11.594117 ,0.282245  ,7.995829  ,8.000000  ,0.168518  
2.000000  ,11.750965 ,0.313363  ,7.996216  ,8.000000  ,0.144701  
2.020000  ,11.906205 ,0.351745  ,7.996567  ,8.000000  ,0.113485  
2.040000  ,12.059645 ,0.396820  ,7.996886  ,8.000000  ,0.075310  
2.060000  ,12.211235 ,0.447795  ,7.997175  ,8.000000  ,0.031145  
2.080000  ,12.361100 ,0.503666  ,7.997437  ,8.000000  ,0.018073  
2.100000  ,12.509410 ,0.563561  ,7.997675  ,8.000000  ,0.071468  
2.120000  ,12.656589 ,0.626201  ,7.997891  ,8.000000  ,0.127894  
2.140000  ,12.803268 ,0.690016  ,7.998087  ,8.000000  ,0.185534  
2.160000  ,12.950183 ,0.753293  ,7.998265  ,8.000000  ,0.242735  
2.180000  ,13.098117 ,0.814151  ,7.998426  ,8.000000  ,0.297593  
2.200000  ,13.247798 ,0.870573  ,7.998572  ,8.000000  ,0.348261  
2.220000  ,13.399670 ,0.920787  ,7.998704  ,8.000000  ,0.392673  
2.240000  ,13.553982 ,0.962889  ,7.998825  ,8.000000  ,0.429043  
2.260000  ,13.632426 ,0.980312  ,0.076080  ,8.000000  ,0.443694  
2.280000  ,13.635850 ,0.980302  ,0.266280  ,8.000000  ,0.443564  
2.300000  ,13.643077 ,0.980228  ,0.456480  ,8.000000  ,0.443236  
2.320000  ,13.648481 ,0.979919  ,0.076080  ,8.000000  ,0.442736  
2.340000  ,13.650098 ,0.979917  ,0.076080  ,8.000000  ,0.442678  
2.360000  ,13.653522 ,0.979910  ,0.266280  ,8.000000  ,0.442550  
2.380000  ,13.660749 ,0.979856  ,0.456480  ,8.000000  ,0.442242  
2.400000  ,13.666161 ,0.979629  ,0.076080  ,8.000000  ,0.441824  
2.420000  ,13.667778 ,0.979627  ,0.076080  ,8.000000  ,0.441766  
2.440000  ,13.671201 ,0.979620  ,0.266280  ,8.000000  ,0.441638  
2.460000  ,13.678429 ,0.979567  ,0.456480  ,8.000000  ,0.441168  
2.480000  ,13.689406 ,0.978609  ,0.646680  ,8.000000  ,0.439842  
2.500000  ,13.704067 ,0.976340  ,0.836880  ,8.000000  ,0.437083  
2.520000  ,13.722424 ,0.973108  ,1.027080  ,8.000000  ,0.433236  
2.540000  ,13.744463 ,0.968868  ,1.217280  ,8.000000  ,0.428259  
2.560000  ,13.770158 ,0.963510  ,1.407480  ,8.000000  ,0.422042  
2.580000  ,13.799470 ,0.956887  ,1.597680  ,8.000000  ,0.414439  
2.600000  ,13.832374 ,0.948919  ,1.787880  ,8.000000  ,0.405372  
2.620000  ,13.868837 ,0.939503  ,1.978080  ,8.000000  ,0.394737  
2.640000  ,13.908793 ,0.928427  ,2.168280  ,8.000000  ,0.382202  
2.660000  ,13.952173 ,0.915490  ,2.358480  ,8.000000  ,0.367893  
2.680000  ,13.998969 ,0.900724  ,2.548680  ,8.000000  ,0.351646  
2.700000  ,14.049139 ,0.884029  ,2.738880  ,8.000000  ,0.333363  
2.720000  ,14.102605 ,0.865216  ,2.929080  ,8.000000  ,0.312710  
2.740000  ,14.159370 ,0.844335  ,3.119280  ,8.000000  ,0.290139  
2.760000  ,14.219400 ,0.821330  ,3.309480  ,8.000000  ,0.265347  
2.780000  ,14.282631 ,0.796068  ,3.499680  ,8.000000  ,0.238203  
2.800000  ,14.349102 ,0.768671  ,3.689880  ,8.000000  ,0.208754  
2.820000  ,14.418907 ,0.739386  ,3.880080  ,8.000000  ,0.177529  
2.840000  ,14.492078 ,0.708293  ,4.070280  ,8.000000  ,0.144201  
2.860000  ,14.568718 ,0.675634  ,4.260480  ,8.000000  ,0.109569  
2.880000  ,14.648949 ,0.641703  ,4.450680  ,8.000000  ,0.073573  
2.900000  ,14.732860 ,0.606708  ,4.640880  ,8.000000  ,0.036290  
2.920000  ,14.820631 ,0.571101  ,4.831080  ,8.000000  ,0.001385  
2.940000  ,14.912369 ,0.535171  ,5.021280  ,8.000000  ,0.039662  
2.960000  ,15.008144 ,0.499145  ,5.211480  ,8.000000  ,0.077726  
