# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.069066  ,-0.050540 ,0.000000  ,-0.047750 ,45.000000 
0.020000  ,0.001503  ,0.000000  ,0.163572  ,8.000000  ,0.030356  ,-0.013519 ,0.000000  ,-0.018018 ,133.856132
0.040000  ,0.006676  ,-0.000001 ,0.353772  ,8.000000  ,0.030182  ,-0.006793 ,0.000000  ,-0.017418 ,2.489728  
0.060000  ,0.015653  ,-0.000011 ,0.543972  ,8.000000  ,0.037802  ,-0.049983 ,0.000000  ,-0.022610 ,-24.494254
0.080000  ,0.028435  ,-0.000076 ,0.734172  ,8.000000  ,0.084549  ,0.022610  ,0.000000  ,-0.056737 ,-38.143021
0.100000  ,0.045020  ,-0.000211 ,0.924372  ,8.000000  ,0.046145  ,-0.007294 ,0.000000  ,-0.026574 ,119.219497
0.120000  ,0.065408  ,-0.000419 ,1.114572  ,8.000000  ,0.039332  ,0.082804  ,0.000000  ,-0.020381 ,26.730739 
0.140000  ,0.089598  ,-0.000833 ,1.304772  ,8.000000  ,0.038940  ,-0.013344 ,0.090000  ,-0.015638 ,10.329359 
0.160000  ,0.117591  ,-0.001296 ,1.494972  ,8.000000  ,0.048599  ,-0.015209 ,0.090000  ,-0.022709 ,-15.630400
0.180000  ,0.149389  ,-0.001809 ,1.685172  ,8.000000  ,0.045638  ,0.049881  ,0.090000  ,-0.019927 ,3.702329  
0.200000  ,0.184989  ,-0.002394 ,1.875372  ,8.000000  ,0.098701  ,-0.022221 ,0.090000  ,-0.059490 ,-31.748257
0.220000  ,0.224393  ,-0.003070 ,2.065572  ,8.000000  ,0.038656  ,-0.048796 ,0.090000  ,-0.010965 ,108.017970
0.240000  ,0.267599  ,-0.003867 ,2.255772  ,8.000000  ,0.098080  ,0.025176  ,0.170000  ,-0.059368 ,-31.301057
0.260000  ,0.314604  ,-0.004946 ,2.445972  ,8.000000  ,0.000906  ,-0.034951 ,0.170000  ,0.019289  ,115.872925
0.280000  ,0.365410  ,-0.006196 ,2.636172  ,8.000000  ,0.049032  ,0.099546  ,0.170000  ,-0.017416 ,-26.863473
0.300000  ,0.420013  ,-0.007763 ,2.826372  ,8.000000  ,0.076262  ,-0.095427 ,0.170000  ,-0.032414 ,-19.540331
0.320000  ,0.478416  ,-0.009528 ,3.016572  ,8.000000  ,0.038941  ,0.092260  ,0.260000  ,-0.001089 ,57.461421 
0.340000  ,0.540618  ,-0.011508 ,3.206772  ,8.000000  ,0.039700  ,-0.084605 ,0.170000  ,0.062271  ,98.572421 
0.360000  ,0.606613  ,-0.013870 ,3.396972  ,8.000000  ,0.040837  ,-0.131174 ,0.260000  ,-0.001047 ,-30.405283
0.380000  ,0.676409  ,-0.016386 ,3.587172  ,8.000000  ,0.061089  ,-0.031399 ,0.340000  ,-0.011468 ,-14.584867
0.400000  ,0.750015  ,-0.018802 ,3.777372  ,8.000000  ,0.006748  ,0.024668  ,0.340000  ,0.039710  ,81.102974 
0.420000  ,0.827423  ,-0.021329 ,3.967572  ,8.000000  ,0.054697  ,0.000213  ,0.340000  ,-0.006987 ,-25.641940
0.440000  ,0.908634  ,-0.023961 ,4.157772  ,8.000000  ,0.025358  ,-0.077565 ,0.430000  ,0.013215  ,25.689702 
0.460000  ,0.993655  ,-0.026446 ,4.347972  ,8.000000  ,0.034059  ,0.020384  ,0.430000  ,0.001236  ,-7.245285 
0.480000  ,1.082483  ,-0.028892 ,4.538172  ,8.000000  ,0.038856  ,0.049654  ,0.520000  ,-0.001892 ,-4.787720 
0.500000  ,1.175117  ,-0.031290 ,4.728372  ,8.000000  ,0.054255  ,0.002308  ,0.520000  ,-0.018691 ,-9.686622 
0.520000  ,1.271556  ,-0.033717 ,4.918572  ,8.000000  ,0.016547  ,-0.029824 ,0.520000  ,0.039219  ,66.866830 
0.540000  ,1.371797  ,-0.036273 ,5.108772  ,8.000000  ,0.039381  ,0.006079  ,0.600000  ,0.055337  ,14.087861 
0.560000  ,1.475841  ,-0.038869 ,5.298788  ,8.000000  ,0.032709  ,-0.007035 ,0.690000  ,0.000058  ,-23.537152
0.580000  ,1.583577  ,-0.041251 ,5.475295  ,8.000000  ,0.027052  ,0.061759  ,0.690000  ,-0.000006 ,1.446784  
0.600000  ,1.694683  ,-0.043362 ,5.635414  ,8.000000  ,0.017559  ,-0.042719 ,0.770000  ,0.033497  ,31.584492 
0.620000  ,1.808844  ,-0.045364 ,5.780669  ,8.000000  ,0.029970  ,-0.023037 ,0.770000  ,-0.005827 ,-17.204936
0.640000  ,1.925777  ,-0.047216 ,5.912438  ,8.000000  ,0.069514  ,0.000014  ,0.770000  ,0.068517  ,78.357487 
0.660000  ,2.045227  ,-0.048659 ,6.031974  ,8.000000  ,0.008586  ,0.070567  ,0.860000  ,0.017320  ,-19.079686
0.680000  ,2.166958  ,-0.049805 ,6.140413  ,8.000000  ,0.032431  ,-0.018326 ,0.950000  ,0.031268  ,12.992699 
0.700000  ,2.290760  ,-0.050441 ,6.238784  ,8.000000  ,0.042730  ,0.046055  ,0.950000  ,0.034455  ,5.009024  
0.720000  ,2.416439  ,-0.050702 ,6.328022  ,8.000000  ,0.061219  ,0.069330  ,1.030000  ,0.044651  ,9.885614  
0.740000  ,2.543819  ,-0.050544 ,6.408976  ,8.000000  ,0.067587  ,0.023320  ,1.120000  ,0.045475  ,3.437407  
0.760000  ,2.672739  ,-0.049721 ,6.482413  ,8.000000  ,0.024632  ,0.028432  ,1.120000  ,0.006296  ,13.145797 
0.780000  ,2.803052  ,-0.048162 ,6.549033  ,8.000000  ,0.053207  ,0.065078  ,1.200000  ,0.023177  ,17.144305 
0.800000  ,2.934623  ,-0.045824 ,6.609469  ,8.000000  ,0.006245  ,0.060487  ,1.290000  ,-0.021044 ,12.964206 
0.820000  ,3.067334  ,-0.042860 ,6.664293  ,8.000000  ,0.066258  ,-0.027025 ,1.290000  ,0.021809  ,42.949666 
0.840000  ,3.201078  ,-0.039387 ,6.714027  ,8.000000  ,0.005558  ,-0.003179 ,1.380000  ,-0.028613 ,14.988706 
0.860000  ,3.335757  ,-0.035399 ,6.759145  ,8.000000  ,0.026634  ,0.069319  ,1.460000  ,-0.056442 ,8.470522  
0.880000  ,3.471280  ,-0.030942 ,6.800073  ,8.000000  ,0.060531  ,-0.025828 ,1.460000  ,0.012200  ,66.075300 
0.900000  ,3.607576  ,-0.026237 ,6.837202  ,8.000000  ,0.003725  ,-0.056079 ,1.550000  ,-0.030635 ,14.109727 
0.920000  ,3.744583  ,-0.021586 ,6.870884  ,8.000000  ,0.012955  ,0.077142  ,1.640000  ,-0.021085 ,6.438364  
0.940000  ,3.882230  ,-0.016896 ,6.901439  ,8.000000  ,0.021787  ,-0.004725 ,1.640000  ,-0.010735 ,5.849281  
0.960000  ,4.020462  ,-0.012282 ,6.929157  ,8.000000  ,0.007617  ,-0.011069 ,1.720000  ,-0.013139 ,4.014744  
0.980000  ,4.159229  ,-0.007859 ,6.954302  ,8.000000  ,0.024736  ,-0.044668 ,1.810000  ,-0.034065 ,9.835761  
1.000000  ,4.298485  ,-0.003723 ,6.977112  ,8.000000  ,0.045284  ,0.047066  ,1.810000  ,0.023407  ,47.835568 
1.020000  ,4.438186  ,0.000026  ,6.997805  ,8.000000  ,0.006016  ,-0.047490 ,1.890000  ,-0.011278 ,14.818561 
1.040000  ,4.578298  ,0.003097  ,7.016576  ,8.000000  ,0.044764  ,0.029843  ,1.980000  ,-0.034016 ,12.426800 
1.060000  ,4.718779  ,0.005644  ,7.033605  ,8.000000  ,0.042038  ,0.030725  ,1.980000  ,0.039884  ,59.089195 
1.080000  ,4.859594  ,0.007590  ,7.049053  ,8.000000  ,0.014703  ,0.069987  ,2.070000  ,0.001871  ,-16.970364
