# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,-0.011439 ,-0.011439 ,0.000000  ,8.000000  ,0.051336  
0.000000  ,-0.008175 ,-0.008175 ,0.000000  ,8.000000  ,0.048063  
0.020000  ,0.030737  ,0.029120  ,0.171180  ,8.000000  ,0.010665  
0.020000  ,0.035140  ,0.033523  ,0.171180  ,8.000000  ,0.006250  
0.040000  ,0.100633  ,0.093692  ,0.361380  ,8.000000  ,0.054093  
0.040000  ,0.032855  ,0.025913  ,0.361380  ,8.000000  ,0.013866  
0.060000  ,-0.010280 ,-0.026329 ,0.551580  ,8.000000  ,0.066223  
0.060000  ,0.020460  ,0.004411  ,0.551580  ,8.000000  ,0.035402  
0.080000  ,0.048105  ,0.019131  ,0.741780  ,8.000000  ,0.020608  
0.080000  ,0.005596  ,-0.023378 ,0.741780  ,8.000000  ,0.063229  
0.100000  ,0.039239  ,-0.006434 ,0.931980  ,8.000000  ,0.046196  
0.100000  ,0.039924  ,-0.005749 ,0.931980  ,8.000000  ,0.045510  
0.120000  ,0.056552  ,-0.009383 ,1.122180  ,8.000000  ,0.049099  
0.120000  ,0.154492  ,0.088557  ,1.122180  ,8.000000  ,0.051702  
0.140000  ,0.030620  ,-0.059316 ,1.312380  ,8.000000  ,0.099101  
0.140000  ,0.153675  ,0.063739  ,1.312380  ,8.000000  ,0.026944  
0.160000  ,0.132728  ,0.015203  ,1.502580  ,8.000000  ,0.020636  
0.160000  ,0.114573  ,-0.002952 ,1.502580  ,8.000000  ,0.037984  
0.180000  ,0.228486  ,0.079896  ,1.692780  ,8.000000  ,0.039833  
0.180000  ,0.191268  ,0.042678  ,1.692780  ,8.000000  ,0.004268  
0.200000  ,0.172918  ,-0.010226 ,1.882980  ,8.000000  ,0.047788  
0.200000  ,0.206819  ,0.023675  ,1.882980  ,8.000000  ,0.015393  
0.220000  ,0.330129  ,0.108594  ,2.073180  ,8.000000  ,0.061277  
0.220000  ,0.239621  ,0.018087  ,2.073180  ,8.000000  ,0.022403  
0.240000  ,0.303807  ,0.040082  ,2.263380  ,8.000000  ,0.003219  
0.240000  ,0.307918  ,0.044193  ,2.263380  ,8.000000  ,0.000710  
0.260000  ,0.299225  ,-0.010201 ,2.453580  ,8.000000  ,0.053255  
0.260000  ,0.252224  ,-0.057202 ,2.453580  ,8.000000  ,0.098168  
0.280000  ,0.332270  ,-0.026487 ,2.643780  ,8.000000  ,0.073817  
0.280000  ,0.402876  ,0.044119  ,2.643780  ,8.000000  ,0.000000  
0.300000  ,0.485496  ,0.073799  ,2.833980  ,8.000000  ,0.025193  
0.300000  ,0.424001  ,0.012304  ,2.833980  ,8.000000  ,0.035790  
0.320000  ,0.437150  ,-0.030907 ,3.024180  ,8.000000  ,0.079108  
0.320000  ,0.434196  ,-0.033861 ,3.024180  ,8.000000  ,0.082038  
0.340000  ,0.572799  ,0.044998  ,3.214380  ,8.000000  ,0.004087  
0.340000  ,0.579422  ,0.051621  ,3.214380  ,8.000000  ,0.002439  
0.360000  ,0.600076  ,0.009030  ,3.404580  ,8.000000  ,0.040451  
0.360000  ,0.579895  ,-0.011152 ,3.404580  ,8.000000  ,0.060334  
0.380000  ,0.595500  ,-0.062135 ,3.594780  ,8.000000  ,0.111541  
0.380000  ,0.675177  ,0.017542  ,3.594780  ,8.000000  ,0.033042  
0.400000  ,0.723391  ,-0.004291 ,3.784980  ,8.000000  ,0.055187  
0.400000  ,0.686570  ,-0.041112 ,3.784980  ,8.000000  ,0.091857  
0.420000  ,0.885774  ,0.084606  ,3.975180  ,8.000000  ,0.030591  
0.420000  ,0.827162  ,0.025993  ,3.975180  ,8.000000  ,0.026891  
0.440000  ,0.937588  ,0.059664  ,4.165380  ,8.000000  ,0.004508  
0.440000  ,0.885668  ,0.007744  ,4.165380  ,8.000000  ,0.046255  
0.460000  ,1.047226  ,0.089042  ,4.355580  ,8.000000  ,0.032020  
0.460000  ,0.896218  ,-0.061965 ,4.355580  ,8.000000  ,0.116153  
0.480000  ,1.160624  ,0.118383  ,4.545780  ,8.000000  ,0.059484  
0.480000  ,1.041345  ,-0.000896 ,4.545780  ,8.000000  ,0.057806  
0.500000  ,1.205615  ,0.075451  ,4.735980  ,8.000000  ,0.015747  
0.500000  ,1.183877  ,0.053713  ,4.735980  ,8.000000  ,0.005596  
0.520000  ,1.366114  ,0.143991  ,4.926180  ,8.000000  ,0.081422  
0.520000  ,1.222820  ,0.000696  ,4.926180  ,8.000000  ,0.059306  
0.540000  ,1.403344  ,0.085130  ,5.116380  ,8.000000  ,0.021863  
0.540000  ,1.331643  ,0.013430  ,5.116380  ,8.000000  ,0.048457  
0.560000  ,1.465054  ,0.046532  ,5.306580  ,8.000000  ,0.017906  
0.560000  ,1.475841  ,0.057319  ,5.306580  ,8.000000  ,0.007327  
0.580000  ,1.561879  ,0.038759  ,5.496780  ,8.000000  ,0.027500  
0.580000  ,1.529932  ,0.006812  ,5.496780  ,8.000000  ,0.058815  
0.600000  ,1.695202  ,0.063485  ,5.686980  ,8.000000  ,0.005392  
0.600000  ,1.783611  ,0.151894  ,5.686980  ,8.000000  ,0.081287  
0.620000  ,1.742665  ,-0.001530 ,5.877180  ,8.000000  ,0.071270  
0.620000  ,1.785073  ,0.040878  ,5.877180  ,8.000000  ,0.029736  
0.640000  ,1.928923  ,0.068423  ,6.067380  ,8.000000  ,0.005063  
0.640000  ,1.862865  ,0.002364  ,6.067380  ,8.000000  ,0.069828  
0.660000  ,1.999790  ,0.019333  ,6.246803  ,8.000000  ,0.055645  
0.660000  ,2.073034  ,0.092577  ,6.246803  ,8.000000  ,0.016029  
0.680000  ,2.186778  ,0.083248  ,6.409568  ,8.000000  ,0.004309  
0.680000  ,2.208596  ,0.105066  ,6.409568  ,8.000000  ,0.025642  
0.700000  ,2.320097  ,0.090653  ,6.557222  ,8.000000  ,0.008854  
0.700000  ,2.352452  ,0.123007  ,6.557222  ,8.000000  ,0.040461  
0.720000  ,2.442782  ,0.085106  ,6.691168  ,8.000000  ,0.000506  
