# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.039867  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.039862  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.039847  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.039847  
0.060000  ,0.016071  ,0.000061  ,0.551580  ,8.000000  ,0.039763  
0.060000  ,0.016071  ,0.000061  ,0.551580  ,8.000000  ,0.039763  
0.080000  ,0.028998  ,0.000488  ,0.741780  ,8.000000  ,0.039302  
0.080000  ,0.028998  ,0.000488  ,0.741780  ,8.000000  ,0.039302  
0.100000  ,0.045721  ,0.001171  ,0.931980  ,8.000000  ,0.038574  
0.100000  ,0.045721  ,0.001171  ,0.931980  ,8.000000  ,0.038574  
0.120000  ,0.066242  ,0.002100  ,1.122180  ,8.000000  ,0.037591  
0.120000  ,0.066242  ,0.002100  ,1.122180  ,8.000000  ,0.037591  
0.140000  ,0.090558  ,0.003296  ,1.312380  ,8.000000  ,0.036330  
0.140000  ,0.090558  ,0.003296  ,1.312380  ,8.000000  ,0.036330  
0.160000  ,0.118668  ,0.004793  ,1.502580  ,8.000000  ,0.030424  
0.160000  ,0.118668  ,0.004793  ,1.502580  ,8.000000  ,0.030424  
0.180000  ,0.150574  ,0.006540  ,1.692780  ,8.000000  ,0.030067  
0.180000  ,0.150574  ,0.006540  ,1.692780  ,8.000000  ,0.030067  
0.200000  ,0.186278  ,0.008494  ,1.882980  ,8.000000  ,0.029667  
0.200000  ,0.186278  ,0.008494  ,1.882980  ,8.000000  ,0.029667  
0.220000  ,0.225777  ,0.010716  ,2.073180  ,8.000000  ,0.029164  
0.220000  ,0.225777  ,0.010716  ,2.073180  ,8.000000  ,0.029164  
0.240000  ,0.269068  ,0.013254  ,2.263380  ,8.000000  ,0.028511  
0.240000  ,0.269068  ,0.013254  ,2.263380  ,8.000000  ,0.028511  
0.260000  ,0.316156  ,0.016026  ,2.453580  ,8.000000  ,0.031172  
0.260000  ,0.316156  ,0.016026  ,2.453580  ,8.000000  ,0.031172  
0.280000  ,0.367042  ,0.019017  ,2.643780  ,8.000000  ,0.028604  
0.280000  ,0.367042  ,0.019017  ,2.643780  ,8.000000  ,0.028604  
0.300000  ,0.421724  ,0.022260  ,2.833980  ,8.000000  ,0.025816  
0.300000  ,0.421724  ,0.022260  ,2.833980  ,8.000000  ,0.025816  
0.320000  ,0.480200  ,0.025768  ,3.024180  ,8.000000  ,0.022793  
0.320000  ,0.480200  ,0.025768  ,3.024180  ,8.000000  ,0.022793  
0.340000  ,0.542480  ,0.029401  ,3.214380  ,8.000000  ,0.019237  
0.340000  ,0.542480  ,0.029401  ,3.214380  ,8.000000  ,0.019237  
0.360000  ,0.608563  ,0.033146  ,3.404580  ,8.000000  ,0.016462  
0.360000  ,0.608563  ,0.033146  ,3.404580  ,8.000000  ,0.016462  
0.380000  ,0.678451  ,0.036999  ,3.594780  ,8.000000  ,0.013635  
0.380000  ,0.678451  ,0.036999  ,3.594780  ,8.000000  ,0.013635  
0.400000  ,0.752143  ,0.040951  ,3.784980  ,8.000000  ,0.010503  
0.400000  ,0.752143  ,0.040951  ,3.784980  ,8.000000  ,0.010503  
0.420000  ,0.829639  ,0.044989  ,3.975180  ,8.000000  ,0.007946  
0.420000  ,0.829639  ,0.044989  ,3.975180  ,8.000000  ,0.007946  
0.440000  ,0.910943  ,0.049053  ,4.165380  ,8.000000  ,0.005436  
0.440000  ,0.910943  ,0.049053  ,4.165380  ,8.000000  ,0.005436  
0.460000  ,0.996056  ,0.053121  ,4.355580  ,8.000000  ,0.003027  
0.460000  ,0.996056  ,0.053121  ,4.355580  ,8.000000  ,0.003027  
0.480000  ,1.084975  ,0.057218  ,4.545780  ,8.000000  ,0.000441  
0.480000  ,1.084975  ,0.057218  ,4.545780  ,8.000000  ,0.000441  
0.500000  ,1.177705  ,0.061232  ,4.735980  ,8.000000  ,0.002034  
0.500000  ,1.177705  ,0.061232  ,4.735980  ,8.000000  ,0.002034  
0.520000  ,1.274248  ,0.065134  ,4.926180  ,8.000000  ,0.004193  
0.520000  ,1.274248  ,0.065134  ,4.926180  ,8.000000  ,0.004193  
0.540000  ,1.374603  ,0.068893  ,5.116380  ,8.000000  ,0.006177  
0.540000  ,1.374603  ,0.068893  ,5.116380  ,8.000000  ,0.006177  
0.560000  ,1.478771  ,0.072475  ,5.306580  ,8.000000  ,0.007771  
0.560000  ,1.478771  ,0.072475  ,5.306580  ,8.000000  ,0.007771  
0.580000  ,1.586749  ,0.075948  ,5.496780  ,8.000000  ,0.009194  
0.580000  ,1.586749  ,0.075948  ,5.496780  ,8.000000  ,0.009194  
0.600000  ,1.698537  ,0.079298  ,5.686980  ,8.000000  ,0.010353  
0.600000  ,1.698537  ,0.079298  ,5.686980  ,8.000000  ,0.010353  
0.620000  ,1.814133  ,0.082523  ,5.877180  ,8.000000  ,0.011308  
0.620000  ,1.814133  ,0.082523  ,5.877180  ,8.000000  ,0.011308  
0.640000  ,1.933539  ,0.085622  ,6.067380  ,8.000000  ,0.012034  
0.640000  ,1.933539  ,0.085622  ,6.067380  ,8.000000  ,0.012034  
0.660000  ,2.056666  ,0.088591  ,6.246803  ,8.000000  ,0.012392  
0.660000  ,2.056666  ,0.088591  ,6.246803  ,8.000000  ,0.012392  
0.680000  ,2.183218  ,0.091420  ,6.409568  ,8.000000  ,0.012557  
0.680000  ,2.183218  ,0.091420  ,6.409568  ,8.000000  ,0.012557  
0.700000  ,2.312877  ,0.094092  ,6.557222  ,8.000000  ,0.012457  
0.700000  ,2.312877  ,0.094092  ,6.557222  ,8.000000  ,0.012457  
0.720000  ,2.445353  ,0.096590  ,6.691168  ,8.000000  ,0.011928  
0.720000  ,2.445353  ,0.096590  ,6.691168  ,8.000000  ,0.011928  
0.740000  ,2.580387  ,0.098894  ,6.812679  ,8.000000  ,0.011172  
0.740000  ,2.580387  ,0.098894  ,6.812679  ,8.000000  ,0.011172  
0.760000  ,2.717740  ,0.100983  ,6.922908  ,8.000000  ,0.010085  
0.760000  ,2.717740  ,0.100983  ,6.922908  ,8.000000  ,0.010085  
0.780000  ,2.857198  ,0.102855  ,7.022904  ,8.000000  ,0.008529  
0.780000  ,2.857198  ,0.102855  ,7.022904  ,8.000000  ,0.008529  
0.800000  ,2.998562  ,0.104704  ,7.113617  ,8.000000  ,0.006912  
0.800000  ,2.998562  ,0.104704  ,7.113617  ,8.000000  ,0.006912  
0.820000  ,3.141655  ,0.106566  ,7.195908  ,8.000000  ,0.005190  
0.820000  ,3.141655  ,0.106566  ,7.195908  ,8.000000  ,0.005190  
0.840000  ,3.286316  ,0.108488  ,7.270559  ,8.000000  ,0.003295  
0.840000  ,3.286316  ,0.108488  ,7.270559  ,8.000000  ,0.003295  
0.860000  ,3.432399  ,0.110527  ,7.338280  ,8.000000  ,0.001458  
0.860000  ,3.432399  ,0.110527  ,7.338280  ,8.000000  ,0.001458  
0.880000  ,3.579769  ,0.112749  ,7.399713  ,8.000000  ,0.000316  
0.880000  ,3.579769  ,0.112749  ,7.399713  ,8.000000  ,0.000316  
0.900000  ,3.728307  ,0.115217  ,7.455443  ,8.000000  ,0.001966  
0.900000  ,3.728307  ,0.115217  ,7.455443  ,8.000000  ,0.001966  
0.920000  ,3.877902  ,0.117990  ,7.505999  ,8.000000  ,0.003555  
0.920000  ,3.877902  ,0.117990  ,7.505999  ,8.000000  ,0.003555  
0.940000  ,4.028454  ,0.121122  ,7.551862  ,8.000000  ,0.004833  
0.940000  ,4.028454  ,0.121122  ,7.551862  ,8.000000  ,0.004833  
0.960000  ,4.179871  ,0.124657  ,7.593466  ,8.000000  ,0.005829  
0.960000  ,4.179871  ,0.124657  ,7.593466  ,8.000000  ,0.005829  
0.980000  ,4.332070  ,0.128635  ,7.631209  ,8.000000  ,0.006505  
0.980000  ,4.332070  ,0.128635  ,7.631209  ,8.000000  ,0.006505  
1.000000  ,4.484976  ,0.133088  ,7.665447  ,8.000000  ,0.006941  
1.000000  ,4.484976  ,0.133088  ,7.665447  ,8.000000  ,0.006941  
1.020000  ,4.638519  ,0.138047  ,7.696506  ,8.000000  ,0.006923  
1.020000  ,4.638519  ,0.138047  ,7.696506  ,8.000000  ,0.006923  
1.040000  ,4.792638  ,0.143508  ,7.724682  ,8.000000  ,0.006522  
1.040000  ,4.792638  ,0.143508  ,7.724682  ,8.000000  ,0.006522  
1.060000  ,4.947284  ,0.149241  ,7.750243  ,8.000000  ,0.005970  
1.060000  ,4.947284  ,0.149241  ,7.750243  ,8.000000  ,0.005970  
1.080000  ,5.102409  ,0.155202  ,7.773430  ,8.000000  ,0.005404  
1.080000  ,5.102409  ,0.155202  ,7.773430  ,8.000000  ,0.005404  
1.100000  ,5.257970  ,0.161329  ,7.794464  ,8.000000  ,0.004734  
1.100000  ,5.257970  ,0.161329  ,7.794464  ,8.000000  ,0.004734  
1.120000  ,5.413928  ,0.167539  ,7.813546  ,8.000000  ,0.000000  
1.120000  ,5.413928  ,0.167539  ,7.813546  ,8.000000  ,0.000000  
1.140000  ,5.570252  ,0.173732  ,7.830856  ,8.000000  ,0.003594  
1.140000  ,5.570252  ,0.173732  ,7.830856  ,8.000000  ,0.003594  
1.160000  ,5.726910  ,0.179810  ,7.846559  ,8.000000  ,0.003320  
1.160000  ,5.726910  ,0.179810  ,7.846559  ,8.000000  ,0.003320  
1.180000  ,5.883875  ,0.185704  ,7.860805  ,8.000000  ,0.003447  
1.180000  ,5.883875  ,0.185704  ,7.860805  ,8.000000  ,0.003447  
1.200000  ,6.041112  ,0.191584  ,7.873727  ,8.000000  ,0.003628  
1.200000  ,6.041112  ,0.191584  ,7.873727  ,8.000000  ,0.003628  
1.220000  ,6.198597  ,0.197433  ,7.885450  ,8.000000  ,0.000000  
1.220000  ,6.198597  ,0.197433  ,7.885450  ,8.000000  ,0.000000  
1.240000  ,6.356306  ,0.203261  ,7.896085  ,8.000000  ,0.004394  
1.240000  ,6.356306  ,0.203261  ,7.896085  ,8.000000  ,0.004394  
1.260000  ,6.514216  ,0.209113  ,7.905732  ,8.000000  ,0.004921  
1.260000  ,6.514216  ,0.209113  ,7.905732  ,8.000000  ,0.004921  
1.280000  ,6.672308  ,0.215055  ,7.914484  ,8.000000  ,0.005560  
1.280000  ,6.672308  ,0.215055  ,7.914484  ,8.000000  ,0.005560  
1.300000  ,6.830560  ,0.221162  ,7.922423  ,8.000000  ,0.006060  
1.300000  ,6.830560  ,0.221162  ,7.922423  ,8.000000  ,0.006060  
1.320000  ,6.988954  ,0.227513  ,7.929626  ,8.000000  ,0.006410  
1.320000  ,6.988954  ,0.227513  ,7.929626  ,8.000000  ,0.006410  
1.340000  ,7.147473  ,0.234185  ,7.936159  ,8.000000  ,0.006532  
1.340000  ,7.147473  ,0.234185  ,7.936159  ,8.000000  ,0.006532  
1.360000  ,7.306099  ,0.241250  ,7.942086  ,8.000000  ,0.006351  
1.360000  ,7.306099  ,0.241250  ,7.942086  ,8.000000  ,0.006351  
1.380000  ,7.464818  ,0.248746  ,7.947463  ,8.000000  ,0.005910  
1.380000  ,7.464818  ,0.248746  ,7.947463  ,8.000000  ,0.005910  
1.400000  ,7.623629  ,0.256468  ,7.952340  ,8.000000  ,0.005260  
1.400000  ,7.623629  ,0.256468  ,7.952340  ,8.000000  ,0.005260  
1.420000  ,7.782522  ,0.264406  ,7.956765  ,8.000000  ,0.004473  
1.420000  ,7.782522  ,0.264406  ,7.956765  ,8.000000  ,0.004473  
1.440000  ,7.941491  ,0.272522  ,7.960779  ,8.000000  ,0.003581  
1.440000  ,7.941491  ,0.272522  ,7.960779  ,8.000000  ,0.003581  
1.460000  ,8.100531  ,0.280746  ,7.964420  ,8.000000  ,0.002702  
1.460000  ,8.100531  ,0.280746  ,7.964420  ,8.000000  ,0.002702  
1.480000  ,8.259639  ,0.288991  ,7.967723  ,8.000000  ,0.001835  
1.480000  ,8.259639  ,0.288991  ,7.967723  ,8.000000  ,0.001835  
