# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.190879 ,0.110070  ,7.983531  ,8.000000  ,0.000000  ,-0.029791 ,100.000000,0.015341  ,1.085077  
0.020000  ,-0.031887 ,0.124234  ,7.978945  ,8.000000  ,0.053606  ,-0.052251 ,0.000000  ,-0.002660 ,1.622063  
0.040000  ,0.126882  ,0.139125  ,7.968207  ,8.000000  ,0.051467  ,0.098524  ,0.100000  ,-0.009494 ,2.081391  
0.060000  ,0.285603  ,0.154738  ,7.980305  ,8.000000  ,0.037774  ,0.062940  ,0.100000  ,-0.022348 ,2.328963  
0.080000  ,0.444454  ,0.171023  ,7.987977  ,8.000000  ,0.027507  ,0.008749  ,0.200000  ,-0.032337 ,2.326420  
0.100000  ,0.603333  ,0.187959  ,7.989905  ,8.000000  ,0.024402  ,0.013371  ,0.300000  ,-0.040252 ,2.126310  
0.120000  ,0.762194  ,0.205442  ,7.992084  ,8.000000  ,0.019836  ,-0.012223 ,0.400000  ,-0.046039 ,1.797898  
0.140000  ,0.921042  ,0.223091  ,7.990601  ,8.000000  ,0.013133  ,-0.040984 ,0.510000  ,-0.035467 ,1.318701  
0.160000  ,1.079767  ,0.240696  ,7.979729  ,8.000000  ,0.007741  ,0.057554  ,0.510000  ,-0.033905 ,0.686809  
0.180000  ,1.238488  ,0.258053  ,7.986954  ,8.000000  ,0.002556  ,0.019960  ,0.610000  ,-0.029110 ,0.023766  
0.200000  ,1.397364  ,0.274934  ,7.990018  ,8.000000  ,0.002246  ,0.030162  ,0.710000  ,-0.021423 ,0.751254  
0.220000  ,1.556381  ,0.291113  ,7.993745  ,8.000000  ,0.006559  ,-0.063351 ,0.810000  ,-0.011424 ,1.445712  
0.240000  ,1.715297  ,0.306592  ,7.974091  ,8.000000  ,0.010194  ,-0.015698 ,0.910000  ,-0.002825 ,2.019277  
0.260000  ,1.874117  ,0.321203  ,7.975039  ,8.000000  ,0.013260  ,0.006819  ,0.910000  ,0.003721  ,2.407959  
0.280000  ,2.033064  ,0.334832  ,7.977990  ,8.000000  ,0.015418  ,-0.030359 ,1.010000  ,0.009925  ,2.636113  
0.300000  ,2.192085  ,0.347560  ,7.975116  ,8.000000  ,0.016864  ,-0.002799 ,1.110000  ,0.014134  ,2.701580  
0.320000  ,2.351159  ,0.359516  ,7.977166  ,8.000000  ,0.017735  ,-0.024764 ,1.210000  ,0.014985  ,2.572548  
0.340000  ,2.510299  ,0.370751  ,7.976502  ,8.000000  ,0.018102  ,-0.068361 ,1.320000  ,0.008431  ,2.279943  
0.360000  ,2.669314  ,0.381356  ,7.961059  ,8.000000  ,0.018353  ,0.015914  ,1.320000  ,0.005261  ,1.902634  
0.380000  ,2.828265  ,0.391467  ,7.966152  ,8.000000  ,0.018224  ,-0.013162 ,1.420000  ,0.000404  ,1.481486  
0.400000  ,2.987308  ,0.401236  ,7.968072  ,8.000000  ,0.018028  ,-0.061759 ,1.520000  ,-0.006087 ,1.045151  
0.420000  ,3.146273  ,0.410806  ,7.957804  ,8.000000  ,0.017927  ,-0.040886 ,1.620000  ,-0.014037 ,0.622740  
0.440000  ,3.305155  ,0.420160  ,7.957925  ,8.000000  ,0.017918  ,-0.073934 ,1.720000  ,-0.019356 ,0.279032  
0.460000  ,3.463938  ,0.429262  ,7.946958  ,8.000000  ,0.018296  ,0.046271  ,1.720000  ,-0.023361 ,0.087074  
0.480000  ,3.622720  ,0.438179  ,7.956179  ,8.000000  ,0.018609  ,0.004259  ,1.820000  ,-0.025869 ,0.044261  
0.500000  ,3.781648  ,0.446937  ,7.960642  ,8.000000  ,0.019082  ,-0.046983 ,1.920000  ,-0.027159 ,0.100436  
0.520000  ,3.940602  ,0.455504  ,7.958017  ,8.000000  ,0.019697  ,0.007680  ,2.020000  ,-0.027392 ,0.219514  
0.540000  ,4.099591  ,0.463840  ,7.962628  ,8.000000  ,0.020415  ,-0.025009 ,2.130000  ,-0.024280 ,0.374532  
0.560000  ,4.258651  ,0.471893  ,7.963776  ,8.000000  ,0.021523  ,-0.031034 ,2.130000  ,-0.023266 ,0.545639  
0.580000  ,4.417745  ,0.479601  ,7.964258  ,8.000000  ,0.022393  ,-0.003683 ,2.230000  ,-0.021618 ,0.719990  
0.600000  ,4.576893  ,0.486905  ,7.967234  ,8.000000  ,0.023188  ,-0.018408 ,2.330000  ,-0.019356 ,0.887752  
0.620000  ,4.736104  ,0.493749  ,7.968567  ,8.000000  ,0.023848  ,0.011370  ,2.430000  ,-0.016490 ,1.043139  
0.640000  ,4.895390  ,0.500079  ,7.972541  ,8.000000  ,0.024315  ,0.021491  ,2.530000  ,-0.014007 ,1.182465  
0.660000  ,5.054782  ,0.505849  ,7.977085  ,8.000000  ,0.024831  ,0.009814  ,2.530000  ,-0.010703 ,1.303391  
