# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,-0.181797 ,0.120462  ,7.861069  ,8.000000  ,0.000000  
0.000000  ,-0.181797 ,0.120462  ,7.861069  ,8.000000  ,0.000000  
0.020000  ,-0.025843 ,0.141094  ,7.870102  ,8.000000  ,0.033815  
0.020000  ,-0.025843 ,0.141094  ,7.870102  ,8.000000  ,0.033815  
0.040000  ,0.130267  ,0.162405  ,7.885597  ,8.000000  ,0.029225  
0.040000  ,0.130267  ,0.162405  ,7.885597  ,8.000000  ,0.029225  
0.060000  ,0.286548  ,0.184524  ,7.898090  ,8.000000  ,0.012313  
0.060000  ,0.286548  ,0.184524  ,7.898090  ,8.000000  ,0.012313  
0.080000  ,0.442903  ,0.207318  ,7.902592  ,8.000000  ,0.014774  
0.080000  ,0.442903  ,0.207318  ,7.902592  ,8.000000  ,0.014774  
0.100000  ,0.599298  ,0.230854  ,7.912934  ,8.000000  ,0.016287  
0.100000  ,0.599298  ,0.230854  ,7.912934  ,8.000000  ,0.016287  
0.120000  ,0.755782  ,0.255024  ,7.920936  ,8.000000  ,0.016271  
0.120000  ,0.755782  ,0.255024  ,7.920936  ,8.000000  ,0.016271  
0.140000  ,0.912292  ,0.279645  ,7.922549  ,8.000000  ,0.014039  
0.140000  ,0.912292  ,0.279645  ,7.922549  ,8.000000  ,0.014039  
0.160000  ,1.068788  ,0.304625  ,7.925152  ,8.000000  ,0.012835  
0.160000  ,1.068788  ,0.304625  ,7.925152  ,8.000000  ,0.012835  
0.180000  ,1.225445  ,0.329858  ,7.942225  ,8.000000  ,0.011112  
0.180000  ,1.225445  ,0.329858  ,7.942225  ,8.000000  ,0.011112  
0.200000  ,1.382273  ,0.355181  ,7.943637  ,8.000000  ,0.009275  
0.200000  ,1.382273  ,0.355181  ,7.943637  ,8.000000  ,0.009275  
0.220000  ,1.539189  ,0.380406  ,7.949368  ,8.000000  ,0.007263  
0.220000  ,1.539189  ,0.380406  ,7.949368  ,8.000000  ,0.007263  
0.240000  ,1.696311  ,0.405381  ,7.959948  ,8.000000  ,0.005424  
0.240000  ,1.696311  ,0.405381  ,7.959948  ,8.000000  ,0.005424  
0.260000  ,1.853671  ,0.429947  ,7.966653  ,8.000000  ,0.003457  
0.260000  ,1.853671  ,0.429947  ,7.966653  ,8.000000  ,0.003457  
0.280000  ,2.010711  ,0.454047  ,7.923455  ,8.000000  ,0.001718  
0.280000  ,2.010711  ,0.454047  ,7.923455  ,8.000000  ,0.001718  
0.300000  ,2.167189  ,0.477680  ,7.902832  ,8.000000  ,0.000030  
0.300000  ,2.167189  ,0.477680  ,7.902832  ,8.000000  ,0.000030  
0.320000  ,2.323576  ,0.500842  ,7.906456  ,8.000000  ,0.001742  
0.320000  ,2.323576  ,0.500842  ,7.906456  ,8.000000  ,0.001742  
0.340000  ,2.480227  ,0.523569  ,7.922471  ,8.000000  ,0.003458  
0.340000  ,2.480227  ,0.523569  ,7.922471  ,8.000000  ,0.003458  
0.360000  ,2.637121  ,0.545890  ,7.924890  ,8.000000  ,0.005851  
0.360000  ,2.637121  ,0.545890  ,7.924890  ,8.000000  ,0.005851  
0.380000  ,2.793834  ,0.567805  ,7.900194  ,8.000000  ,0.008139  
0.380000  ,2.793834  ,0.567805  ,7.900194  ,8.000000  ,0.008139  
