# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.176949  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.176949  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.177480  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.177480  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.178323  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.178323  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.178926  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.178926  
0.100000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.179167  
0.100000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.179167  
0.120000  ,0.066072  ,0.004510  ,1.122180  ,8.000000  ,0.178912  
0.120000  ,0.066072  ,0.004510  ,1.122180  ,8.000000  ,0.178912  
0.140000  ,0.090196  ,0.007776  ,1.312380  ,8.000000  ,0.178077  
0.140000  ,0.090196  ,0.007776  ,1.312380  ,8.000000  ,0.178077  
0.160000  ,0.117986  ,0.012263  ,1.502580  ,8.000000  ,0.177938  
0.160000  ,0.117986  ,0.012263  ,1.502580  ,8.000000  ,0.177938  
0.180000  ,0.149455  ,0.017803  ,1.692780  ,8.000000  ,0.174888  
0.180000  ,0.149455  ,0.017803  ,1.692780  ,8.000000  ,0.174888  
0.200000  ,0.184597  ,0.024410  ,1.882980  ,8.000000  ,0.171063  
0.200000  ,0.184597  ,0.024410  ,1.882980  ,8.000000  ,0.171063  
0.220000  ,0.223403  ,0.032105  ,2.073180  ,8.000000  ,0.166441  
0.220000  ,0.223403  ,0.032105  ,2.073180  ,8.000000  ,0.166441  
0.240000  ,0.265834  ,0.041058  ,2.263380  ,8.000000  ,0.160849  
0.240000  ,0.265834  ,0.041058  ,2.263380  ,8.000000  ,0.160849  
0.260000  ,0.311868  ,0.051344  ,2.453580  ,8.000000  ,0.147827  
0.260000  ,0.311868  ,0.051344  ,2.453580  ,8.000000  ,0.147827  
0.280000  ,0.361514  ,0.062900  ,2.643780  ,8.000000  ,0.144345  
0.280000  ,0.361514  ,0.062900  ,2.643780  ,8.000000  ,0.144345  
0.300000  ,0.414695  ,0.076029  ,2.833980  ,8.000000  ,0.139875  
0.300000  ,0.414695  ,0.076029  ,2.833980  ,8.000000  ,0.139875  
0.320000  ,0.471359  ,0.090892  ,3.024180  ,8.000000  ,0.134249  
0.320000  ,0.471359  ,0.090892  ,3.024180  ,8.000000  ,0.134249  
0.340000  ,0.531523  ,0.107393  ,3.214380  ,8.000000  ,0.128027  
0.340000  ,0.531523  ,0.107393  ,3.214380  ,8.000000  ,0.128027  
0.360000  ,0.595178  ,0.125533  ,3.404580  ,8.000000  ,0.119762  
0.360000  ,0.595178  ,0.125533  ,3.404580  ,8.000000  ,0.119762  
0.380000  ,0.662364  ,0.145156  ,3.594780  ,8.000000  ,0.110567  
0.380000  ,0.662364  ,0.145156  ,3.594780  ,8.000000  ,0.110567  
0.400000  ,0.733165  ,0.165973  ,3.784980  ,8.000000  ,0.101154  
0.400000  ,0.733165  ,0.165973  ,3.784980  ,8.000000  ,0.101154  
0.420000  ,0.807576  ,0.187995  ,3.975180  ,8.000000  ,0.090040  
0.420000  ,0.807576  ,0.187995  ,3.975180  ,8.000000  ,0.090040  
0.440000  ,0.885528  ,0.211453  ,4.165380  ,8.000000  ,0.077466  
0.440000  ,0.885528  ,0.211453  ,4.165380  ,8.000000  ,0.077466  
0.460000  ,0.967085  ,0.236136  ,4.355580  ,8.000000  ,0.065248  
0.460000  ,0.967085  ,0.236136  ,4.355580  ,8.000000  ,0.065248  
0.480000  ,1.052285  ,0.261910  ,4.545780  ,8.000000  ,0.052494  
0.480000  ,1.052285  ,0.261910  ,4.545780  ,8.000000  ,0.052494  
0.500000  ,1.141214  ,0.288494  ,4.735980  ,8.000000  ,0.039528  
0.500000  ,1.141214  ,0.288494  ,4.735980  ,8.000000  ,0.039528  
0.520000  ,1.233930  ,0.315688  ,4.926180  ,8.000000  ,0.026384  
0.520000  ,1.233930  ,0.315688  ,4.926180  ,8.000000  ,0.026384  
0.540000  ,1.330503  ,0.343237  ,5.116380  ,8.000000  ,0.013532  
0.540000  ,1.330503  ,0.343237  ,5.116380  ,8.000000  ,0.013532  
0.560000  ,1.430902  ,0.371235  ,5.306580  ,8.000000  ,0.000495  
0.560000  ,1.430902  ,0.371235  ,5.306580  ,8.000000  ,0.000495  
0.580000  ,1.535146  ,0.399596  ,5.496780  ,8.000000  ,0.012310  
0.580000  ,1.535146  ,0.399596  ,5.496780  ,8.000000  ,0.012310  
0.600000  ,1.643282  ,0.428130  ,5.686980  ,8.000000  ,0.024909  
0.600000  ,1.643282  ,0.428130  ,5.686980  ,8.000000  ,0.024909  
0.620000  ,1.755361  ,0.456611  ,5.877180  ,8.000000  ,0.036899  
0.620000  ,1.755361  ,0.456611  ,5.877180  ,8.000000  ,0.036899  
0.640000  ,1.871364  ,0.485078  ,6.067380  ,8.000000  ,0.048354  
0.640000  ,1.871364  ,0.485078  ,6.067380  ,8.000000  ,0.048354  
0.660000  ,1.991217  ,0.513441  ,6.246803  ,8.000000  ,0.059807  
0.660000  ,1.991217  ,0.513441  ,6.246803  ,8.000000  ,0.059807  
0.680000  ,2.114641  ,0.541548  ,6.409568  ,8.000000  ,0.070411  
0.680000  ,2.114641  ,0.541548  ,6.409568  ,8.000000  ,0.070411  
0.700000  ,2.241338  ,0.569227  ,6.557222  ,8.000000  ,0.080295  
0.700000  ,2.241338  ,0.569227  ,6.557222  ,8.000000  ,0.080295  
0.720000  ,2.371097  ,0.596033  ,6.691168  ,8.000000  ,0.089901  
0.720000  ,2.371097  ,0.596033  ,6.691168  ,8.000000  ,0.089901  
0.740000  ,2.503706  ,0.621608  ,6.812679  ,8.000000  ,0.097761  
0.740000  ,2.503706  ,0.621608  ,6.812679  ,8.000000  ,0.097761  
0.760000  ,2.639002  ,0.645370  ,6.922908  ,8.000000  ,0.103788  
0.760000  ,2.639002  ,0.645370  ,6.922908  ,8.000000  ,0.103788  
0.780000  ,2.776786  ,0.666978  ,7.022904  ,8.000000  ,0.108644  
0.780000  ,2.776786  ,0.666978  ,7.022904  ,8.000000  ,0.108644  
0.800000  ,2.916803  ,0.686528  ,7.113617  ,8.000000  ,0.111105  
0.800000  ,2.916803  ,0.686528  ,7.113617  ,8.000000  ,0.111105  
0.820000  ,3.058812  ,0.704195  ,7.195908  ,8.000000  ,0.111935  
0.820000  ,3.058812  ,0.704195  ,7.195908  ,8.000000  ,0.111935  
0.840000  ,3.202624  ,0.719952  ,7.270559  ,8.000000  ,0.112071  
0.840000  ,3.202624  ,0.719952  ,7.270559  ,8.000000  ,0.112071  
0.860000  ,3.348081  ,0.733589  ,7.338280  ,8.000000  ,0.110057  
0.860000  ,3.348081  ,0.733589  ,7.338280  ,8.000000  ,0.110057  
0.880000  ,3.495042  ,0.744768  ,7.399713  ,8.000000  ,0.106081  
0.880000  ,3.495042  ,0.744768  ,7.399713  ,8.000000  ,0.106081  
0.900000  ,3.643333  ,0.753647  ,7.455443  ,8.000000  ,0.100365  
0.900000  ,3.643333  ,0.753647  ,7.455443  ,8.000000  ,0.100365  
0.920000  ,3.792817  ,0.759996  ,7.505999  ,8.000000  ,0.093889  
0.920000  ,3.792817  ,0.759996  ,7.505999  ,8.000000  ,0.093889  
0.940000  ,3.943344  ,0.764127  ,7.551862  ,8.000000  ,0.085222  
0.940000  ,3.943344  ,0.764127  ,7.551862  ,8.000000  ,0.085222  
0.960000  ,4.094782  ,0.766561  ,7.593466  ,8.000000  ,0.075622  
0.960000  ,4.094782  ,0.766561  ,7.593466  ,8.000000  ,0.075622  
0.980000  ,4.247028  ,0.767761  ,7.631209  ,8.000000  ,0.065603  
0.980000  ,4.247028  ,0.767761  ,7.631209  ,8.000000  ,0.065603  
1.000000  ,4.399998  ,0.768125  ,7.665447  ,8.000000  ,0.056854  
1.000000  ,4.399998  ,0.768125  ,7.665447  ,8.000000  ,0.056854  
1.020000  ,4.553621  ,0.768344  ,7.696506  ,8.000000  ,0.048117  
1.020000  ,4.553621  ,0.768344  ,7.696506  ,8.000000  ,0.048117  
1.040000  ,4.707837  ,0.768464  ,7.724682  ,8.000000  ,0.040252  
1.040000  ,4.707837  ,0.768464  ,7.724682  ,8.000000  ,0.040252  
1.060000  ,4.862589  ,0.768533  ,7.750243  ,8.000000  ,0.033345  
1.060000  ,4.862589  ,0.768533  ,7.750243  ,8.000000  ,0.033345  
1.080000  ,5.017828  ,0.768751  ,7.773430  ,8.000000  ,0.028807  
1.080000  ,5.017828  ,0.768751  ,7.773430  ,8.000000  ,0.028807  
1.100000  ,5.173508  ,0.769394  ,7.794464  ,8.000000  ,0.025084  
1.100000  ,5.173508  ,0.769394  ,7.794464  ,8.000000  ,0.025084  
