# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,0.181983  ,0.000000  ,0.406554  ,0.000000  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.179638  ,-0.063201 ,0.000000  ,0.161370  ,0.000000  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.179959  ,0.219681  ,0.000000  ,0.443741  ,0.021375  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.180440  ,-0.132540 ,0.000000  ,0.089269  ,0.269306  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.180528  ,0.154769  ,0.000000  ,0.372636  ,2.675378  
0.100000  ,0.045671  ,0.002078  ,0.931980  ,8.000000  ,0.180226  ,0.120707  ,0.000000  ,0.331658  ,3.707318  
0.120000  ,0.066139  ,0.003816  ,1.122180  ,8.000000  ,0.179729  ,0.107548  ,0.000000  ,0.310400  ,3.599600  
0.140000  ,0.090360  ,0.006277  ,1.312380  ,8.000000  ,0.178736  ,-0.012040 ,0.000000  ,0.179665  ,3.892223  
0.160000  ,0.118279  ,0.009862  ,1.502580  ,8.000000  ,0.180617  ,0.123765  ,0.100000  ,0.299967  ,4.474832  
0.180000  ,0.149842  ,0.014840  ,1.692780  ,8.000000  ,0.176020  ,0.013122  ,0.100000  ,0.169767  ,4.919020  
0.200000  ,0.185038  ,0.021146  ,1.882980  ,8.000000  ,0.170140  ,0.118314  ,0.100000  ,0.250590  ,4.777596  
0.220000  ,0.223805  ,0.029030  ,2.073180  ,8.000000  ,0.162726  ,0.017392  ,0.100000  ,0.121454  ,4.596421  
0.240000  ,0.266142  ,0.038420  ,2.263380  ,8.000000  ,0.153849  ,0.117958  ,0.100000  ,0.194390  ,4.072466  
0.260000  ,0.312021  ,0.049374  ,2.453580  ,8.000000  ,0.137132  ,-0.099637 ,0.200000  ,-0.049672 ,3.464016  
0.280000  ,0.361423  ,0.061935  ,2.643780  ,8.000000  ,0.128931  ,-0.061846 ,0.200000  ,-0.059575 ,2.819818  
0.300000  ,0.414317  ,0.076173  ,2.833980  ,8.000000  ,0.119365  ,-0.008336 ,0.200000  ,-0.032317 ,2.215587  
0.320000  ,0.470745  ,0.091911  ,3.024180  ,8.000000  ,0.108612  ,-0.058371 ,0.200000  ,-0.103183 ,1.551698  
0.340000  ,0.530766  ,0.108924  ,3.214380  ,8.000000  ,0.097417  ,-0.144820 ,0.300000  ,-0.203882 ,0.926145  
0.360000  ,0.594456  ,0.126941  ,3.404580  ,8.000000  ,0.084522  ,-0.037551 ,0.300000  ,-0.140272 ,0.408771  
0.380000  ,0.661908  ,0.145630  ,3.594780  ,8.000000  ,0.071254  ,0.019202  ,0.300000  ,-0.084550 ,0.040619  
