# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.160392 ,0.001844  ,0.000000  ,8.000000  ,0.000000  ,0.005442  ,100.000000,0.210097  ,179.341162
0.000000  ,-0.160392 ,0.001844  ,0.000000  ,8.000000  ,0.000000  ,-0.026402 ,100.000000,0.210097  ,0.000000  
0.020000  ,-0.158775 ,0.001844  ,0.171180  ,8.000000  ,0.000000  ,0.042651  ,100.000000,0.210097  ,0.000000  
0.040000  ,-0.153450 ,0.001846  ,0.361380  ,8.000000  ,0.000000  ,-0.004118 ,100.000000,0.209603  ,0.021375  
0.060000  ,-0.144321 ,0.001917  ,0.551580  ,8.000000  ,0.000000  ,0.062584  ,100.000000,0.207426  ,0.269306  
0.080000  ,-0.131406 ,0.002610  ,0.741780  ,8.000000  ,0.000000  ,-0.002911 ,100.000000,0.203598  ,2.675378  
0.100000  ,-0.114730 ,0.004029  ,0.931980  ,8.000000  ,0.000000  ,0.029891  ,100.000000,0.196061  ,4.022501  
0.120000  ,-0.094300 ,0.006164  ,1.122180  ,8.000000  ,0.000000  ,-0.017052 ,100.000000,0.185890  ,4.522716  
0.140000  ,-0.070121 ,0.009010  ,1.312380  ,8.000000  ,0.000000  ,-0.018979 ,100.000000,0.173764  ,4.540721  
0.160000  ,-0.042205 ,0.012630  ,1.502580  ,8.000000  ,0.164382  ,0.063632  ,0.000000  ,0.163481  ,4.374753  
0.180000  ,-0.010569 ,0.017120  ,1.692780  ,8.000000  ,0.161813  ,-0.039539 ,0.000000  ,0.145532  ,4.122502  
0.200000  ,0.024766  ,0.022598  ,1.882980  ,8.000000  ,0.158480  ,0.043874  ,0.000000  ,0.126337  ,3.822092  
0.220000  ,0.063773  ,0.029196  ,2.073180  ,8.000000  ,0.154252  ,-0.008744 ,0.000000  ,0.106243  ,3.491283  
0.240000  ,0.106420  ,0.037056  ,2.263380  ,8.000000  ,0.153281  ,0.039237  ,0.100000  ,0.085610  ,3.139973  
0.260000  ,0.152688  ,0.046236  ,2.453580  ,8.000000  ,0.144661  ,0.031702  ,0.100000  ,0.052127  ,2.713170  
0.280000  ,0.202555  ,0.056796  ,2.643780  ,8.000000  ,0.134705  ,0.004143  ,0.100000  ,0.029415  ,2.248686  
0.300000  ,0.255984  ,0.068876  ,2.833980  ,8.000000  ,0.123272  ,0.025150  ,0.100000  ,0.007863  ,1.832194  
0.320000  ,0.312966  ,0.082471  ,3.024180  ,8.000000  ,0.104244  ,0.033176  ,0.200000  ,-0.011205 ,1.381042  
0.340000  ,0.373486  ,0.097612  ,3.214380  ,8.000000  ,0.094443  ,-0.077214 ,0.200000  ,-0.056131 ,0.970568  
0.360000  ,0.437533  ,0.114313  ,3.404580  ,8.000000  ,0.083397  ,-0.025672 ,0.200000  ,-0.072551 ,0.604444  
0.380000  ,0.505117  ,0.132523  ,3.594780  ,8.000000  ,0.071854  ,-0.049048 ,0.300000  ,-0.085319 ,0.278004  
0.400000  ,0.576242  ,0.152200  ,3.784980  ,8.000000  ,0.057894  ,-0.016611 ,0.300000  ,-0.130778 ,0.028860  
0.420000  ,0.650963  ,0.173149  ,3.975180  ,8.000000  ,0.042952  ,-0.003649 ,0.300000  ,-0.137174 ,0.178255  
0.440000  ,0.729277  ,0.195371  ,4.165380  ,8.000000  ,0.027544  ,0.057447  ,0.400000  ,-0.140782 ,0.261369  
0.460000  ,0.811214  ,0.218758  ,4.355580  ,8.000000  ,0.010035  ,-0.049740 ,0.400000  ,-0.180186 ,0.282350  
0.480000  ,0.896852  ,0.243037  ,4.545780  ,8.000000  ,0.008609  ,-0.021840 ,0.510000  ,-0.177973 ,0.263625  
0.500000  ,0.986239  ,0.268038  ,4.735980  ,8.000000  ,0.026687  ,-0.027404 ,0.510000  ,-0.209984 ,0.143461  
0.520000  ,1.079429  ,0.293559  ,4.926180  ,8.000000  ,0.044992  ,-0.033133 ,0.510000  ,-0.202336 ,0.046264  
0.540000  ,1.176517  ,0.319233  ,5.116380  ,8.000000  ,0.063148  ,-0.023746 ,0.610000  ,-0.225166 ,0.294920  
0.560000  ,1.277564  ,0.344791  ,5.306580  ,8.000000  ,0.080969  ,-0.026767 ,0.610000  ,-0.211490 ,0.629864  
0.580000  ,1.382608  ,0.370029  ,5.496780  ,8.000000  ,0.098174  ,0.023198  ,0.710000  ,-0.225155 ,1.016264  
0.600000  ,1.491712  ,0.394598  ,5.686980  ,8.000000  ,0.114530  ,0.005218  ,0.810000  ,-0.209025 ,1.410302  
0.620000  ,1.604903  ,0.418273  ,5.877180  ,8.000000  ,0.129797  ,-0.025422 ,0.810000  ,-0.214084 ,1.821074  
0.640000  ,1.722212  ,0.440754  ,6.067380  ,8.000000  ,0.143502  ,0.060840  ,0.910000  ,-0.197595 ,2.224329  
0.660000  ,1.843582  ,0.461688  ,6.246803  ,8.000000  ,0.155588  ,-0.027650 ,0.910000  ,-0.193874 ,2.639642  
0.680000  ,1.968743  ,0.480598  ,6.409568  ,8.000000  ,0.165374  ,0.016179  ,1.010000  ,-0.181527 ,3.118976  
0.700000  ,2.097351  ,0.497259  ,6.557222  ,8.000000  ,0.172754  ,0.004719  ,1.110000  ,-0.160844 ,3.670578  
0.720000  ,2.229115  ,0.511175  ,6.691168  ,8.000000  ,0.177529  ,0.015377  ,1.110000  ,-0.136976 ,4.259698  
0.740000  ,2.363718  ,0.522159  ,6.812679  ,8.000000  ,0.179168  ,-0.018494 ,1.210000  ,-0.105466 ,-4.885476 
0.760000  ,2.500865  ,0.529896  ,6.922908  ,8.000000  ,0.177524  ,-0.024639 ,1.320000  ,-0.083803 ,-5.484571 
0.780000  ,2.640268  ,0.534077  ,7.022904  ,8.000000  ,0.172639  ,0.002323  ,1.320000  ,-0.042612 ,-6.066276 
0.800000  ,2.781640  ,0.534411  ,7.113617  ,8.000000  ,0.163809  ,-0.034343 ,1.420000  ,0.006898  ,-6.643050 
0.820000  ,2.924694  ,0.530753  ,7.195908  ,8.000000  ,0.151077  ,-0.011124 ,1.520000  ,0.025537  ,-7.188143 
0.840000  ,3.069155  ,0.523011  ,7.270559  ,8.000000  ,0.134658  ,-0.025936 ,1.520000  ,0.080837  ,-7.650909 
0.860000  ,3.214770  ,0.511216  ,7.338280  ,8.000000  ,0.114228  ,0.002347  ,1.620000  ,0.139195  ,-7.979249 
0.880000  ,3.361305  ,0.495423  ,7.399713  ,8.000000  ,0.089987  ,-0.078261 ,1.720000  ,0.198683  ,-8.129146 
0.900000  ,3.508577  ,0.475941  ,7.455443  ,8.000000  ,0.062265  ,-0.065698 ,1.820000  ,0.200440  ,-8.055983 
0.920000  ,3.656426  ,0.452999  ,7.505999  ,8.000000  ,0.031652  ,0.000725  ,1.820000  ,0.253156  ,-7.726609 
0.940000  ,3.804788  ,0.427237  ,7.551862  ,8.000000  ,0.001734  ,-0.062745 ,1.920000  ,0.299677  ,-7.098656 
0.960000  ,3.953606  ,0.399086  ,7.593466  ,8.000000  ,0.037264  ,-0.007618 ,2.020000  ,0.339960  ,-6.156654 
0.980000  ,4.102915  ,0.369299  ,7.631209  ,8.000000  ,0.074181  ,-0.040034 ,2.130000  ,0.319512  ,-4.926275 
1.000000  ,4.252834  ,0.338893  ,7.665447  ,8.000000  ,0.111096  ,0.018430  ,2.130000  ,0.343563  ,-3.331539 
1.020000  ,4.403520  ,0.309000  ,7.696506  ,8.000000  ,0.147485  ,-0.048091 ,2.230000  ,0.353104  ,-1.298714 
1.040000  ,4.555086  ,0.280543  ,7.724682  ,8.000000  ,0.182193  ,-0.034631 ,2.330000  ,0.347793  ,1.095891  
1.060000  ,4.707650  ,0.254626  ,7.750243  ,8.000000  ,0.214115  ,-0.011776 ,2.430000  ,0.303653  ,3.706999  
1.080000  ,4.861281  ,0.232379  ,7.773430  ,8.000000  ,0.241796  ,0.001528  ,2.430000  ,0.275244  ,6.443642  
1.100000  ,5.016017  ,0.215330  ,7.794464  ,8.000000  ,0.264253  ,0.037434  ,2.530000  ,0.223540  ,9.324621  
1.120000  ,5.171714  ,0.204542  ,7.813546  ,8.000000  ,0.280204  ,0.025285  ,2.630000  ,0.170776  ,12.297762 
1.140000  ,5.328105  ,0.201117  ,7.830856  ,8.000000  ,0.288539  ,0.035715  ,2.730000  ,0.090442  ,15.207543 
1.160000  ,5.484768  ,0.206460  ,7.846559  ,8.000000  ,0.287639  ,0.013925  ,2.730000  ,-0.015150 ,18.046332 
1.180000  ,5.641112  ,0.221322  ,7.860805  ,8.000000  ,0.277100  ,0.015769  ,2.830000  ,-0.138888 ,20.742974 
1.200000  ,5.796422  ,0.246377  ,7.873727  ,8.000000  ,0.256106  ,-0.039086 ,2.940000  ,-0.271000 ,23.100525 
1.220000  ,5.949922  ,0.281920  ,7.885450  ,8.000000  ,0.224362  ,0.029133  ,3.040000  ,-0.296897 ,24.968175 
1.240000  ,6.100765  ,0.328206  ,7.896085  ,8.000000  ,0.181596  ,-0.020011 ,3.140000  ,-0.412913 ,26.266577 
1.260000  ,6.248241  ,0.384873  ,7.905732  ,8.000000  ,0.127600  ,-0.028181 ,3.140000  ,-0.516960 ,26.919202 
1.280000  ,6.391798  ,0.451288  ,7.914484  ,8.000000  ,0.063737  ,0.021851  ,3.240000  ,-0.606324 ,26.798641 
1.300000  ,6.531106  ,0.526567  ,7.922423  ,8.000000  ,0.009366  ,0.002661  ,3.340000  ,-0.681760 ,25.850787 
1.320000  ,6.666118  ,0.609603  ,7.929626  ,8.000000  ,0.091192  ,0.049559  ,3.340000  ,-0.652640 ,24.078077 
1.340000  ,6.797104  ,0.699110  ,7.936159  ,8.000000  ,0.179633  ,-0.023188 ,3.440000  ,-0.716036 ,21.519465 
1.360000  ,6.924655  ,0.793664  ,7.942086  ,8.000000  ,0.273424  ,-0.012070 ,3.540000  ,-0.684351 ,18.235630 
1.380000  ,6.987793  ,0.842360  ,0.076080  ,8.000000  ,0.322315  ,0.022224  ,3.540000  ,-0.311662 ,-37.658378
1.400000  ,6.991216  ,0.842354  ,0.266280  ,8.000000  ,0.322319  ,0.077677  ,3.540000  ,-0.308996 ,-0.093194 
1.420000  ,6.998444  ,0.842301  ,0.456480  ,8.000000  ,0.322288  ,-0.069823 ,3.540000  ,-0.302110 ,-0.239910 
1.440000  ,7.009388  ,0.841094  ,0.646680  ,8.000000  ,0.321115  ,-0.059906 ,3.540000  ,-0.292205 ,5.022307  
1.460000  ,7.023917  ,0.838099  ,0.836880  ,8.000000  ,0.318165  ,0.013916  ,3.540000  ,-0.277219 ,9.513303  
1.480000  ,7.042050  ,0.833781  ,1.027080  ,8.000000  ,0.313903  ,-0.012402 ,3.540000  ,-0.256842 ,10.087224 
1.500000  ,7.063763  ,0.828104  ,1.217280  ,8.000000  ,0.308294  ,0.004604  ,3.540000  ,-0.232197 ,9.919104  
1.520000  ,7.089060  ,0.821104  ,1.407480  ,8.000000  ,0.300727  ,0.019469  ,3.640000  ,-0.205259 ,9.173334  
1.540000  ,7.117973  ,0.812912  ,1.597680  ,8.000000  ,0.292828  ,0.025372  ,3.640000  ,-0.178334 ,7.948055  
1.560000  ,7.150497  ,0.803508  ,1.787880  ,8.000000  ,0.283754  ,0.000406  ,3.640000  ,-0.152151 ,6.691717  
1.580000  ,7.186549  ,0.792625  ,1.978080  ,8.000000  ,0.273236  ,0.014578  ,3.640000  ,-0.098292 ,5.750282  
1.600000  ,7.226044  ,0.780002  ,2.168280  ,8.000000  ,0.261013  ,-0.001309 ,3.640000  ,-0.066414 ,4.994416  
1.620000  ,7.268927  ,0.765505  ,2.358480  ,8.000000  ,0.246951  ,0.034750  ,3.640000  ,-0.035584 ,4.258111  
1.640000  ,7.315192  ,0.749149  ,2.548680  ,8.000000  ,0.230552  ,-0.032102 ,3.740000  ,-0.007571 ,3.439560  
1.660000  ,7.364789  ,0.730822  ,2.738880  ,8.000000  ,0.213110  ,-0.044114 ,3.740000  ,0.064741  ,2.718575  
1.680000  ,7.417673  ,0.710429  ,2.929080  ,8.000000  ,0.193660  ,0.021550  ,3.740000  ,0.091457  ,2.074815  
1.700000  ,7.473818  ,0.687937  ,3.119280  ,8.000000  ,0.172171  ,-0.042135 ,3.740000  ,0.114317  ,1.484002  
1.720000  ,7.533199  ,0.663305  ,3.309480  ,8.000000  ,0.148195  ,-0.008018 ,3.850000  ,0.133264  ,0.982471  
1.740000  ,7.595895  ,0.636739  ,3.499680  ,8.000000  ,0.123272  ,-0.020645 ,3.850000  ,0.205620  ,0.489891  
1.760000  ,7.661972  ,0.608405  ,3.689880  ,8.000000  ,0.096669  ,-0.051372 ,3.850000  ,0.215393  ,0.105911  
1.780000  ,7.731460  ,0.578376  ,3.880080  ,8.000000  ,0.068024  ,-0.022922 ,3.950000  ,0.278967  ,-0.112792 
1.800000  ,7.804502  ,0.546980  ,4.070280  ,8.000000  ,0.039195  ,0.000210  ,3.950000  ,0.279089  ,-0.252757 
1.820000  ,7.881225  ,0.514520  ,4.260480  ,8.000000  ,0.008515  ,0.004244  ,4.050000  ,0.274129  ,-0.253467 
1.840000  ,7.961712  ,0.481198  ,4.450680  ,8.000000  ,0.021213  ,0.033583  ,4.050000  ,0.318727  ,-0.095627 
1.860000  ,8.046051  ,0.447251  ,4.640880  ,8.000000  ,0.051395  ,-0.046441 ,4.050000  ,0.307271  ,0.154937  
1.880000  ,8.134396  ,0.413092  ,4.831080  ,8.000000  ,0.082006  ,0.037106  ,4.150000  ,0.337946  ,0.465851  
1.900000  ,8.226898  ,0.379180  ,5.021280  ,8.000000  ,0.110863  ,0.056622  ,4.150000  ,0.318911  ,0.863214  
1.920000  ,8.323657  ,0.345890  ,5.211480  ,8.000000  ,0.139346  ,-0.011400 ,4.250000  ,0.332543  ,1.368935  
