# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,-0.304295 ,0.108492  ,7.998486  ,8.000000  ,0.000000  
0.000000  ,-0.304295 ,0.108492  ,7.998486  ,8.000000  ,0.000000  
0.000000  ,-0.304295 ,0.108492  ,7.998486  ,8.000000  ,0.000000  
0.020000  ,-0.145994 ,0.131542  ,7.998626  ,8.000000  ,0.000000  
0.020000  ,-0.145994 ,0.131542  ,7.998626  ,8.000000  ,0.000000  
0.040000  ,0.012301  ,0.154659  ,7.998754  ,8.000000  ,0.024135  
0.040000  ,0.012301  ,0.154659  ,7.998754  ,8.000000  ,0.024135  
0.060000  ,0.170584  ,0.177871  ,7.998869  ,8.000000  ,0.016975  
0.060000  ,0.170584  ,0.177871  ,7.998869  ,8.000000  ,0.016975  
0.080000  ,0.328850  ,0.201215  ,7.998974  ,8.000000  ,0.002590  
0.080000  ,0.328850  ,0.201215  ,7.998974  ,8.000000  ,0.002590  
0.100000  ,0.487092  ,0.224736  ,7.999070  ,8.000000  ,0.005299  
0.100000  ,0.487092  ,0.224736  ,7.999070  ,8.000000  ,0.005299  
0.120000  ,0.645303  ,0.248478  ,7.999156  ,8.000000  ,0.005853  
0.120000  ,0.645303  ,0.248478  ,7.999156  ,8.000000  ,0.005853  
0.140000  ,0.803475  ,0.272485  ,7.999234  ,8.000000  ,0.005835  
0.140000  ,0.803475  ,0.272485  ,7.999234  ,8.000000  ,0.005835  
0.160000  ,0.961602  ,0.296800  ,7.999305  ,8.000000  ,0.000000  
0.160000  ,0.961602  ,0.296800  ,7.999305  ,8.000000  ,0.000000  
0.180000  ,1.119677  ,0.321459  ,7.999370  ,8.000000  ,0.003734  
0.180000  ,1.119677  ,0.321459  ,7.999370  ,8.000000  ,0.003734  
0.200000  ,1.277719  ,0.346339  ,7.999428  ,8.000000  ,0.002754  
0.200000  ,1.277719  ,0.346339  ,7.999428  ,8.000000  ,0.002754  
0.220000  ,1.435749  ,0.371302  ,7.999481  ,8.000000  ,0.001136  
0.220000  ,1.435749  ,0.371302  ,7.999481  ,8.000000  ,0.001136  
0.240000  ,1.593772  ,0.396312  ,7.999530  ,8.000000  ,0.000584  
0.240000  ,1.593772  ,0.396312  ,7.999530  ,8.000000  ,0.000584  
0.260000  ,1.751800  ,0.421297  ,7.999573  ,8.000000  ,0.000000  
0.260000  ,1.751800  ,0.421297  ,7.999573  ,8.000000  ,0.000000  
0.280000  ,1.909848  ,0.446159  ,7.999613  ,8.000000  ,0.004471  
0.280000  ,1.909848  ,0.446159  ,7.999613  ,8.000000  ,0.004471  
0.300000  ,2.067933  ,0.470792  ,7.999649  ,8.000000  ,0.006614  
0.300000  ,2.067933  ,0.470792  ,7.999649  ,8.000000  ,0.006614  
0.320000  ,2.226071  ,0.495086  ,7.999681  ,8.000000  ,0.009321  
0.320000  ,2.226071  ,0.495086  ,7.999681  ,8.000000  ,0.009321  
0.340000  ,2.384278  ,0.518935  ,7.999711  ,8.000000  ,0.011741  
0.340000  ,2.384278  ,0.518935  ,7.999711  ,8.000000  ,0.011741  
0.360000  ,2.542565  ,0.542241  ,7.999738  ,8.000000  ,0.014134  
0.360000  ,2.542565  ,0.542241  ,7.999738  ,8.000000  ,0.014134  
0.380000  ,2.700946  ,0.564914  ,7.999762  ,8.000000  ,0.016457  
0.380000  ,2.700946  ,0.564914  ,7.999762  ,8.000000  ,0.016457  
0.400000  ,2.859426  ,0.586876  ,7.999784  ,8.000000  ,0.018675  
0.400000  ,2.859426  ,0.586876  ,7.999784  ,8.000000  ,0.018675  
0.420000  ,3.018014  ,0.608057  ,7.999804  ,8.000000  ,0.021564  
0.420000  ,3.018014  ,0.608057  ,7.999804  ,8.000000  ,0.021564  
0.440000  ,3.176712  ,0.628399  ,7.999822  ,8.000000  ,0.023851  
0.440000  ,3.176712  ,0.628399  ,7.999822  ,8.000000  ,0.023851  
0.460000  ,3.335521  ,0.647852  ,7.999839  ,8.000000  ,0.026026  
0.460000  ,3.335521  ,0.647852  ,7.999839  ,8.000000  ,0.026026  
0.480000  ,3.494442  ,0.666374  ,7.999854  ,8.000000  ,0.028087  
0.480000  ,3.494442  ,0.666374  ,7.999854  ,8.000000  ,0.028087  
0.500000  ,3.653472  ,0.683934  ,7.999867  ,8.000000  ,0.030040  
0.500000  ,3.653472  ,0.683934  ,7.999867  ,8.000000  ,0.030040  
0.520000  ,3.812609  ,0.700501  ,7.999880  ,8.000000  ,0.032918  
0.520000  ,3.812609  ,0.700501  ,7.999880  ,8.000000  ,0.032918  
0.540000  ,3.971849  ,0.716056  ,7.999891  ,8.000000  ,0.035091  
0.540000  ,3.971849  ,0.716056  ,7.999891  ,8.000000  ,0.035091  
0.560000  ,4.131186  ,0.730581  ,7.999901  ,8.000000  ,0.037229  
0.560000  ,4.131186  ,0.730581  ,7.999901  ,8.000000  ,0.037229  
0.580000  ,4.290615  ,0.744062  ,7.999910  ,8.000000  ,0.039349  
0.580000  ,4.290615  ,0.744062  ,7.999910  ,8.000000  ,0.039349  
0.600000  ,4.450129  ,0.756490  ,7.999919  ,8.000000  ,0.041473  
0.600000  ,4.450129  ,0.756490  ,7.999919  ,8.000000  ,0.041473  
0.620000  ,4.609724  ,0.767843  ,7.999926  ,8.000000  ,0.044800  
0.620000  ,4.609724  ,0.767843  ,7.999926  ,8.000000  ,0.044800  
0.640000  ,4.769400  ,0.777996  ,7.999933  ,8.000000  ,0.047280  
0.640000  ,4.769400  ,0.777996  ,7.999933  ,8.000000  ,0.047280  
0.660000  ,4.929143  ,0.787021  ,7.999939  ,8.000000  ,0.049786  
0.660000  ,4.929143  ,0.787021  ,7.999939  ,8.000000  ,0.049786  
0.680000  ,5.088960  ,0.794640  ,7.999945  ,8.000000  ,0.052060  
0.680000  ,5.088960  ,0.794640  ,7.999945  ,8.000000  ,0.052060  
0.700000  ,5.248841  ,0.800777  ,7.999950  ,8.000000  ,0.054047  
0.700000  ,5.248841  ,0.800777  ,7.999950  ,8.000000  ,0.054047  
0.720000  ,5.408774  ,0.805343  ,7.999955  ,8.000000  ,0.056977  
0.720000  ,5.408774  ,0.805343  ,7.999955  ,8.000000  ,0.056977  
0.740000  ,5.568746  ,0.808228  ,7.999959  ,8.000000  ,0.058595  
0.740000  ,5.568746  ,0.808228  ,7.999959  ,8.000000  ,0.058595  
0.760000  ,5.728741  ,0.809313  ,7.999963  ,8.000000  ,0.059661  
0.760000  ,5.728741  ,0.809313  ,7.999963  ,8.000000  ,0.059661  
0.780000  ,5.888737  ,0.808506  ,7.999966  ,8.000000  ,0.060095  
0.780000  ,5.888737  ,0.808506  ,7.999966  ,8.000000  ,0.060095  
0.800000  ,6.048716  ,0.805958  ,7.999969  ,8.000000  ,0.060059  
0.800000  ,6.048716  ,0.805958  ,7.999969  ,8.000000  ,0.060059  
0.820000  ,6.208655  ,0.801625  ,7.999972  ,8.000000  ,0.060934  
0.820000  ,6.208655  ,0.801625  ,7.999972  ,8.000000  ,0.060934  
0.840000  ,6.368537  ,0.795493  ,7.999975  ,8.000000  ,0.060379  
0.840000  ,6.368537  ,0.795493  ,7.999975  ,8.000000  ,0.060379  
0.860000  ,6.528340  ,0.787586  ,7.999977  ,8.000000  ,0.059376  
0.860000  ,6.528340  ,0.787586  ,7.999977  ,8.000000  ,0.059376  
0.880000  ,6.688048  ,0.777953  ,7.999979  ,8.000000  ,0.057983  
0.880000  ,6.688048  ,0.777953  ,7.999979  ,8.000000  ,0.057983  
0.900000  ,6.847648  ,0.766658  ,7.999981  ,8.000000  ,0.056273  
0.900000  ,6.847648  ,0.766658  ,7.999981  ,8.000000  ,0.056273  
0.920000  ,7.007127  ,0.753770  ,7.999983  ,8.000000  ,0.055801  
0.920000  ,7.007127  ,0.753770  ,7.999983  ,8.000000  ,0.055801  
0.940000  ,7.166476  ,0.739359  ,7.999984  ,8.000000  ,0.054164  
0.940000  ,7.166476  ,0.739359  ,7.999984  ,8.000000  ,0.054164  
0.960000  ,7.325686  ,0.723493  ,7.999986  ,8.000000  ,0.052438  
0.960000  ,7.325686  ,0.723493  ,7.999986  ,8.000000  ,0.052438  
0.980000  ,7.484752  ,0.706236  ,7.999987  ,8.000000  ,0.050690  
0.980000  ,7.484752  ,0.706236  ,7.999987  ,8.000000  ,0.050690  
1.000000  ,7.643667  ,0.687644  ,7.999988  ,8.000000  ,0.048981  
1.000000  ,7.643667  ,0.687644  ,7.999988  ,8.000000  ,0.048981  
1.020000  ,7.802427  ,0.667767  ,7.999989  ,8.000000  ,0.048863  
1.020000  ,7.802427  ,0.667767  ,7.999989  ,8.000000  ,0.048863  
1.040000  ,7.961027  ,0.646650  ,7.999990  ,8.000000  ,0.047838  
1.040000  ,7.961027  ,0.646650  ,7.999990  ,8.000000  ,0.047838  
1.060000  ,8.119462  ,0.624330  ,7.999991  ,8.000000  ,0.046981  
1.060000  ,8.119462  ,0.624330  ,7.999991  ,8.000000  ,0.046981  
1.080000  ,8.277728  ,0.600838  ,7.999992  ,8.000000  ,0.046319  
1.080000  ,8.277728  ,0.600838  ,7.999992  ,8.000000  ,0.046319  
1.100000  ,8.435819  ,0.576202  ,7.999993  ,8.000000  ,0.045877  
1.100000  ,8.435819  ,0.576202  ,7.999993  ,8.000000  ,0.045877  
1.120000  ,8.593731  ,0.550442  ,7.999994  ,8.000000  ,0.047168  
1.120000  ,8.593731  ,0.550442  ,7.999994  ,8.000000  ,0.047168  
1.140000  ,8.751459  ,0.523576  ,7.999994  ,8.000000  ,0.047662  
1.140000  ,8.751459  ,0.523576  ,7.999994  ,8.000000  ,0.047662  
1.160000  ,8.908997  ,0.495618  ,7.999995  ,8.000000  ,0.048408  
1.160000  ,8.908997  ,0.495618  ,7.999995  ,8.000000  ,0.048408  
1.180000  ,9.066339  ,0.466580  ,7.999995  ,8.000000  ,0.049414  
1.180000  ,9.066339  ,0.466580  ,7.999995  ,8.000000  ,0.049414  
1.200000  ,9.223475  ,0.436445  ,7.999996  ,8.000000  ,0.050652  
1.200000  ,9.223475  ,0.436445  ,7.999996  ,8.000000  ,0.050652  
1.220000  ,9.380346  ,0.404960  ,7.999996  ,8.000000  ,0.053328  
1.220000  ,9.380346  ,0.404960  ,7.999996  ,8.000000  ,0.053328  
1.240000  ,9.536929  ,0.372071  ,7.999996  ,8.000000  ,0.054867  
1.240000  ,9.536929  ,0.372071  ,7.999996  ,8.000000  ,0.054867  
1.260000  ,9.693194  ,0.337707  ,7.999997  ,8.000000  ,0.056217  
1.260000  ,9.693194  ,0.337707  ,7.999997  ,8.000000  ,0.056217  
1.280000  ,9.849105  ,0.301766  ,7.999997  ,8.000000  ,0.057262  
1.280000  ,9.849105  ,0.301766  ,7.999997  ,8.000000  ,0.057262  
1.300000  ,10.004616 ,0.264138  ,7.999997  ,8.000000  ,0.057876  
1.300000  ,10.004616 ,0.264138  ,7.999997  ,8.000000  ,0.057876  
1.320000  ,10.159687 ,0.224734  ,7.999998  ,8.000000  ,0.059367  
1.320000  ,10.159687 ,0.224734  ,7.999998  ,8.000000  ,0.059367  
1.340000  ,10.314335 ,0.183700  ,7.999998  ,8.000000  ,0.059435  
1.340000  ,10.314335 ,0.183700  ,7.999998  ,8.000000  ,0.059435  
1.360000  ,10.468529 ,0.140992  ,7.999998  ,8.000000  ,0.059023  
1.360000  ,10.468529 ,0.140992  ,7.999998  ,8.000000  ,0.059023  
1.380000  ,10.622245 ,0.096596  ,7.999998  ,8.000000  ,0.058098  
1.380000  ,10.622245 ,0.096596  ,7.999998  ,8.000000  ,0.058098  
1.400000  ,10.775470 ,0.050532  ,7.999998  ,8.000000  ,0.056661  
1.400000  ,10.775470 ,0.050532  ,7.999998  ,8.000000  ,0.056661  
1.420000  ,10.928198 ,0.002847  ,7.999999  ,8.000000  ,0.056050  
1.420000  ,10.928198 ,0.002847  ,7.999999  ,8.000000  ,0.056050  
1.440000  ,11.080479 ,-0.046248 ,7.999999  ,8.000000  ,0.054181  
1.440000  ,11.080479 ,-0.046248 ,7.999999  ,8.000000  ,0.054181  
1.460000  ,11.232323 ,-0.096679 ,7.999999  ,8.000000  ,0.052058  
1.460000  ,11.232323 ,-0.096679 ,7.999999  ,8.000000  ,0.052058  
1.480000  ,11.383755 ,-0.148334 ,7.999999  ,8.000000  ,0.049774  
1.480000  ,11.383755 ,-0.148334 ,7.999999  ,8.000000  ,0.049774  
1.500000  ,11.534855 ,-0.200954 ,7.999999  ,8.000000  ,0.047574  
1.500000  ,11.534855 ,-0.200954 ,7.999999  ,8.000000  ,0.047574  
1.520000  ,11.685661 ,-0.254408 ,7.999999  ,8.000000  ,0.046723  
1.520000  ,11.685661 ,-0.254408 ,7.999999  ,8.000000  ,0.046723  
1.540000  ,11.836223 ,-0.308547 ,7.999999  ,8.000000  ,0.045332  
1.540000  ,11.836223 ,-0.308547 ,7.999999  ,8.000000  ,0.045332  
1.560000  ,11.986539 ,-0.363365 ,7.999999  ,8.000000  ,0.044224  
1.560000  ,11.986539 ,-0.363365 ,7.999999  ,8.000000  ,0.044224  
1.580000  ,12.136602 ,-0.418873 ,7.999999  ,8.000000  ,0.043360  
1.580000  ,12.136602 ,-0.418873 ,7.999999  ,8.000000  ,0.043360  
1.600000  ,12.286439 ,-0.474988 ,7.999999  ,8.000000  ,0.042803  
1.600000  ,12.286439 ,-0.474988 ,7.999999  ,8.000000  ,0.042803  
1.620000  ,12.436057 ,-0.531684 ,7.999999  ,8.000000  ,0.043580  
1.620000  ,12.436057 ,-0.531684 ,7.999999  ,8.000000  ,0.043580  
1.640000  ,12.585402 ,-0.589094 ,7.999999  ,8.000000  ,0.043756  
1.640000  ,12.585402 ,-0.589094 ,7.999999  ,8.000000  ,0.043756  
1.660000  ,12.734405 ,-0.647387 ,8.000000  ,8.000000  ,0.043886  
1.660000  ,12.734405 ,-0.647387 ,8.000000  ,8.000000  ,0.043886  
1.680000  ,12.883032 ,-0.706631 ,8.000000  ,8.000000  ,0.043976  
1.680000  ,12.883032 ,-0.706631 ,8.000000  ,8.000000  ,0.043976  
1.700000  ,13.031326 ,-0.766704 ,8.000000  ,7.939575  ,0.044180  
1.700000  ,13.031326 ,-0.766704 ,8.000000  ,7.939575  ,0.044180  
1.720000  ,13.179044 ,-0.827610 ,7.979200  ,7.939575  ,0.043626  
1.720000  ,13.179044 ,-0.827610 ,7.979200  ,7.939575  ,0.043626  
1.740000  ,13.326030 ,-0.889384 ,7.965560  ,7.778173  ,0.041914  
1.740000  ,13.326030 ,-0.889384 ,7.965560  ,7.778173  ,0.041914  
1.760000  ,13.471896 ,-0.951733 ,7.901057  ,7.625851  ,0.038902  
1.760000  ,13.471896 ,-0.951733 ,7.901057  ,7.625851  ,0.038902  
1.780000  ,13.615966 ,-1.014186 ,7.806324  ,7.482278  ,0.034458  
1.780000  ,13.615966 ,-1.014186 ,7.806324  ,7.482278  ,0.034458  
1.800000  ,13.757937 ,-1.076269 ,7.694780  ,7.482278  ,0.026913  
1.800000  ,13.757937 ,-1.076269 ,7.694780  ,7.482278  ,0.026913  
1.820000  ,13.898126 ,-1.137869 ,7.621632  ,7.348825  ,0.018441  
1.820000  ,13.898126 ,-1.137869 ,7.621632  ,7.348825  ,0.018441  
1.840000  ,14.036796 ,-1.198747 ,7.527725  ,7.223955  ,0.000000  
1.840000  ,14.036796 ,-1.198747 ,7.527725  ,7.223955  ,0.000000  
1.860000  ,14.173882 ,-1.258276 ,7.423160  ,7.107380  ,0.002515  
1.860000  ,14.173882 ,-1.258276 ,7.423160  ,7.107380  ,0.002515  
1.880000  ,14.309476 ,-1.315869 ,7.314461  ,7.107380  ,0.016519  
1.880000  ,14.309476 ,-1.315869 ,7.314461  ,7.107380  ,0.016519  
1.900000  ,14.444225 ,-1.370859 ,7.243179  ,6.999855  ,0.029238  
