# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.184621 ,0.112735  ,7.996906  ,8.000000  ,0.000000  ,0.000000  ,100.000000,0.022926  ,5.292771  
0.020000  ,-0.025258 ,0.126309  ,7.997193  ,8.000000  ,0.051936  ,-0.000000 ,0.000000  ,0.002355  ,1.473837  
0.040000  ,0.134027  ,0.140843  ,7.997453  ,8.000000  ,0.049835  ,0.000000  ,0.100000  ,-0.019505 ,2.181343  
0.060000  ,0.293228  ,0.156316  ,7.997690  ,8.000000  ,0.028958  ,0.000000  ,0.200000  ,-0.027605 ,2.717817  
0.080000  ,0.452340  ,0.172724  ,7.997904  ,8.000000  ,0.026501  ,-0.000000 ,0.200000  ,-0.043659 ,2.989594  
0.100000  ,0.611364  ,0.190003  ,7.998099  ,8.000000  ,0.023003  ,0.000000  ,0.300000  ,-0.056765 ,2.983504  
0.120000  ,0.770298  ,0.208119  ,7.998275  ,8.000000  ,0.017742  ,0.000000  ,0.400000  ,-0.067048 ,2.744739  
0.140000  ,0.929180  ,0.226725  ,7.998436  ,8.000000  ,0.010133  ,-0.000000 ,0.510000  ,-0.072034 ,2.280828  
0.160000  ,1.088047  ,0.245476  ,7.998581  ,8.000000  ,0.003687  ,0.000000  ,0.610000  ,-0.056347 ,1.562706  
0.180000  ,1.246947  ,0.263973  ,7.998713  ,8.000000  ,0.002705  ,-0.000000 ,0.610000  ,-0.049929 ,0.619399  
0.200000  ,1.405898  ,0.282045  ,7.998832  ,8.000000  ,0.008704  ,-0.000000 ,0.710000  ,-0.039551 ,0.418493  
0.220000  ,1.564922  ,0.299489  ,7.998940  ,8.000000  ,0.014283  ,0.000000  ,0.810000  ,-0.027285 ,1.386946  
0.240000  ,1.724050  ,0.315976  ,7.999039  ,8.000000  ,0.018919  ,0.000000  ,0.910000  ,-0.013139 ,2.224633  
0.260000  ,1.883301  ,0.331247  ,7.999128  ,8.000000  ,0.022451  ,0.000000  ,1.010000  ,-0.000902 ,2.927917  
0.280000  ,2.042663  ,0.345325  ,7.999209  ,8.000000  ,0.025204  ,-0.000000 ,1.010000  ,0.010360  ,3.427401  
0.300000  ,2.202139  ,0.358067  ,7.999282  ,8.000000  ,0.026651  ,0.000000  ,1.110000  ,0.020682  ,3.692918  
0.320000  ,2.361713  ,0.369543  ,7.999349  ,8.000000  ,0.027031  ,0.000000  ,1.210000  ,0.028483  ,3.734359  
0.340000  ,2.521365  ,0.379896  ,7.999410  ,8.000000  ,0.026509  ,0.000000  ,1.320000  ,0.022690  ,3.541816  
0.360000  ,2.681083  ,0.389193  ,7.999464  ,8.000000  ,0.025175  ,-0.000000 ,1.420000  ,0.024162  ,3.163426  
0.380000  ,2.840853  ,0.397569  ,7.999514  ,8.000000  ,0.023526  ,-0.000000 ,1.420000  ,0.023607  ,2.679692  
0.400000  ,3.000662  ,0.405189  ,7.999559  ,8.000000  ,0.021171  ,0.000000  ,1.520000  ,0.021295  ,2.148691  
0.420000  ,3.160498  ,0.412238  ,7.999600  ,8.000000  ,0.018538  ,0.000000  ,1.620000  ,0.017428  ,1.610993  
0.440000  ,3.320352  ,0.418898  ,7.999637  ,8.000000  ,0.015825  ,0.000000  ,1.720000  ,0.008165  ,1.093721  
0.460000  ,3.480215  ,0.425348  ,7.999671  ,8.000000  ,0.013495  ,0.000000  ,1.720000  ,0.003451  ,0.613856  
0.480000  ,3.640081  ,0.431751  ,7.999701  ,8.000000  ,0.011285  ,-0.000000 ,1.820000  ,-0.002466 ,0.180892  
0.500000  ,3.799943  ,0.438255  ,7.999729  ,8.000000  ,0.009509  ,0.000000  ,1.920000  ,-0.009575 ,0.201063  
0.520000  ,3.959802  ,0.444831  ,7.999754  ,8.000000  ,0.008144  ,0.000000  ,2.020000  ,-0.015911 ,0.480918  
0.540000  ,4.119662  ,0.451422  ,7.999777  ,8.000000  ,0.007134  ,-0.000000 ,2.130000  ,-0.016369 ,0.596371  
0.560000  ,4.279520  ,0.458064  ,7.999798  ,8.000000  ,0.006797  ,-0.000000 ,2.130000  ,-0.018069 ,0.557718  
0.580000  ,4.439377  ,0.464741  ,7.999817  ,8.000000  ,0.006662  ,-0.000000 ,2.230000  ,-0.018583 ,0.418988  
0.600000  ,4.599234  ,0.471403  ,7.999834  ,8.000000  ,0.006846  ,-0.000000 ,2.330000  ,-0.018084 ,0.220516  
0.620000  ,4.759096  ,0.477982  ,7.999849  ,8.000000  ,0.007276  ,-0.000000 ,2.430000  ,-0.016708 ,0.008276  
0.640000  ,4.918964  ,0.484398  ,7.999863  ,8.000000  ,0.007867  ,0.000000  ,2.530000  ,-0.012365 ,0.246538  
0.660000  ,5.078842  ,0.490570  ,7.999876  ,8.000000  ,0.008769  ,-0.000000 ,2.530000  ,-0.010229 ,0.480054  
0.680000  ,5.238733  ,0.496418  ,7.999887  ,8.000000  ,0.009488  ,0.000000  ,2.630000  ,-0.007637 ,0.699645  
0.700000  ,5.398638  ,0.501867  ,7.999898  ,8.000000  ,0.010091  ,-0.000000 ,2.730000  ,-0.004740 ,0.899887  
0.720000  ,5.558559  ,0.506848  ,7.999907  ,8.000000  ,0.010494  ,-0.000000 ,2.830000  ,-0.001694 ,1.078089  
0.740000  ,5.718495  ,0.511300  ,7.999916  ,8.000000  ,0.010617  ,0.000000  ,2.940000  ,0.000857  ,1.233491  
0.760000  ,5.878446  ,0.515170  ,7.999924  ,8.000000  ,0.010633  ,0.000000  ,2.940000  ,0.003727  ,1.366644  
0.780000  ,6.038408  ,0.518573  ,7.999931  ,8.000000  ,0.010340  ,-0.000000 ,3.040000  ,0.004676  ,-1.428199 
0.800000  ,6.198378  ,0.521639  ,7.999937  ,8.000000  ,0.010044  ,0.000000  ,3.140000  ,0.002103  ,-1.355597 
0.820000  ,6.358353  ,0.524397  ,7.999943  ,8.000000  ,0.009829  ,-0.000000 ,3.240000  ,-0.003731 ,-1.157568 
0.840000  ,6.518332  ,0.526917  ,7.999948  ,8.000000  ,0.009831  ,-0.000000 ,3.340000  ,-0.009215 ,0.885778  
0.860000  ,6.678315  ,0.529135  ,7.999953  ,8.000000  ,0.010617  ,0.000000  ,3.340000  ,-0.016906 ,0.628530  
0.880000  ,6.838304  ,0.530986  ,7.999957  ,8.000000  ,0.011375  ,0.000000  ,3.440000  ,-0.024014 ,0.476764  
0.900000  ,6.998296  ,0.532520  ,7.999961  ,8.000000  ,0.012509  ,0.000000  ,3.540000  ,-0.030913 ,0.441839  
0.920000  ,7.158290  ,0.533747  ,7.999965  ,8.000000  ,0.014085  ,-0.000000 ,3.640000  ,-0.037919 ,-0.485759 
0.940000  ,7.318287  ,0.534651  ,7.999968  ,8.000000  ,0.016143  ,0.000000  ,3.740000  ,-0.035919 ,-0.579767 
