# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,-0.266459 ,0.119986  ,7.998398  ,8.000000  ,0.000000  
0.000000  ,-0.266459 ,0.119986  ,7.998398  ,8.000000  ,0.000000  
0.000000  ,-0.266459 ,0.119986  ,7.998398  ,8.000000  ,0.000000  
0.020000  ,-0.107821 ,0.140585  ,7.998547  ,8.000000  ,0.026117  
0.020000  ,-0.107821 ,0.140585  ,7.998547  ,8.000000  ,0.026117  
0.040000  ,0.050777  ,0.161507  ,7.998682  ,8.000000  ,0.021172  
0.040000  ,0.050777  ,0.161507  ,7.998682  ,8.000000  ,0.021172  
0.060000  ,0.209321  ,0.182857  ,7.998804  ,8.000000  ,0.015048  
0.060000  ,0.209321  ,0.182857  ,7.998804  ,8.000000  ,0.015048  
0.080000  ,0.367799  ,0.204705  ,7.998915  ,8.000000  ,0.000000  
0.080000  ,0.367799  ,0.204705  ,7.998915  ,8.000000  ,0.000000  
0.100000  ,0.526203  ,0.227100  ,7.999016  ,8.000000  ,0.008900  
0.100000  ,0.526203  ,0.227100  ,7.999016  ,8.000000  ,0.008900  
0.120000  ,0.684526  ,0.250075  ,7.999107  ,8.000000  ,0.010942  
0.120000  ,0.684526  ,0.250075  ,7.999107  ,8.000000  ,0.010942  
0.140000  ,0.842766  ,0.273621  ,7.999190  ,8.000000  ,0.010350  
0.140000  ,0.842766  ,0.273621  ,7.999190  ,8.000000  ,0.010350  
0.160000  ,1.000961  ,0.297486  ,7.999265  ,8.000000  ,0.009649  
0.160000  ,1.000961  ,0.297486  ,7.999265  ,8.000000  ,0.009649  
0.180000  ,1.159118  ,0.321610  ,7.999333  ,8.000000  ,0.009433  
0.180000  ,1.159118  ,0.321610  ,7.999333  ,8.000000  ,0.009433  
0.200000  ,1.317248  ,0.345913  ,7.999395  ,8.000000  ,0.008948  
0.200000  ,1.317248  ,0.345913  ,7.999395  ,8.000000  ,0.008948  
0.220000  ,1.475369  ,0.370284  ,7.999451  ,8.000000  ,0.008051  
0.220000  ,1.475369  ,0.370284  ,7.999451  ,8.000000  ,0.008051  
0.240000  ,1.633501  ,0.394597  ,7.999502  ,8.000000  ,0.006857  
0.240000  ,1.633501  ,0.394597  ,7.999502  ,8.000000  ,0.006857  
0.260000  ,1.791662  ,0.418724  ,7.999549  ,8.000000  ,0.005760  
0.260000  ,1.791662  ,0.418724  ,7.999549  ,8.000000  ,0.005760  
0.280000  ,1.949871  ,0.442537  ,7.999590  ,8.000000  ,0.000000  
0.280000  ,1.949871  ,0.442537  ,7.999590  ,8.000000  ,0.000000  
0.300000  ,2.108142  ,0.465945  ,7.999628  ,8.000000  ,0.003621  
0.300000  ,2.108142  ,0.465945  ,7.999628  ,8.000000  ,0.003621  
0.320000  ,2.266449  ,0.489104  ,7.999663  ,8.000000  ,0.002424  
0.320000  ,2.266449  ,0.489104  ,7.999663  ,8.000000  ,0.002424  
0.340000  ,2.424799  ,0.511979  ,7.999694  ,8.000000  ,0.000454  
0.340000  ,2.424799  ,0.511979  ,7.999694  ,8.000000  ,0.000454  
0.360000  ,2.583191  ,0.534567  ,7.999723  ,8.000000  ,0.001408  
0.360000  ,2.583191  ,0.534567  ,7.999723  ,8.000000  ,0.001408  
0.380000  ,2.741619  ,0.556904  ,7.999748  ,8.000000  ,0.000000  
0.380000  ,2.741619  ,0.556904  ,7.999748  ,8.000000  ,0.000000  
0.400000  ,2.900077  ,0.579024  ,7.999772  ,8.000000  ,0.006221  
0.400000  ,2.900077  ,0.579024  ,7.999772  ,8.000000  ,0.006221  
0.420000  ,3.058593  ,0.600735  ,7.999793  ,8.000000  ,0.009103  
