# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.020000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.040000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.176787  
0.060000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.176949  
0.080000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.177480  
0.100000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.178323  
0.120000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.178926  
0.140000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.179167  
0.160000  ,0.066061  ,0.004602  ,1.122180  ,8.000000  ,0.178820  
0.180000  ,0.090166  ,0.008011  ,1.312380  ,8.000000  ,0.177840  
0.200000  ,0.117962  ,0.012459  ,1.502580  ,8.000000  ,0.177741  
0.220000  ,0.149423  ,0.018044  ,1.692780  ,8.000000  ,0.174646  
0.240000  ,0.184534  ,0.024810  ,1.882980  ,8.000000  ,0.170659  
0.260000  ,0.223274  ,0.032831  ,2.073180  ,8.000000  ,0.165706  
0.280000  ,0.265598  ,0.042277  ,2.263380  ,8.000000  ,0.159616  
0.300000  ,0.311490  ,0.053178  ,2.453580  ,8.000000  ,0.145957  
0.320000  ,0.360923  ,0.065613  ,2.643780  ,8.000000  ,0.141574  
0.340000  ,0.413867  ,0.079665  ,2.833980  ,8.000000  ,0.136154  
0.360000  ,0.470271  ,0.095490  ,3.024180  ,8.000000  ,0.129536  
0.380000  ,0.530148  ,0.113000  ,3.214380  ,8.000000  ,0.122276  
0.400000  ,0.593491  ,0.132201  ,3.404580  ,8.000000  ,0.112915  
0.420000  ,0.660336  ,0.152958  ,3.594780  ,8.000000  ,0.102547  
0.440000  ,0.730692  ,0.175233  ,3.784980  ,8.000000  ,0.091635  
0.460000  ,0.804546  ,0.199058  ,3.975180  ,8.000000  ,0.078656  
0.480000  ,0.881965  ,0.224220  ,4.165380  ,8.000000  ,0.064310  
0.500000  ,0.962992  ,0.250589  ,4.355580  ,8.000000  ,0.050345  
0.520000  ,1.047717  ,0.277884  ,4.545780  ,8.000000  ,0.036016  
0.540000  ,1.136201  ,0.305915  ,4.735980  ,8.000000  ,0.021556  
0.560000  ,1.228475  ,0.334572  ,4.926180  ,8.000000  ,0.006899  
0.580000  ,1.324575  ,0.363726  ,5.116380  ,8.000000  ,0.007604  
0.600000  ,1.424577  ,0.393108  ,5.306580  ,8.000000  ,0.022068  
0.620000  ,1.528541  ,0.422480  ,5.496780  ,8.000000  ,0.035908  
0.640000  ,1.636521  ,0.451596  ,5.686980  ,8.000000  ,0.049106  
0.660000  ,1.748545  ,0.480291  ,5.877180  ,8.000000  ,0.061308  
0.680000  ,1.864635  ,0.508400  ,6.067380  ,8.000000  ,0.072384  
0.700000  ,1.984724  ,0.535742  ,6.246803  ,8.000000  ,0.082794  
0.720000  ,2.108537  ,0.562078  ,6.409568  ,8.000000  ,0.091577  
0.740000  ,2.235772  ,0.587164  ,6.557222  ,8.000000  ,0.099245  
0.760000  ,2.366132  ,0.610880  ,6.691168  ,8.000000  ,0.105270  
0.780000  ,2.499357  ,0.633014  ,6.812679  ,8.000000  ,0.109625  
0.800000  ,2.635207  ,0.653379  ,6.922908  ,8.000000  ,0.112197  
0.820000  ,2.773439  ,0.671909  ,7.022904  ,8.000000  ,0.113942  
0.840000  ,2.913844  ,0.688444  ,7.113617  ,8.000000  ,0.113346  
0.860000  ,3.056222  ,0.702838  ,7.195908  ,8.000000  ,0.110866  
0.880000  ,3.200384  ,0.714978  ,7.270559  ,8.000000  ,0.107368  
0.900000  ,3.346138  ,0.724958  ,7.338280  ,8.000000  ,0.101666  
0.920000  ,3.493313  ,0.732846  ,7.399713  ,8.000000  ,0.094373  
0.940000  ,3.641753  ,0.738738  ,7.455443  ,8.000000  ,0.085646  
0.960000  ,3.791321  ,0.742671  ,7.505999  ,8.000000  ,0.076756  
0.980000  ,3.941887  ,0.744933  ,7.551862  ,8.000000  ,0.066199  
1.000000  ,4.093343  ,0.745790  ,7.593466  ,8.000000  ,0.054999  
1.020000  ,4.245594  ,0.745533  ,7.631209  ,8.000000  ,0.043499  
1.040000  ,4.398560  ,0.744389  ,7.665447  ,8.000000  ,0.033245  
1.060000  ,4.552175  ,0.742832  ,7.696506  ,8.000000  ,0.022710  
1.080000  ,4.706382  ,0.741151  ,7.724682  ,8.000000  ,0.013020  
1.100000  ,4.861126  ,0.739634  ,7.750243  ,8.000000  ,0.004504  
1.120000  ,5.016362  ,0.738568  ,7.773430  ,8.000000  ,0.001317  
1.140000  ,5.172043  ,0.738226  ,7.794464  ,8.000000  ,0.006048  
1.160000  ,5.328124  ,0.738854  ,7.813546  ,8.000000  ,0.008684  
1.180000  ,5.484560  ,0.740644  ,7.830856  ,8.000000  ,0.009008  
1.200000  ,5.641309  ,0.743525  ,7.846559  ,8.000000  ,0.007069  
1.220000  ,5.798335  ,0.747440  ,7.860805  ,8.000000  ,0.001455  
1.240000  ,5.955608  ,0.752251  ,7.873727  ,8.000000  ,0.005297  
1.260000  ,6.113115  ,0.757490  ,7.885450  ,8.000000  ,0.013713  
1.280000  ,6.270841  ,0.762811  ,7.896085  ,8.000000  ,0.023464  
1.300000  ,6.428779  ,0.767898  ,7.905732  ,8.000000  ,0.035440  
1.320000  ,6.586925  ,0.772123  ,7.914484  ,8.000000  ,0.047151  
1.340000  ,6.745271  ,0.774872  ,7.922423  ,8.000000  ,0.058697  
1.360000  ,6.903789  ,0.775657  ,7.929626  ,8.000000  ,0.069602  
1.380000  ,7.062437  ,0.774026  ,7.936159  ,8.000000  ,0.079427  
1.400000  ,7.221147  ,0.769316  ,7.942086  ,8.000000  ,0.088870  
1.420000  ,7.379829  ,0.761123  ,7.947463  ,8.000000  ,0.095320  
1.440000  ,7.538372  ,0.749151  ,7.952340  ,8.000000  ,0.099342  
1.460000  ,7.696642  ,0.733051  ,7.956765  ,8.000000  ,0.100582  
1.480000  ,7.854539  ,0.712941  ,7.960779  ,8.000000  ,0.099153  
1.500000  ,8.011949  ,0.688818  ,7.964420  ,8.000000  ,0.096492  
1.520000  ,8.168760  ,0.660667  ,7.967723  ,8.000000  ,0.090141  
1.540000  ,8.324958  ,0.628968  ,7.970720  ,8.000000  ,0.081544  
1.560000  ,8.480538  ,0.594098  ,7.973438  ,8.000000  ,0.071071  
1.580000  ,8.635562  ,0.556613  ,7.975904  ,8.000000  ,0.059278  
1.600000  ,8.790130  ,0.517094  ,7.978141  ,8.000000  ,0.048253  
1.620000  ,8.944386  ,0.476207  ,7.980170  ,8.000000  ,0.036124  
1.640000  ,9.098535  ,0.434765  ,7.982011  ,8.000000  ,0.024768  
1.660000  ,9.252738  ,0.393389  ,7.983681  ,8.000000  ,0.014822  
1.680000  ,9.407097  ,0.352477  ,7.985196  ,8.000000  ,0.006699  
1.700000  ,9.561761  ,0.312621  ,7.986571  ,8.000000  ,0.002487  
1.720000  ,9.716818  ,0.274210  ,7.987818  ,8.000000  ,0.000032  
1.740000  ,9.872314  ,0.237518  ,7.988949  ,8.000000  ,0.000658  
1.760000  ,10.028212 ,0.202469  ,7.989975  ,8.000000  ,0.004274  
1.780000  ,10.184486 ,0.169047  ,7.990905  ,8.000000  ,0.010845  
1.800000  ,10.341037 ,0.136856  ,7.991750  ,8.000000  ,0.021358  
1.820000  ,10.497783 ,0.105544  ,7.992516  ,8.000000  ,0.032998  
1.840000  ,10.654572 ,0.074378  ,7.993210  ,8.000000  ,0.046014  
1.860000  ,10.811276 ,0.042714  ,7.993841  ,8.000000  ,0.059730  
1.880000  ,10.967759 ,0.009923  ,7.994413  ,8.000000  ,0.074458  
1.900000  ,11.123807 ,-0.024925 ,7.994931  ,8.000000  ,0.087648  
1.920000  ,11.279175 ,-0.062726 ,7.995402  ,8.000000  ,0.098947  
1.940000  ,11.433614 ,-0.104189 ,7.995829  ,8.000000  ,0.107582  
1.960000  ,11.586932 ,-0.149647 ,7.996216  ,8.000000  ,0.113160  
1.980000  ,11.738866 ,-0.199559 ,7.996567  ,8.000000  ,0.116026  
2.000000  ,11.889156 ,-0.254236 ,7.996886  ,8.000000  ,0.114302  
2.020000  ,12.037662 ,-0.313608 ,7.997175  ,8.000000  ,0.108548  
2.040000  ,12.184230 ,-0.377628 ,7.997437  ,8.000000  ,0.098724  
2.060000  ,12.328893 ,-0.445860 ,7.997675  ,8.000000  ,0.085226  
2.080000  ,12.471870 ,-0.517570 ,7.997891  ,8.000000  ,0.069607  
2.100000  ,12.613351 ,-0.592199 ,7.998087  ,8.000000  ,0.051092  
2.120000  ,12.753773 ,-0.668814 ,7.998265  ,8.000000  ,0.031215  
2.140000  ,12.893675 ,-0.746382 ,7.998426  ,8.000000  ,0.011173  
2.160000  ,13.033392 ,-0.824290 ,7.998572  ,7.939575  ,0.008353  
2.180000  ,13.173593 ,-0.901326 ,7.998704  ,7.939575  ,0.026682  
2.200000  ,13.314836 ,-0.976438 ,7.998825  ,7.778173  ,0.042996  
