# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,0.037237  ,100.000000,0.461060  ,85.775649 
0.000000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,-0.015693 ,100.000000,0.461060  ,0.000000  
0.020000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,-0.013705 ,100.000000,0.461060  ,0.000000  
0.040000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,0.097942  ,100.000000,0.461060  ,0.000000  
0.060000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,-0.014256 ,100.000000,0.461060  ,0.000000  
0.080000  ,0.021991  ,-0.297722 ,0.000000  ,8.000000  ,0.000000  ,0.066660  ,100.000000,0.461060  ,0.000000  
0.100000  ,0.022371  ,-0.297722 ,0.076080  ,8.000000  ,0.000000  ,-0.010139 ,100.000000,0.461060  ,0.000000  
0.120000  ,0.025795  ,-0.297721 ,0.266280  ,8.000000  ,0.000000  ,-0.008426 ,100.000000,0.460994  ,0.005080  
0.140000  ,0.033022  ,-0.297716 ,0.456480  ,8.000000  ,0.478708  ,-0.014659 ,0.000000  ,0.460151  ,0.048600  
0.160000  ,0.044047  ,-0.297384 ,0.646680  ,8.000000  ,0.479043  ,-0.029687 ,0.000000  ,0.458211  ,1.461449  
0.180000  ,0.058845  ,-0.296344 ,0.836880  ,8.000000  ,0.478899  ,-0.038834 ,0.000000  ,0.454244  ,3.427766  
0.200000  ,0.077388  ,-0.294453 ,1.027080  ,8.000000  ,0.478132  ,0.020931  ,0.000000  ,0.447354  ,4.650750  
0.220000  ,0.099627  ,-0.291436 ,1.217280  ,8.000000  ,0.476466  ,0.034736  ,0.000000  ,0.437051  ,5.671573  
0.240000  ,0.125490  ,-0.286971 ,1.407480  ,8.000000  ,0.477516  ,-0.050445 ,0.100000  ,0.425008  ,6.517781  
0.260000  ,0.154881  ,-0.280712 ,1.597680  ,8.000000  ,0.471612  ,0.006757  ,0.100000  ,0.402156  ,7.145678  
0.280000  ,0.187716  ,-0.272468 ,1.787880  ,8.000000  ,0.463765  ,0.012806  ,0.100000  ,0.374900  ,7.310273  
0.300000  ,0.223918  ,-0.262098 ,1.978080  ,8.000000  ,0.453834  ,-0.058315 ,0.100000  ,0.344331  ,7.057082  
0.320000  ,0.263386  ,-0.249395 ,2.168280  ,8.000000  ,0.441609  ,0.012411  ,0.100000  ,0.311215  ,6.573236  
0.340000  ,0.305993  ,-0.234111 ,2.358480  ,8.000000  ,0.419009  ,0.011384  ,0.200000  ,0.247491  ,5.957910  
0.360000  ,0.351589  ,-0.215978 ,2.548680  ,8.000000  ,0.404925  ,0.001253  ,0.200000  ,0.202786  ,5.261217  
0.380000  ,0.400029  ,-0.194788 ,2.738880  ,8.000000  ,0.388044  ,0.021772  ,0.200000  ,0.158046  ,4.473710  
0.400000  ,0.451134  ,-0.170281 ,2.929080  ,8.000000  ,0.368092  ,-0.010703 ,0.200000  ,0.057391  ,3.674904  
0.420000  ,0.504751  ,-0.142296 ,3.119280  ,8.000000  ,0.344893  ,-0.035459 ,0.200000  ,0.007292  ,2.845838  
0.440000  ,0.560786  ,-0.110791 ,3.309480  ,8.000000  ,0.318824  ,-0.017589 ,0.300000  ,-0.037422 ,1.979224  
0.460000  ,0.619093  ,-0.075628 ,3.499680  ,8.000000  ,0.288407  ,0.048414  ,0.300000  ,-0.157136 ,1.205455  
0.480000  ,0.679664  ,-0.036899 ,3.689880  ,8.000000  ,0.254617  ,0.039818  ,0.300000  ,-0.194215 ,0.457676  
0.500000  ,0.742480  ,0.005342  ,3.880080  ,8.000000  ,0.218031  ,0.038828  ,0.400000  ,-0.222879 ,0.169209  
0.520000  ,0.807474  ,0.051129  ,4.070280  ,8.000000  ,0.176975  ,-0.013273 ,0.400000  ,-0.335635 ,0.625694  
0.540000  ,0.874747  ,0.100265  ,4.260480  ,8.000000  ,0.132740  ,0.041693  ,0.400000  ,-0.352811 ,0.988736  
0.560000  ,0.944463  ,0.152496  ,4.450680  ,8.000000  ,0.085314  ,0.023144  ,0.510000  ,-0.451373 ,1.203963  
0.580000  ,1.016841  ,0.207514  ,4.640880  ,8.000000  ,0.036004  ,0.015470  ,0.510000  ,-0.455192 ,1.239001  
0.600000  ,1.092159  ,0.264951  ,4.831080  ,8.000000  ,0.015419  ,0.040462  ,0.610000  ,-0.453068 ,1.081776  
0.620000  ,1.170746  ,0.324373  ,5.021280  ,8.000000  ,0.068710  ,0.019536  ,0.610000  ,-0.528390 ,0.732369  
0.640000  ,1.252974  ,0.385277  ,5.211480  ,8.000000  ,0.123203  ,-0.044124 ,0.610000  ,-0.517077 ,0.197988  
0.660000  ,1.339248  ,0.447087  ,5.401680  ,8.000000  ,0.178239  ,0.043605  ,0.710000  ,-0.575134 ,0.510159  
0.680000  ,1.429988  ,0.509147  ,5.591880  ,8.000000  ,0.233391  ,0.047014  ,0.710000  ,-0.556789 ,1.378833  
0.700000  ,1.525615  ,0.570720  ,5.782080  ,8.000000  ,0.287674  ,-0.024846 ,0.810000  ,-0.537315 ,2.393170  
0.720000  ,1.626470  ,0.631079  ,5.972280  ,8.000000  ,0.340434  ,0.024068  ,0.810000  ,-0.573798 ,3.521064  
0.740000  ,1.732730  ,0.689634  ,6.159276  ,8.000000  ,0.390966  ,-0.032302 ,0.910000  ,-0.552412 ,4.683408  
0.760000  ,1.844362  ,0.745670  ,6.330167  ,8.000000  ,0.438767  ,-0.016887 ,0.910000  ,-0.574880 ,5.813741  
0.780000  ,1.961179  ,0.798390  ,6.485193  ,8.000000  ,0.482904  ,-0.046035 ,1.010000  ,-0.554069 ,6.919522  
0.800000  ,2.082944  ,0.847018  ,0.000000  ,8.000000  ,0.522672  ,-0.024040 ,1.110000  ,-0.413927 ,21.769813 
0.820000  ,2.084561  ,0.847016  ,0.171180  ,8.000000  ,0.522559  ,-0.011446 ,1.110000  ,-0.412339 ,-0.063763 
0.840000  ,2.089886  ,0.846985  ,0.361380  ,8.000000  ,0.522159  ,-0.014816 ,1.110000  ,-0.407099 ,-0.210042 
0.860000  ,2.098999  ,0.846620  ,0.551580  ,8.000000  ,0.521165  ,0.029472  ,1.110000  ,-0.398382 ,1.061973  
