# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.037979  ,0.037979  ,0.000000  ,8.000000  ,0.142800  
0.000000  ,0.049400  ,0.049400  ,0.000000  ,8.000000  ,0.132579  
0.020000  ,-0.003125 ,-0.004742 ,0.171180  ,8.000000  ,0.181192  
0.020000  ,0.007298  ,0.005681  ,0.171180  ,8.000000  ,0.171864  
0.040000  ,-0.068486 ,-0.075428 ,0.361380  ,8.000000  ,0.000000  
0.040000  ,-0.040882 ,-0.047824 ,0.361380  ,8.000000  ,0.220279  
0.060000  ,-0.006833 ,-0.022832 ,0.551580  ,8.000000  ,0.198820  
0.060000  ,-0.015113 ,-0.031112 ,0.551580  ,8.000000  ,0.206230  
0.080000  ,0.083447  ,0.055227  ,0.741780  ,8.000000  ,0.130189  
0.080000  ,-0.027840 ,-0.056059 ,0.741780  ,8.000000  ,0.229778  
0.100000  ,-0.018891 ,-0.062351 ,0.931980  ,8.000000  ,0.236934  
0.100000  ,0.048116  ,0.004656  ,0.931980  ,8.000000  ,0.176969  
0.120000  ,0.100027  ,0.038447  ,1.122180  ,8.000000  ,0.150424  
0.120000  ,0.097546  ,0.035966  ,1.122180  ,8.000000  ,0.152702  
0.140000  ,0.085865  ,0.003119  ,1.312380  ,8.000000  ,0.182277  
0.140000  ,0.083968  ,0.001222  ,1.312380  ,8.000000  ,0.183974  
0.160000  ,0.086871  ,-0.019859 ,1.502580  ,8.000000  ,0.205240  
0.160000  ,0.072245  ,-0.034484 ,1.502580  ,8.000000  ,0.218328  
0.180000  ,0.125974  ,-0.007587 ,1.692780  ,8.000000  ,0.198354  
0.180000  ,0.136636  ,0.003075  ,1.692780  ,8.000000  ,0.188563  
0.200000  ,0.174202  ,0.011280  ,1.882980  ,8.000000  ,0.183335  
0.200000  ,0.165713  ,0.002791  ,1.882980  ,8.000000  ,0.191131  
0.220000  ,0.142518  ,-0.052105 ,2.073180  ,8.000000  ,0.244035  
0.220000  ,0.249411  ,0.054788  ,2.073180  ,8.000000  ,0.145872  
0.240000  ,0.264692  ,0.036197  ,2.263380  ,8.000000  ,0.165605  
0.240000  ,0.263343  ,0.034849  ,2.263380  ,8.000000  ,0.166843  
0.260000  ,0.229772  ,-0.034724 ,2.453580  ,8.000000  ,0.233563  
0.260000  ,0.280788  ,0.016292  ,2.453580  ,8.000000  ,0.186713  
0.280000  ,0.253832  ,-0.048419 ,2.643780  ,8.000000  ,0.249106  
0.280000  ,0.308378  ,0.006127  ,2.643780  ,8.000000  ,0.191907  
0.300000  ,0.444046  ,0.102352  ,2.833980  ,8.000000  ,0.118576  
0.300000  ,0.429957  ,0.088263  ,2.833980  ,8.000000  ,0.130235  
0.320000  ,0.439362  ,0.056638  ,3.024180  ,8.000000  ,0.162956  
0.320000  ,0.571157  ,0.188434  ,3.024180  ,8.000000  ,0.053943  
0.340000  ,0.493640  ,0.068387  ,3.214380  ,8.000000  ,0.160023  
0.340000  ,0.617538  ,0.192285  ,3.214380  ,8.000000  ,0.057179  
0.360000  ,0.580752  ,0.111344  ,3.404580  ,8.000000  ,0.131596  
0.360000  ,0.626770  ,0.157362  ,3.404580  ,8.000000  ,0.093098  
0.380000  ,0.722693  ,0.207208  ,3.594780  ,8.000000  ,0.058843  
0.380000  ,0.690394  ,0.174909  ,3.594780  ,8.000000  ,0.086171  
0.400000  ,0.700928  ,0.137381  ,3.784980  ,8.000000  ,0.124823  
0.400000  ,0.752460  ,0.188913  ,3.784980  ,8.000000  ,0.081220  
0.420000  ,0.793800  ,0.179922  ,3.975180  ,8.000000  ,0.096051  
0.420000  ,0.844780  ,0.230902  ,3.975180  ,8.000000  ,0.052916  
0.440000  ,0.804375  ,0.137544  ,4.165380  ,8.000000  ,0.139509  
0.440000  ,0.874298  ,0.207467  ,4.165380  ,8.000000  ,0.080345  
0.460000  ,0.891781  ,0.169162  ,4.355580  ,8.000000  ,0.120218  
0.460000  ,1.037258  ,0.314639  ,4.355580  ,8.000000  ,0.001888  
0.480000  ,0.985878  ,0.204543  ,4.545780  ,8.000000  ,0.099294  
0.480000  ,1.085773  ,0.304438  ,4.545780  ,8.000000  ,0.015539  
0.500000  ,1.125749  ,0.282983  ,4.735980  ,8.000000  ,0.042685  
0.500000  ,1.166179  ,0.323413  ,4.735980  ,8.000000  ,0.000000  
0.520000  ,1.128391  ,0.221416  ,4.926180  ,8.000000  ,0.103963  
0.520000  ,1.269764  ,0.362789  ,4.926180  ,8.000000  ,0.014680  
0.540000  ,1.299937  ,0.325595  ,5.116380  ,8.000000  ,0.026520  
0.540000  ,1.323747  ,0.349405  ,5.116380  ,8.000000  ,0.006443  
0.560000  ,1.457859  ,0.412591  ,5.306580  ,8.000000  ,0.036342  
0.560000  ,1.421883  ,0.376614  ,5.306580  ,8.000000  ,0.006144  
0.580000  ,1.495964  ,0.376251  ,5.496780  ,8.000000  ,0.005125  
0.580000  ,1.507767  ,0.388054  ,5.496780  ,8.000000  ,0.004847  
0.600000  ,1.573566  ,0.375762  ,5.686980  ,8.000000  ,0.016828  
0.600000  ,1.660408  ,0.462605  ,5.686980  ,8.000000  ,0.056320  
0.620000  ,1.735547  ,0.455692  ,5.877180  ,8.000000  ,0.038804  
0.620000  ,1.839929  ,0.560074  ,5.877180  ,8.000000  ,0.126987  
0.640000  ,1.927127  ,0.561121  ,6.067380  ,8.000000  ,0.115922  
0.640000  ,1.929497  ,0.563492  ,6.067380  ,8.000000  ,0.117941  
0.660000  ,1.939736  ,0.483582  ,6.246803  ,8.000000  ,0.037383  
0.660000  ,2.000907  ,0.544754  ,6.246803  ,8.000000  ,0.089472  
0.680000  ,2.176394  ,0.625859  ,6.409568  ,8.000000  ,0.145607  
0.680000  ,2.159827  ,0.609292  ,6.409568  ,8.000000  ,0.131430  
0.700000  ,2.190954  ,0.541523  ,6.557222  ,8.000000  ,0.060077  
0.700000  ,2.281138  ,0.631707  ,6.557222  ,8.000000  ,0.137033  
0.720000  ,2.449602  ,0.696900  ,6.691168  ,8.000000  ,0.179266  
0.720000  ,2.375518  ,0.622816  ,6.691168  ,8.000000  ,0.115876  
0.740000  ,2.491813  ,0.631224  ,6.812679  ,8.000000  ,0.108798  
0.740000  ,2.436790  ,0.576201  ,6.812679  ,8.000000  ,0.061649  
0.760000  ,2.630078  ,0.657077  ,6.922908  ,8.000000  ,0.117040  
0.760000  ,2.661800  ,0.688799  ,6.922908  ,8.000000  ,0.144155  
0.780000  ,2.784909  ,0.694693  ,7.022904  ,8.000000  ,0.135178  
0.780000  ,2.784677  ,0.694460  ,7.022904  ,8.000000  ,0.134975  
0.800000  ,2.929656  ,0.717684  ,7.113617  ,8.000000  ,0.140585  
0.800000  ,3.003910  ,0.791938  ,7.113617  ,8.000000  ,0.205851  
0.820000  ,3.065581  ,0.727424  ,7.195908  ,8.000000  ,0.134297  
0.820000  ,3.090077  ,0.751920  ,7.195908  ,8.000000  ,0.156005  
0.840000  ,3.186426  ,0.717686  ,7.270559  ,8.000000  ,0.111568  
0.840000  ,3.226593  ,0.757853  ,7.270559  ,8.000000  ,0.146466  
0.860000  ,3.282364  ,0.678941  ,7.338280  ,8.000000  ,0.062325  
0.860000  ,3.333550  ,0.730126  ,7.338280  ,8.000000  ,0.108079  
0.880000  ,3.513110  ,0.771198  ,7.399713  ,8.000000  ,0.130705  
