# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.013942 ,-0.013942 ,0.000000  ,8.000000  ,0.192614  ,-0.044719 ,0.000000  ,0.237075  ,135.000000
0.020000  ,0.010483  ,0.008867  ,0.171180  ,8.000000  ,0.171323  ,-0.083130 ,0.000000  ,0.216580  ,45.000000 
0.040000  ,-0.011511 ,-0.018452 ,0.361380  ,8.000000  ,0.197263  ,0.035748  ,0.000000  ,0.240589  ,135.033116
0.060000  ,0.032183  ,0.016184  ,0.551580  ,8.000000  ,0.165331  ,-0.031272 ,0.000000  ,0.207296  ,44.823296 
0.080000  ,0.086553  ,0.058334  ,0.741780  ,8.000000  ,0.126545  ,-0.003818 ,0.000000  ,0.165741  ,44.601202 
0.100000  ,0.000025  ,-0.043452 ,0.931980  ,8.000000  ,0.222915  ,-0.018451 ,0.000000  ,0.250433  ,135.841186
0.120000  ,-0.027960 ,-0.089733 ,1.122180  ,8.000000  ,0.267419  ,0.035919  ,0.000000  ,0.281384  ,136.443241
0.140000  ,0.088089  ,0.004932  ,1.312380  ,8.000000  ,0.179942  ,0.020052  ,0.000000  ,0.189394  ,42.851206 
0.160000  ,0.108932  ,0.001401  ,1.502580  ,8.000000  ,0.188964  ,-0.042541 ,0.100000  ,0.181609  ,137.976212
0.180000  ,0.134165  ,-0.000399 ,1.692780  ,8.000000  ,0.191069  ,0.015173  ,0.100000  ,0.171883  ,138.979197
0.200000  ,0.263521  ,0.099112  ,1.882980  ,8.000000  ,0.093129  ,0.001768  ,0.100000  ,0.072418  ,40.008690 
0.220000  ,0.225213  ,0.028159  ,2.073180  ,8.000000  ,0.163613  ,0.019619  ,0.100000  ,0.119344  ,38.995956 
0.240000  ,0.295968  ,0.063356  ,2.263380  ,8.000000  ,0.121802  ,0.020091  ,0.200000  ,0.079937  ,38.082509 
0.260000  ,0.351449  ,0.080520  ,2.453580  ,8.000000  ,0.109546  ,-0.019171 ,0.200000  ,0.046238  ,142.813628
0.280000  ,0.394251  ,0.082400  ,2.643780  ,8.000000  ,0.111409  ,0.001368  ,0.200000  ,0.035467  ,36.314180 
0.300000  ,0.416074  ,0.060419  ,2.833980  ,8.000000  ,0.135212  ,0.032805  ,0.200000  ,0.048013  ,144.364900
0.320000  ,0.439971  ,0.037439  ,3.024180  ,8.000000  ,0.160190  ,0.054511  ,0.200000  ,0.065718  ,144.824374
0.340000  ,0.590090  ,0.137861  ,3.214380  ,8.000000  ,0.073288  ,-0.077238 ,0.300000  ,-0.028869 ,34.759095 
0.360000  ,0.600780  ,0.096112  ,3.404580  ,8.000000  ,0.115755  ,0.059007  ,0.300000  ,0.005415  ,145.626688
0.380000  ,0.709042  ,0.148955  ,3.594780  ,8.000000  ,0.072406  ,-0.004822 ,0.400000  ,-0.028082 ,34.151834 
0.400000  ,0.717544  ,0.098928  ,3.784980  ,8.000000  ,0.122911  ,0.031956  ,0.400000  ,0.019035  ,145.908887
0.420000  ,0.800978  ,0.120540  ,3.975180  ,8.000000  ,0.107278  ,0.018565  ,0.400000  ,-0.006274 ,34.203150 
0.440000  ,0.868585  ,0.123273  ,4.165380  ,8.000000  ,0.109353  ,0.008734  ,0.400000  ,0.004285  ,145.724643
0.460000  ,0.970983  ,0.157867  ,4.355580  ,8.000000  ,0.081992  ,0.063860  ,0.510000  ,-0.031695 ,145.736304
0.480000  ,1.049805  ,0.165833  ,4.545780  ,8.000000  ,0.080089  ,0.021027  ,0.510000  ,-0.025110 ,145.729874
0.500000  ,1.150755  ,0.192571  ,4.735980  ,8.000000  ,0.061196  ,-0.005482 ,0.610000  ,-0.051356 ,34.430888 
0.520000  ,1.291923  ,0.256106  ,4.926180  ,8.000000  ,0.008702  ,0.004441  ,0.710000  ,-0.081926 ,34.695786 
0.540000  ,1.332568  ,0.215645  ,5.116380  ,8.000000  ,0.052068  ,0.023810  ,0.710000  ,-0.052916 ,144.989663
0.560000  ,1.398692  ,0.197296  ,5.306580  ,8.000000  ,0.075277  ,-0.035159 ,0.710000  ,-0.020801 ,144.734119
0.580000  ,1.572829  ,0.283382  ,5.496780  ,8.000000  ,0.002362  ,0.012937  ,0.810000  ,-0.087498 ,35.561556 
0.600000  ,1.678210  ,0.296959  ,5.686980  ,8.000000  ,0.003408  ,-0.043890 ,0.810000  ,-0.078106 ,35.948949 
0.620000  ,1.842968  ,0.365969  ,5.877180  ,8.000000  ,0.060165  ,0.012227  ,0.910000  ,-0.127505 ,36.444169 
0.640000  ,1.968864  ,0.392184  ,6.067380  ,8.000000  ,0.077173  ,-0.017182 ,1.010000  ,-0.142232 ,36.939422 
0.660000  ,2.083816  ,0.403506  ,6.246803  ,8.000000  ,0.080160  ,0.029333  ,1.110000  ,-0.130531 ,37.435988 
0.680000  ,2.096337  ,0.308492  ,6.409568  ,8.000000  ,0.015492  ,0.027707  ,1.110000  ,-0.044003 ,142.000437
0.700000  ,2.276617  ,0.377489  ,6.557222  ,8.000000  ,0.040879  ,-0.020460 ,1.110000  ,-0.078602 ,141.376307
0.720000  ,2.460690  ,0.446660  ,6.691168  ,8.000000  ,0.097327  ,0.014051  ,1.210000  ,-0.123800 ,39.301246 
0.740000  ,2.534507  ,0.402063  ,6.812679  ,8.000000  ,0.047775  ,-0.015943 ,1.320000  ,-0.071326 ,139.974254
0.760000  ,2.644975  ,0.390824  ,6.922908  ,8.000000  ,0.029383  ,-0.023973 ,1.320000  ,-0.041173 ,139.288724
0.780000  ,2.823009  ,0.443951  ,7.022904  ,8.000000  ,0.070935  ,-0.000744 ,1.420000  ,-0.072256 ,41.387427 
0.800000  ,2.918390  ,0.411183  ,7.113617  ,8.000000  ,0.032103  ,-0.022948 ,1.520000  ,-0.025133 ,137.859498
0.820000  ,3.143578  ,0.505048  ,7.195908  ,8.000000  ,0.112168  ,0.026042  ,1.620000  ,-0.089667 ,42.959626 
