# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,0.000000  ,0.000000  ,0.101332  ,0.000000  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,0.000000  ,0.000000  ,0.101332  ,0.000000  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.179638  ,-0.000000 ,0.000000  ,0.101332  ,0.000000  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.179959  ,-0.000000 ,0.000000  ,0.101200  ,0.006734  
0.060000  ,0.016072  ,0.000017  ,0.551580  ,8.000000  ,0.180495  ,0.000000  ,0.000000  ,0.100941  ,0.056919  
0.080000  ,0.029005  ,0.000104  ,0.741780  ,8.000000  ,0.181190  ,0.000000  ,0.000000  ,0.100674  ,0.314220  
0.100000  ,0.045742  ,0.000243  ,0.931980  ,8.000000  ,0.182062  ,0.000000  ,0.000000  ,0.105647  ,0.369226  
0.120000  ,0.066283  ,0.000434  ,1.122180  ,8.000000  ,0.183114  ,0.000000  ,0.000000  ,0.105116  ,0.372466  
0.140000  ,0.090627  ,0.000678  ,1.312380  ,8.000000  ,0.184341  ,-0.000000 ,0.000000  ,0.104498  ,0.360160  
0.160000  ,0.118775  ,0.000984  ,1.502580  ,8.000000  ,0.189500  ,-0.000000 ,0.100000  ,0.103804  ,0.341426  
0.180000  ,0.150727  ,0.001359  ,1.692780  ,8.000000  ,0.189512  ,0.000000  ,0.100000  ,0.103046  ,0.319166  
0.200000  ,0.186481  ,0.001813  ,1.882980  ,8.000000  ,0.189490  ,-0.000000 ,0.100000  ,0.102237  ,0.294589  
0.220000  ,0.226039  ,0.002357  ,2.073180  ,8.000000  ,0.189424  ,-0.000000 ,0.100000  ,0.101387  ,0.268345  
0.240000  ,0.269400  ,0.003002  ,2.263380  ,8.000000  ,0.189303  ,-0.000000 ,0.100000  ,0.105178  ,0.240872  
0.260000  ,0.316563  ,0.003761  ,2.453580  ,8.000000  ,0.182968  ,0.000000  ,0.200000  ,0.104161  ,0.212512  
0.280000  ,0.367529  ,0.004645  ,2.643780  ,8.000000  ,0.186536  ,0.000000  ,0.200000  ,0.103134  ,0.183560  
0.300000  ,0.422297  ,0.005668  ,2.833980  ,8.000000  ,0.190297  ,-0.000000 ,0.200000  ,0.102110  ,0.154280  
0.320000  ,0.480867  ,0.006843  ,3.024180  ,8.000000  ,0.194238  ,0.000000  ,0.200000  ,0.105141  ,0.124914  
0.340000  ,0.543238  ,0.008185  ,3.214380  ,8.000000  ,0.198829  ,0.000000  ,0.300000  ,0.104014  ,0.095684  
0.360000  ,0.609410  ,0.009707  ,3.404580  ,8.000000  ,0.202573  ,-0.000000 ,0.300000  ,0.102920  ,0.066788  
0.380000  ,0.679383  ,0.011423  ,3.594780  ,8.000000  ,0.206426  ,-0.000000 ,0.300000  ,0.105351  ,0.038404  
0.400000  ,0.753155  ,0.013347  ,3.784980  ,8.000000  ,0.210805  ,0.000000  ,0.400000  ,0.104204  ,0.010690  
0.420000  ,0.830727  ,0.015493  ,3.975180  ,8.000000  ,0.214173  ,-0.000000 ,0.400000  ,0.103119  ,0.016223  
0.440000  ,0.912098  ,0.017875  ,4.165380  ,8.000000  ,0.217061  ,0.000000  ,0.510000  ,0.105001  ,0.042223  
0.460000  ,0.997267  ,0.020506  ,4.355580  ,8.000000  ,0.220963  ,-0.000000 ,0.510000  ,0.103910  ,0.067221  
0.480000  ,1.086234  ,0.023401  ,4.545780  ,8.000000  ,0.224893  ,0.000000  ,0.510000  ,0.105349  ,0.091149  
0.500000  ,1.178997  ,0.026572  ,4.735980  ,8.000000  ,0.228859  ,-0.000000 ,0.610000  ,0.104278  ,0.113960  
0.520000  ,1.275557  ,0.030032  ,4.926180  ,8.000000  ,0.232732  ,0.000000  ,0.610000  ,0.105286  ,0.135624  
0.540000  ,1.375912  ,0.033794  ,5.116380  ,8.000000  ,0.236636  ,0.000000  ,0.710000  ,0.104259  ,0.156129  
0.560000  ,1.480062  ,0.037870  ,5.306580  ,8.000000  ,0.240304  ,-0.000000 ,0.710000  ,0.104852  ,0.175479  
0.580000  ,1.588005  ,0.042272  ,5.496780  ,8.000000  ,0.243936  ,-0.000000 ,0.810000  ,0.103888  ,0.193689  
0.600000  ,1.699743  ,0.047011  ,5.686980  ,8.000000  ,0.247446  ,-0.000000 ,0.810000  ,0.104079  ,0.210786  
0.620000  ,1.815272  ,0.052100  ,5.877180  ,8.000000  ,0.250873  ,-0.000000 ,0.910000  ,0.103194  ,0.226806  
0.640000  ,1.934593  ,0.057548  ,6.067380  ,8.000000  ,0.254194  ,0.000000  ,1.010000  ,0.102995  ,0.241792  
0.660000  ,2.057620  ,0.063363  ,6.246803  ,8.000000  ,0.257109  ,0.000000  ,1.010000  ,0.102422  ,0.256848  
0.680000  ,2.184052  ,0.069546  ,6.409568  ,8.000000  ,0.259929  ,0.000000  ,1.110000  ,0.101539  ,0.274865  
0.700000  ,2.313572  ,0.076097  ,6.557222  ,8.000000  ,0.262520  ,-0.000000 ,1.210000  ,0.100435  ,0.297943  
0.720000  ,2.445892  ,0.083018  ,6.691168  ,8.000000  ,0.264500  ,-0.000000 ,1.210000  ,0.099490  ,0.326799  
0.740000  ,2.580748  ,0.090314  ,6.812679  ,8.000000  ,0.266319  ,-0.000000 ,1.320000  ,0.097786  ,0.361147  
0.760000  ,2.717902  ,0.097993  ,6.922908  ,8.000000  ,0.267759  ,0.000000  ,1.420000  ,0.095578  ,0.400206  
