# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,0.000000  ,0.000000  ,0.830565  ,0.000000  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,0.000000  ,0.000000  ,0.830565  ,0.000000  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.179638  ,-0.000000 ,0.000000  ,0.830565  ,0.000000  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.179959  ,-0.000000 ,0.000000  ,0.829994  ,0.021375  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.180440  ,0.000000  ,0.000000  ,0.827411  ,0.269306  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.180528  ,0.000000  ,0.000000  ,0.822069  ,2.675378  
0.100000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.180103  ,0.000000  ,0.000000  ,0.811386  ,4.069387  
0.120000  ,0.066072  ,0.004510  ,1.122180  ,8.000000  ,0.179032  ,0.000000  ,0.000000  ,0.795533  ,4.934498  
0.140000  ,0.090211  ,0.007668  ,1.312380  ,8.000000  ,0.177339  ,-0.000000 ,0.000000  ,0.802067  ,5.106484  
0.160000  ,0.118067  ,0.011727  ,1.502580  ,8.000000  ,0.178750  ,-0.000000 ,0.100000  ,0.771169  ,4.981380  
0.180000  ,0.149617  ,0.016788  ,1.692780  ,8.000000  ,0.174071  ,0.000000  ,0.100000  ,0.735892  ,4.722187  
0.200000  ,0.184834  ,0.022981  ,1.882980  ,8.000000  ,0.168304  ,-0.000000 ,0.100000  ,0.696798  ,4.391972  
0.220000  ,0.223686  ,0.030438  ,2.073180  ,8.000000  ,0.161316  ,-0.000000 ,0.100000  ,0.654976  ,4.006219  
0.240000  ,0.266163  ,0.039166  ,2.263380  ,8.000000  ,0.153102  ,-0.000000 ,0.100000  ,0.613717  ,3.465848  
0.260000  ,0.312227  ,0.049321  ,2.453580  ,8.000000  ,0.137203  ,0.000000  ,0.200000  ,0.502321  ,2.969701  
