# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.283602 ,-0.006774 ,7.986383  ,8.000000  ,0.111625  ,-0.078777 ,100.000000,-0.138943 ,2.834201  
0.020000  ,-0.132988 ,0.045695  ,7.963953  ,8.000000  ,0.000000  ,-0.128101 ,100.000000,-0.151816 ,1.642265  
0.040000  ,0.017311  ,0.097405  ,7.932266  ,8.000000  ,0.077046  ,0.006261  ,0.000000  ,-0.132551 ,0.187732  
0.060000  ,0.167829  ,0.147749  ,7.939136  ,8.000000  ,0.022488  ,0.017673  ,0.120000  ,-0.133934 ,1.496416  
0.080000  ,0.319086  ,0.196289  ,7.946427  ,8.000000  ,0.027758  ,-0.087156 ,0.230000  ,-0.128689 ,3.300331  
0.100000  ,0.471062  ,0.242359  ,7.934867  ,8.000000  ,0.064732  ,-0.017702 ,0.230000  ,-0.116927 ,5.130704  
0.120000  ,0.623872  ,0.285333  ,7.939270  ,8.000000  ,0.098475  ,-0.022404 ,0.350000  ,-0.099117 ,6.890188  
0.140000  ,0.777738  ,0.324682  ,7.942828  ,8.000000  ,0.128284  ,0.100902  ,0.460000  ,-0.075828 ,8.481728  
0.160000  ,0.932737  ,0.360127  ,7.957504  ,8.000000  ,0.152879  ,-0.134289 ,0.580000  ,-0.055904 ,9.769276  
0.180000  ,1.088454  ,0.391334  ,7.925906  ,8.000000  ,0.172385  ,0.006724  ,0.690000  ,-0.033369 ,10.802684 
0.200000  ,1.244768  ,0.418098  ,7.933409  ,8.000000  ,0.185913  ,0.087114  ,0.690000  ,-0.009562 ,-11.507622
0.220000  ,1.401989  ,0.440485  ,7.947679  ,8.000000  ,0.194813  ,-0.003586 ,0.810000  ,-0.004587 ,-11.699990
0.240000  ,1.559949  ,0.458596  ,7.952204  ,8.000000  ,0.198795  ,0.041405  ,0.930000  ,0.011700  ,-11.441807
0.260000  ,1.718451  ,0.472655  ,7.960485  ,8.000000  ,0.198173  ,0.045883  ,1.040000  ,0.025803  ,-10.828326
0.280000  ,1.877407  ,0.482897  ,7.968413  ,8.000000  ,0.193277  ,-0.050635 ,1.160000  ,0.038137  ,-9.953037 
0.300000  ,2.036551  ,0.489876  ,7.961857  ,8.000000  ,0.184635  ,-0.041691 ,1.160000  ,0.047710  ,-8.909498 
0.320000  ,2.195717  ,0.494132  ,7.960635  ,8.000000  ,0.173245  ,0.140792  ,1.270000  ,0.034008  ,-7.692971 
0.340000  ,2.355084  ,0.496234  ,7.977361  ,8.000000  ,0.159562  ,-0.058450 ,1.390000  ,0.037236  ,-6.283907 
0.360000  ,2.514501  ,0.496671  ,7.965034  ,8.000000  ,0.144160  ,0.102220  ,1.500000  ,0.037580  ,-4.796418 
0.380000  ,2.673929  ,0.495955  ,7.977770  ,8.000000  ,0.127618  ,-0.044145 ,1.620000  ,0.035539  ,-3.332118 
0.400000  ,2.833399  ,0.494589  ,7.970227  ,8.000000  ,0.110788  ,0.119988  ,1.620000  ,0.031305  ,-1.944978 
0.420000  ,2.992937  ,0.493047  ,7.984130  ,8.000000  ,0.093841  ,-0.007002 ,1.740000  ,0.016028  ,-0.679076 
0.440000  ,3.152621  ,0.491601  ,7.984954  ,8.000000  ,0.077230  ,0.038804  ,1.850000  ,0.012039  ,0.398336  
0.460000  ,3.312367  ,0.490469  ,7.989953  ,8.000000  ,0.061237  ,0.015591  ,1.970000  ,0.008455  ,1.216395  
0.480000  ,3.472189  ,0.489926  ,7.992333  ,8.000000  ,0.046192  ,-0.133274 ,2.080000  ,0.004922  ,1.784521  
0.500000  ,3.631580  ,0.490156  ,7.949096  ,8.000000  ,0.033042  ,0.115276  ,2.080000  ,0.000733  ,2.195575  
0.520000  ,3.790714  ,0.491301  ,7.964524  ,8.000000  ,0.020939  ,0.006095  ,2.200000  ,-0.002896 ,2.464143  
0.540000  ,3.950028  ,0.493456  ,7.968384  ,8.000000  ,0.010398  ,0.079761  ,2.310000  ,-0.006565 ,2.598681  
0.560000  ,4.109469  ,0.496640  ,7.978724  ,8.000000  ,0.001493  ,0.128367  ,2.430000  ,-0.010938 ,2.633887  
0.580000  ,4.269134  ,0.500609  ,7.992617  ,8.000000  ,0.005972  ,-0.147502 ,2.550000  ,-0.014091 ,2.514554  
0.600000  ,4.428411  ,0.505263  ,7.944384  ,8.000000  ,0.011016  ,0.062164  ,2.550000  ,-0.016743 ,2.264040  
