# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.157041  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.157041  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.157828  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.157828  
0.100000  ,0.045670  ,0.002094  ,0.931980  ,8.000000  ,0.158416  
0.100000  ,0.045670  ,0.002094  ,0.931980  ,8.000000  ,0.158416  
0.120000  ,0.066125  ,0.003975  ,1.122180  ,8.000000  ,0.158887  
0.120000  ,0.066125  ,0.003975  ,1.122180  ,8.000000  ,0.158887  
0.140000  ,0.090360  ,0.006296  ,1.312380  ,8.000000  ,0.159352  
0.140000  ,0.090360  ,0.006296  ,1.312380  ,8.000000  ,0.159352  
0.160000  ,0.118338  ,0.009395  ,1.502580  ,8.000000  ,0.161671  
0.160000  ,0.118338  ,0.009395  ,1.502580  ,8.000000  ,0.161671  
0.180000  ,0.149998  ,0.013711  ,1.692780  ,8.000000  ,0.160178  
0.180000  ,0.149998  ,0.013711  ,1.692780  ,8.000000  ,0.160178  
0.200000  ,0.185274  ,0.019550  ,1.882980  ,8.000000  ,0.157489  
0.200000  ,0.185274  ,0.019550  ,1.882980  ,8.000000  ,0.157489  
0.220000  ,0.224176  ,0.026745  ,2.073180  ,8.000000  ,0.153770  
0.220000  ,0.224176  ,0.026745  ,2.073180  ,8.000000  ,0.153770  
0.240000  ,0.266734  ,0.035073  ,2.263380  ,8.000000  ,0.149248  
0.240000  ,0.266734  ,0.035073  ,2.263380  ,8.000000  ,0.149248  
0.260000  ,0.312936  ,0.044577  ,2.453580  ,8.000000  ,0.145114  
0.260000  ,0.312936  ,0.044577  ,2.453580  ,8.000000  ,0.145114  
0.280000  ,0.362770  ,0.055293  ,2.643780  ,8.000000  ,0.138119  
0.280000  ,0.362770  ,0.055293  ,2.643780  ,8.000000  ,0.138119  
0.300000  ,0.416168  ,0.067508  ,2.833980  ,8.000000  ,0.129893  
0.300000  ,0.416168  ,0.067508  ,2.833980  ,8.000000  ,0.129893  
0.320000  ,0.473143  ,0.081133  ,3.024180  ,8.000000  ,0.120526  
0.320000  ,0.473143  ,0.081133  ,3.024180  ,8.000000  ,0.120526  
0.340000  ,0.533724  ,0.096032  ,3.214380  ,8.000000  ,0.109091  
0.340000  ,0.533724  ,0.096032  ,3.214380  ,8.000000  ,0.109091  
0.360000  ,0.597881  ,0.112304  ,3.404580  ,8.000000  ,0.098763  
0.360000  ,0.597881  ,0.112304  ,3.404580  ,8.000000  ,0.098763  
0.380000  ,0.665553  ,0.130183  ,3.594780  ,8.000000  ,0.087156  
0.380000  ,0.665553  ,0.130183  ,3.594780  ,8.000000  ,0.087156  
0.400000  ,0.736774  ,0.149514  ,3.784980  ,8.000000  ,0.074012  
