# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.251649 ,-0.004964 ,7.985254  ,8.000000  ,0.000000  ,-0.011922 ,100.000000,-0.164762 ,4.183090  
0.020000  ,-0.101391 ,0.049191  ,7.986623  ,8.000000  ,0.000000  ,-0.008867 ,100.000000,-0.180502 ,3.207637  
0.040000  ,0.048850  ,0.103469  ,7.987865  ,8.000000  ,0.070211  ,0.039292  ,0.000000  ,-0.144669 ,1.881838  
0.060000  ,0.199379  ,0.157014  ,7.988992  ,8.000000  ,0.013529  ,-0.020127 ,0.120000  ,-0.182229 ,0.244898  
0.080000  ,0.350510  ,0.208896  ,7.990014  ,8.000000  ,0.038478  ,-0.029135 ,0.230000  ,-0.188255 ,1.753786  
0.100000  ,0.502376  ,0.258648  ,7.990941  ,8.000000  ,0.079289  ,-0.016929 ,0.350000  ,-0.165580 ,3.947931  
0.120000  ,0.655236  ,0.305312  ,7.991782  ,8.000000  ,0.116493  ,0.023602  ,0.350000  ,-0.105728 ,6.181772  
0.140000  ,0.809234  ,0.348127  ,7.992545  ,8.000000  ,0.149431  ,0.012704  ,0.460000  ,-0.089064 ,8.398559  
0.160000  ,0.964347  ,0.386764  ,7.993237  ,8.000000  ,0.176977  ,0.034850  ,0.580000  ,-0.039186 ,10.365700 
0.180000  ,1.120510  ,0.420966  ,7.993865  ,8.000000  ,0.199217  ,0.000947  ,0.690000  ,-0.047275 ,11.834689 
0.200000  ,1.277650  ,0.450427  ,7.994434  ,8.000000  ,0.215788  ,0.011571  ,0.810000  ,-0.011398 ,-12.724237
0.220000  ,1.435601  ,0.475237  ,7.994951  ,8.000000  ,0.226435  ,-0.030171 ,0.810000  ,-0.031221 ,-13.017433
0.240000  ,1.594215  ,0.495468  ,7.995420  ,8.000000  ,0.232320  ,0.003224  ,0.930000  ,0.000637  ,-12.736519
0.260000  ,1.753346  ,0.511202  ,7.995845  ,8.000000  ,0.233193  ,0.009587  ,1.040000  ,0.021035  ,-12.049973
0.280000  ,1.912851  ,0.522674  ,7.996231  ,8.000000  ,0.229391  ,-0.020681 ,1.160000  ,0.003618  ,-11.120682
0.300000  ,2.072590  ,0.530377  ,7.996581  ,8.000000  ,0.221499  ,-0.010102 ,1.270000  ,0.024997  ,-10.021289
0.320000  ,2.232458  ,0.534923  ,7.996898  ,8.000000  ,0.210198  ,-0.008046 ,1.270000  ,0.034531  ,-8.747455 
