# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.019321 ,0.021842  ,0.000000  ,8.000000  ,0.153484  ,0.002294  ,0.000000  ,0.104120  ,131.495902
0.000000  ,-0.019321 ,0.021842  ,0.000000  ,8.000000  ,0.153484  ,-0.034882 ,0.000000  ,0.104120  ,0.000000  
0.020000  ,-0.017704 ,0.021842  ,0.171180  ,8.000000  ,0.153444  ,-0.001487 ,0.000000  ,0.104120  ,0.000000  
0.040000  ,-0.012379 ,0.021843  ,0.361380  ,8.000000  ,0.153313  ,-0.016790 ,0.000000  ,0.103771  ,0.021375  
0.060000  ,-0.003250 ,0.021914  ,0.551580  ,8.000000  ,0.153018  ,0.027615  ,0.000000  ,0.102235  ,0.269306  
0.080000  ,0.009670  ,0.022504  ,0.741780  ,8.000000  ,0.152112  ,-0.021905 ,0.000000  ,0.100132  ,2.261134  
0.100000  ,0.026381  ,0.023447  ,0.931980  ,8.000000  ,0.150760  ,0.026977  ,0.000000  ,0.096960  ,2.609648  
0.120000  ,0.046882  ,0.024730  ,1.122180  ,8.000000  ,0.148975  ,-0.000160 ,0.000000  ,0.099828  ,2.621036  
0.140000  ,0.071172  ,0.026384  ,1.312380  ,8.000000  ,0.146727  ,-0.043459 ,0.000000  ,0.094536  ,2.533440  
0.160000  ,0.099245  ,0.028457  ,1.502580  ,8.000000  ,0.141112  ,0.011835  ,0.120000  ,0.088606  ,2.401895  
0.180000  ,0.131096  ,0.031007  ,1.692780  ,8.000000  ,0.138870  ,-0.026626 ,0.120000  ,0.082139  ,2.245861  
0.200000  ,0.166720  ,0.034101  ,1.882980  ,8.000000  ,0.136121  ,-0.024955 ,0.120000  ,0.075241  ,2.073692  
0.220000  ,0.206108  ,0.037797  ,2.073180  ,8.000000  ,0.132805  ,-0.039911 ,0.120000  ,0.068131  ,1.876943  
0.240000  ,0.249268  ,0.042015  ,2.263380  ,8.000000  ,0.129005  ,-0.005191 ,0.120000  ,0.063612  ,1.544528  
0.260000  ,0.296192  ,0.046820  ,2.453580  ,8.000000  ,0.120091  ,0.010898  ,0.230000  ,0.056607  ,1.268387  
0.280000  ,0.346871  ,0.052295  ,2.643780  ,8.000000  ,0.117631  ,-0.018259 ,0.230000  ,0.049848  ,1.042688  
0.300000  ,0.401294  ,0.058518  ,2.833980  ,8.000000  ,0.114647  ,-0.001554 ,0.230000  ,0.043305  ,0.847538  
0.320000  ,0.459450  ,0.065563  ,3.024180  ,8.000000  ,0.111064  ,-0.009673 ,0.230000  ,0.035392  ,0.671286  
0.340000  ,0.521341  ,0.073408  ,3.214380  ,8.000000  ,0.106765  ,-0.009747 ,0.350000  ,0.029031  ,0.476572  
0.360000  ,0.586968  ,0.082019  ,3.404580  ,8.000000  ,0.102194  ,0.001978  ,0.350000  ,0.023836  ,0.284329  
0.380000  ,0.656323  ,0.091445  ,3.594780  ,8.000000  ,0.097037  ,0.016892  ,0.350000  ,0.015666  ,0.144953  
0.400000  ,0.729400  ,0.101734  ,3.784980  ,8.000000  ,0.090665  ,-0.008213 ,0.460000  ,0.011075  ,0.035991  
0.420000  ,0.806193  ,0.112910  ,3.975180  ,8.000000  ,0.084975  ,0.009572  ,0.460000  ,0.007059  ,0.056242  
0.440000  ,0.886718  ,0.124853  ,4.165380  ,8.000000  ,0.078786  ,-0.017386 ,0.460000  ,-0.000839 ,0.157130  
0.460000  ,0.970974  ,0.137560  ,4.355580  ,8.000000  ,0.071988  ,0.003373  ,0.580000  ,-0.002850 ,0.202558  
0.480000  ,1.058962  ,0.151037  ,4.545780  ,8.000000  ,0.065393  ,0.009753  ,0.580000  ,-0.010035 ,0.214993  
