# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.220327 ,0.015045  ,7.984475  ,8.000000  ,0.000000  ,0.001526  ,100.000000,-0.143850 ,3.183458  
0.000000  ,-0.220327 ,0.015045  ,7.984475  ,8.000000  ,0.000000  ,-0.003115 ,100.000000,-0.143850 ,22.681617 
0.020000  ,-0.069724 ,0.068187  ,7.985917  ,8.000000  ,0.108386  ,0.007240  ,0.000000  ,-0.153382 ,1.629243  
0.040000  ,0.081144  ,0.120658  ,7.987224  ,8.000000  ,0.052237  ,-0.003347 ,0.000000  ,-0.155993 ,0.172622  
0.060000  ,0.232519  ,0.171720  ,7.988410  ,8.000000  ,0.000857  ,-0.004224 ,0.120000  ,-0.151356 ,2.097446  
0.080000  ,0.384591  ,0.220739  ,7.989486  ,8.000000  ,0.048279  ,-0.006089 ,0.230000  ,-0.125376 ,4.053748  
0.100000  ,0.537527  ,0.267060  ,7.990462  ,8.000000  ,0.085530  ,-0.014370 ,0.350000  ,-0.113474 ,5.939817  
0.120000  ,0.691410  ,0.310198  ,7.991348  ,8.000000  ,0.119973  ,-0.003798 ,0.460000  ,-0.097347 ,7.641345  
0.140000  ,0.846278  ,0.349720  ,7.992151  ,8.000000  ,0.148386  ,-0.005928 ,0.460000  ,-0.078260 ,9.058344  
0.160000  ,1.002151  ,0.385132  ,7.992880  ,8.000000  ,0.172410  ,0.002619  ,0.580000  ,-0.061569 ,10.181792 
0.180000  ,1.158989  ,0.416064  ,7.993541  ,8.000000  ,0.191097  ,0.006755  ,0.690000  ,-0.041072 ,11.050259 
0.200000  ,1.316641  ,0.442613  ,7.994140  ,8.000000  ,0.204533  ,-0.012350 ,0.810000  ,-0.020690 ,-11.577443
0.220000  ,1.474982  ,0.464762  ,7.994684  ,8.000000  ,0.212838  ,-0.008444 ,0.930000  ,-0.001308 ,-11.695124
0.240000  ,1.633891  ,0.482487  ,7.995178  ,8.000000  ,0.215704  ,-0.006957 ,0.930000  ,0.017456  ,-11.481400
0.260000  ,1.793213  ,0.496113  ,7.995626  ,8.000000  ,0.214348  ,-0.001424 ,1.040000  ,0.013511  ,-10.976631
0.280000  ,1.952821  ,0.505994  ,7.996032  ,8.000000  ,0.208876  ,-0.005900 ,1.160000  ,0.026207  ,-10.176479
0.300000  ,2.112608  ,0.512555  ,7.996400  ,8.000000  ,0.199803  ,0.000201  ,1.270000  ,0.036121  ,-9.128173 
0.320000  ,2.272497  ,0.516158  ,7.996734  ,8.000000  ,0.187576  ,0.011063  ,1.390000  ,0.043949  ,-7.924612 
0.340000  ,2.432430  ,0.517243  ,7.997038  ,8.000000  ,0.172799  ,0.006129  ,1.390000  ,0.049975  ,-6.665159 
0.360000  ,2.592371  ,0.516507  ,7.997313  ,8.000000  ,0.156231  ,-0.001670 ,1.500000  ,0.034432  ,-5.344860 
0.380000  ,2.752306  ,0.514428  ,7.997562  ,8.000000  ,0.138400  ,-0.011690 ,1.620000  ,0.035803  ,-3.969447 
0.400000  ,2.912232  ,0.511481  ,7.997788  ,8.000000  ,0.119842  ,-0.009286 ,1.740000  ,0.034787  ,-2.614924 
0.420000  ,3.072155  ,0.508129  ,7.997994  ,8.000000  ,0.101079  ,-0.001588 ,1.850000  ,0.031597  ,-1.336960 
0.440000  ,3.232082  ,0.504811  ,7.998180  ,8.000000  ,0.083086  ,0.003591  ,1.850000  ,0.026362  ,-0.168770 
0.460000  ,3.392021  ,0.501898  ,7.998349  ,8.000000  ,0.065594  ,0.005520  ,1.970000  ,0.013573  ,0.863552  
0.480000  ,3.551971  ,0.499480  ,7.998502  ,8.000000  ,0.049015  ,0.007734  ,2.080000  ,0.009631  ,1.675874  
0.500000  ,3.711933  ,0.497807  ,7.998641  ,8.000000  ,0.033651  ,0.005556  ,2.200000  ,0.005724  ,2.229047  
0.520000  ,3.871906  ,0.497064  ,7.998767  ,8.000000  ,0.019740  ,-0.002627 ,2.310000  ,0.001509  ,2.578918  
0.540000  ,4.031881  ,0.497367  ,7.998882  ,8.000000  ,0.008281  ,-0.001510 ,2.310000  ,-0.003306 ,2.778252  
0.560000  ,4.191854  ,0.498784  ,7.998986  ,8.000000  ,0.001924  ,-0.002203 ,2.430000  ,-0.005042 ,2.868888  
0.580000  ,4.351816  ,0.501183  ,7.999080  ,8.000000  ,0.010429  ,0.017220  ,2.550000  ,-0.008806 ,2.832782  
