# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,-0.229666 ,0.097745  ,7.995540  ,8.000000  ,0.000000  
0.000000  ,-0.229666 ,0.097745  ,7.995540  ,8.000000  ,0.000000  
0.000000  ,-0.229666 ,0.097745  ,7.995540  ,8.000000  ,0.000000  
0.020000  ,-0.077341 ,0.146425  ,7.995954  ,8.000000  ,0.000968  
0.020000  ,-0.077341 ,0.146425  ,7.995954  ,8.000000  ,0.000968  
0.040000  ,0.075580  ,0.193222  ,7.996330  ,8.000000  ,0.028039  
0.040000  ,0.075580  ,0.193222  ,7.996330  ,8.000000  ,0.028039  
0.060000  ,0.229244  ,0.237544  ,7.996670  ,8.000000  ,0.055749  
0.060000  ,0.229244  ,0.237544  ,7.996670  ,8.000000  ,0.055749  
0.080000  ,0.383743  ,0.278880  ,7.996980  ,8.000000  ,0.083300  
0.080000  ,0.383743  ,0.278880  ,7.996980  ,8.000000  ,0.083300  
0.100000  ,0.539178  ,0.316567  ,7.997260  ,8.000000  ,0.110018  
0.100000  ,0.539178  ,0.316567  ,7.997260  ,8.000000  ,0.110018  
0.120000  ,0.695587  ,0.349998  ,7.997514  ,8.000000  ,0.129568  
0.120000  ,0.695587  ,0.349998  ,7.997514  ,8.000000  ,0.129568  
0.140000  ,0.852883  ,0.379003  ,7.997745  ,8.000000  ,0.142827  
0.140000  ,0.852883  ,0.379003  ,7.997745  ,8.000000  ,0.142827  
0.160000  ,1.010975  ,0.403315  ,7.997954  ,8.000000  ,0.151146  
0.160000  ,1.010975  ,0.403315  ,7.997954  ,8.000000  ,0.151146  
0.180000  ,1.169711  ,0.423034  ,7.998144  ,8.000000  ,0.154287  
0.180000  ,1.169711  ,0.423034  ,7.998144  ,8.000000  ,0.154287  
0.200000  ,1.328947  ,0.438227  ,7.998317  ,8.000000  ,0.151753  
0.200000  ,1.328947  ,0.438227  ,7.998317  ,8.000000  ,0.151753  
0.220000  ,1.488522  ,0.449389  ,7.998473  ,8.000000  ,0.144369  
0.220000  ,1.488522  ,0.449389  ,7.998473  ,8.000000  ,0.144369  
0.240000  ,1.648292  ,0.457352  ,7.998615  ,8.000000  ,0.132780  
0.240000  ,1.648292  ,0.457352  ,7.998615  ,8.000000  ,0.132780  
0.260000  ,1.808178  ,0.462588  ,7.998743  ,8.000000  ,0.118293  
0.260000  ,1.808178  ,0.462588  ,7.998743  ,8.000000  ,0.118293  
0.280000  ,1.968123  ,0.465726  ,7.998860  ,8.000000  ,0.101269  
0.280000  ,1.968123  ,0.465726  ,7.998860  ,8.000000  ,0.101269  
0.300000  ,2.128090  ,0.467625  ,7.998966  ,8.000000  ,0.082668  
0.300000  ,2.128090  ,0.467625  ,7.998966  ,8.000000  ,0.082668  
0.320000  ,2.288064  ,0.469062  ,7.999062  ,8.000000  ,0.063347  
0.320000  ,2.288064  ,0.469062  ,7.999062  ,8.000000  ,0.063347  
0.340000  ,2.448033  ,0.471029  ,7.999149  ,8.000000  ,0.044376  
