# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.060000  ,0.016071  ,0.000061  ,0.551580  ,8.000000  ,0.157052  
0.060000  ,0.016071  ,0.000061  ,0.551580  ,8.000000  ,0.157052  
0.080000  ,0.028998  ,0.000488  ,0.741780  ,8.000000  ,0.158106  
0.080000  ,0.028998  ,0.000488  ,0.741780  ,8.000000  ,0.158106  
0.100000  ,0.045725  ,0.001080  ,0.931980  ,8.000000  ,0.159430  
0.100000  ,0.045725  ,0.001080  ,0.931980  ,8.000000  ,0.159430  
0.120000  ,0.066255  ,0.001769  ,1.122180  ,8.000000  ,0.161093  
0.120000  ,0.066255  ,0.001769  ,1.122180  ,8.000000  ,0.161093  
0.140000  ,0.090586  ,0.002602  ,1.312380  ,8.000000  ,0.163047  
0.140000  ,0.090586  ,0.002602  ,1.312380  ,8.000000  ,0.163047  
0.160000  ,0.118718  ,0.003615  ,1.502580  ,8.000000  ,0.167462  
0.160000  ,0.118718  ,0.003615  ,1.502580  ,8.000000  ,0.167462  
0.180000  ,0.150648  ,0.004839  ,1.692780  ,8.000000  ,0.169073  
0.180000  ,0.150648  ,0.004839  ,1.692780  ,8.000000  ,0.169073  
0.200000  ,0.186375  ,0.006306  ,1.882980  ,8.000000  ,0.170778  
0.200000  ,0.186375  ,0.006306  ,1.882980  ,8.000000  ,0.170778  
0.220000  ,0.225898  ,0.008051  ,2.073180  ,8.000000  ,0.172543  
0.220000  ,0.225898  ,0.008051  ,2.073180  ,8.000000  ,0.172543  
0.240000  ,0.269215  ,0.010108  ,2.263380  ,8.000000  ,0.174334  
0.240000  ,0.269215  ,0.010108  ,2.263380  ,8.000000  ,0.174334  
0.260000  ,0.316323  ,0.012514  ,2.453580  ,8.000000  ,0.177340  
0.260000  ,0.316323  ,0.012514  ,2.453580  ,8.000000  ,0.177340  
0.280000  ,0.367220  ,0.015307  ,2.643780  ,8.000000  ,0.178325  
0.280000  ,0.367220  ,0.015307  ,2.643780  ,8.000000  ,0.178325  
0.300000  ,0.421903  ,0.018526  ,2.833980  ,8.000000  ,0.179165  
0.300000  ,0.421903  ,0.018526  ,2.833980  ,8.000000  ,0.179165  
0.320000  ,0.480369  ,0.022213  ,3.024180  ,8.000000  ,0.179819  
0.320000  ,0.480369  ,0.022213  ,3.024180  ,8.000000  ,0.179819  
0.340000  ,0.542613  ,0.026408  ,3.214380  ,8.000000  ,0.179236  
0.340000  ,0.542613  ,0.026408  ,3.214380  ,8.000000  ,0.179236  
0.360000  ,0.608632  ,0.031153  ,3.404580  ,8.000000  ,0.180558  
0.360000  ,0.608632  ,0.031153  ,3.404580  ,8.000000  ,0.180558  
0.380000  ,0.678422  ,0.036489  ,3.594780  ,8.000000  ,0.181635  
0.380000  ,0.678422  ,0.036489  ,3.594780  ,8.000000  ,0.181635  
0.400000  ,0.751978  ,0.042460  ,3.784980  ,8.000000  ,0.182047  
