# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.174846  ,-0.013536 ,0.000000  ,0.115156  ,15.559947 
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.174846  ,-0.008406 ,0.000000  ,0.115156  ,0.000000  
0.020000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.174846  ,0.014453  ,0.000000  ,0.115156  ,0.000000  
0.040000  ,-0.217317 ,-0.003520 ,7.983939  ,8.000000  ,0.000000  ,-0.010040 ,100.000000,-0.245032 ,-151.424861
0.060000  ,-0.070613 ,0.059568  ,7.985430  ,8.000000  ,0.117025  ,0.027529  ,0.000000  ,-0.227342 ,5.294990  
0.080000  ,0.075888  ,0.123196  ,7.986782  ,8.000000  ,0.049829  ,-0.003317 ,0.000000  ,-0.243249 ,3.506277  
0.100000  ,0.222204  ,0.187313  ,7.988010  ,8.000000  ,0.016548  ,0.008597  ,0.120000  ,-0.257110 ,1.653564  
0.120000  ,0.368590  ,0.251330  ,7.989123  ,8.000000  ,0.079765  ,0.007273  ,0.230000  ,-0.238955 ,0.014693  
0.140000  ,0.515505  ,0.314173  ,7.990133  ,8.000000  ,0.133905  ,-0.000640 ,0.350000  ,-0.248088 ,1.662288  
0.160000  ,0.663394  ,0.374737  ,7.991049  ,8.000000  ,0.185288  ,0.000740  ,0.350000  ,-0.247342 ,3.561232  
0.180000  ,0.812671  ,0.431835  ,7.991880  ,8.000000  ,0.232683  ,-0.005381 ,0.460000  ,-0.217103 ,5.877035  
0.200000  ,0.963529  ,0.484660  ,7.992634  ,8.000000  ,0.274639  ,0.030215  ,0.580000  ,-0.197117 ,8.516526  
0.220000  ,1.116072  ,0.532440  ,7.993317  ,8.000000  ,0.310670  ,0.008992  ,0.690000  ,-0.166685 ,11.210220 
0.240000  ,1.270367  ,0.574258  ,7.993938  ,8.000000  ,0.339775  ,-0.002514 ,0.810000  ,-0.126270 ,13.765696 
0.260000  ,1.426316  ,0.609451  ,7.994501  ,8.000000  ,0.360942  ,0.008766  ,0.810000  ,-0.094263 ,-16.029350
0.280000  ,1.583765  ,0.637221  ,7.995011  ,8.000000  ,0.374430  ,0.022587  ,0.930000  ,-0.047701 ,-17.919505
0.300000  ,1.742419  ,0.657050  ,7.995474  ,8.000000  ,0.379417  ,-0.014826 ,1.040000  ,0.003875  ,-19.409367
0.320000  ,1.901870  ,0.668984  ,7.995895  ,8.000000  ,0.376073  ,-0.002289 ,1.160000  ,0.055197  ,-20.340049
0.340000  ,2.061722  ,0.673123  ,7.996276  ,8.000000  ,0.364620  ,-0.005467 ,1.270000  ,0.103164  ,-20.576132
0.360000  ,2.221599  ,0.669599  ,7.996621  ,8.000000  ,0.345288  ,0.006968  ,1.270000  ,0.102248  ,-20.160162
0.380000  ,2.381183  ,0.659173  ,7.996935  ,8.000000  ,0.319110  ,-0.021207 ,1.390000  ,0.137391  ,-19.100350
0.400000  ,2.540262  ,0.642673  ,7.997220  ,8.000000  ,0.286915  ,0.009471  ,1.500000  ,0.165370  ,-17.381988
0.420000  ,2.698719  ,0.620928  ,7.997478  ,8.000000  ,0.249597  ,0.000639  ,1.620000  ,0.186626  ,-15.125690
0.440000  ,2.856575  ,0.595145  ,7.997712  ,8.000000  ,0.208405  ,-0.005235 ,1.740000  ,0.199891  ,-12.445830
0.460000  ,3.013937  ,0.566458  ,7.997924  ,8.000000  ,0.164932  ,-0.002420 ,1.740000  ,0.205227  ,-9.434101 
0.480000  ,3.171030  ,0.536305  ,7.998117  ,8.000000  ,0.120054  ,-0.000346 ,1.850000  ,0.166112  ,-6.169770 
0.500000  ,3.328062  ,0.505818  ,7.998292  ,8.000000  ,0.075141  ,0.017383  ,1.970000  ,0.158768  ,-2.773380 
0.520000  ,3.485281  ,0.476300  ,7.998450  ,8.000000  ,0.031514  ,0.004029  ,2.080000  ,0.142876  ,0.610255  
0.540000  ,3.642911  ,0.449046  ,7.998594  ,8.000000  ,0.008875  ,0.004028  ,2.080000  ,0.117640  ,3.912867  
0.560000  ,3.801063  ,0.424997  ,7.998725  ,8.000000  ,0.045975  ,0.005148  ,2.200000  ,0.078254  ,6.989320  
0.580000  ,3.959753  ,0.404798  ,7.998843  ,8.000000  ,0.078735  ,-0.007996 ,2.310000  ,0.049983  ,9.607648  
0.600000  ,4.118973  ,0.389318  ,7.998951  ,8.000000  ,0.106225  ,0.008165  ,2.430000  ,0.017720  ,11.685878 
0.620000  ,4.278619  ,0.379090  ,7.999048  ,8.000000  ,0.127843  ,0.005686  ,2.550000  ,-0.017176 ,13.244682 
0.640000  ,4.438519  ,0.374237  ,7.999136  ,8.000000  ,0.142414  ,0.022461  ,2.550000  ,-0.051676 ,14.221740 
0.660000  ,4.598494  ,0.374878  ,7.999217  ,8.000000  ,0.151344  ,0.001837  ,2.660000  ,-0.058906 ,14.592929 
0.680000  ,4.758365  ,0.380715  ,7.999289  ,8.000000  ,0.154223  ,0.008382  ,2.780000  ,-0.084522 ,14.373686 
0.700000  ,4.917986  ,0.391445  ,7.999355  ,8.000000  ,0.151303  ,-0.000361 ,2.890000  ,-0.107126 ,13.598115 
0.720000  ,5.077272  ,0.406373  ,7.999415  ,8.000000  ,0.143236  ,0.018121  ,3.010000  ,-0.124825 ,12.317839 
0.740000  ,5.236167  ,0.425015  ,7.999469  ,8.000000  ,0.129280  ,-0.009331 ,3.010000  ,-0.139004 ,10.646894 
0.760000  ,5.394692  ,0.446605  ,7.999519  ,8.000000  ,0.112136  ,-0.002171 ,3.120000  ,-0.116970 ,8.728560  
0.780000  ,5.552953  ,0.470069  ,7.999563  ,8.000000  ,0.092055  ,-0.011793 ,3.240000  ,-0.122670 ,6.568933  
0.800000  ,5.711046  ,0.494642  ,7.999604  ,8.000000  ,0.069782  ,0.004347  ,3.360000  ,-0.124194 ,4.233346  
0.820000  ,5.869115  ,0.519372  ,7.999641  ,8.000000  ,0.046252  ,-0.002841 ,3.470000  ,-0.121050 ,1.832214  
0.840000  ,6.027286  ,0.543449  ,7.999674  ,8.000000  ,0.020822  ,0.015651  ,3.470000  ,-0.114091 ,0.534528  
0.860000  ,6.185651  ,0.566218  ,7.999704  ,8.000000  ,0.003508  ,-0.002763 ,3.590000  ,-0.086807 ,2.725299  
0.880000  ,6.344296  ,0.586938  ,7.999732  ,8.000000  ,0.026986  ,-0.003714 ,3.700000  ,-0.079218 ,4.658427  
0.900000  ,6.503272  ,0.604949  ,7.999757  ,8.000000  ,0.048983  ,0.017220  ,3.820000  ,-0.069668 ,6.331941  
0.920000  ,6.662582  ,0.619706  ,7.999779  ,8.000000  ,0.070148  ,0.005143  ,3.820000  ,-0.058348 ,-7.747286 
0.940000  ,6.822177  ,0.630983  ,7.999800  ,8.000000  ,0.088434  ,0.002654  ,3.940000  ,-0.047340 ,-8.844112 
0.960000  ,6.981995  ,0.638430  ,7.999818  ,8.000000  ,0.104202  ,-0.017468 ,4.050000  ,-0.035286 ,-9.603540 
0.980000  ,7.141952  ,0.641789  ,7.999835  ,8.000000  ,0.117210  ,-0.008469 ,4.170000  ,-0.026394 ,-10.098429
1.000000  ,7.301943  ,0.641050  ,7.999851  ,8.000000  ,0.127465  ,0.023173  ,4.280000  ,-0.017977 ,-10.344864
1.020000  ,7.461865  ,0.636285  ,7.999864  ,8.000000  ,0.136365  ,-0.004933 ,4.280000  ,-0.010841 ,-10.331712
1.040000  ,7.621619  ,0.627534  ,7.999877  ,8.000000  ,0.141810  ,-0.005628 ,4.400000  ,-0.004708 ,-10.098233
1.060000  ,7.781133  ,0.615147  ,7.999888  ,8.000000  ,0.144981  ,-0.009128 ,4.510000  ,-0.008000 ,-9.647422 
1.080000  ,7.940343  ,0.599314  ,7.999899  ,8.000000  ,0.146066  ,-0.010567 ,4.630000  ,-0.006773 ,-8.997594 
1.100000  ,8.099200  ,0.580267  ,7.999908  ,8.000000  ,0.145301  ,0.012292  ,4.750000  ,-0.006899 ,-8.239797 
1.120000  ,8.257677  ,0.558273  ,7.999917  ,8.000000  ,0.144422  ,-0.017293 ,4.750000  ,-0.008011 ,-7.445645 
1.140000  ,8.415762  ,0.533609  ,7.999924  ,8.000000  ,0.141317  ,-0.000027 ,4.860000  ,-0.015308 ,-6.664154 
1.160000  ,8.573454  ,0.506547  ,7.999931  ,8.000000  ,0.137212  ,-0.016927 ,4.980000  ,-0.016642 ,-5.927138 
1.180000  ,8.730763  ,0.477341  ,7.999938  ,8.000000  ,0.132366  ,-0.001511 ,5.090000  ,-0.018308 ,-5.253569 
