# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.020000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.040000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.060000  ,0.000380  ,0.000000  ,0.076080  ,8.000000  ,0.155319  
0.080000  ,0.003804  ,0.000000  ,0.266280  ,8.000000  ,0.155710  
0.100000  ,0.011032  ,0.000005  ,0.456480  ,8.000000  ,0.156531  
0.120000  ,0.022056  ,0.000337  ,0.646680  ,8.000000  ,0.157462  
0.140000  ,0.036855  ,0.001377  ,0.836880  ,8.000000  ,0.158121  
0.160000  ,0.055399  ,0.003253  ,1.027080  ,8.000000  ,0.158377  
0.180000  ,0.077676  ,0.005985  ,1.217280  ,8.000000  ,0.158211  
0.200000  ,0.103675  ,0.009583  ,1.407480  ,8.000000  ,0.157609  
0.220000  ,0.133381  ,0.014128  ,1.597680  ,8.000000  ,0.158290  
0.240000  ,0.166768  ,0.019737  ,1.787880  ,8.000000  ,0.155662  
0.260000  ,0.203823  ,0.026457  ,1.978080  ,8.000000  ,0.152253  
0.280000  ,0.244531  ,0.034336  ,2.168280  ,8.000000  ,0.148014  
0.300000  ,0.288885  ,0.043384  ,2.358480  ,8.000000  ,0.142932  
0.320000  ,0.336847  ,0.053757  ,2.548680  ,8.000000  ,0.137731  
0.340000  ,0.388397  ,0.065524  ,2.738880  ,8.000000  ,0.129814  
0.360000  ,0.443516  ,0.078729  ,2.929080  ,8.000000  ,0.120728  
0.380000  ,0.502205  ,0.093355  ,3.119280  ,8.000000  ,0.108870  
0.400000  ,0.564454  ,0.109413  ,3.309480  ,8.000000  ,0.098580  
0.420000  ,0.630263  ,0.126896  ,3.499680  ,8.000000  ,0.087198  
0.440000  ,0.699649  ,0.145726  ,3.689880  ,8.000000  ,0.074099  
0.460000  ,0.772629  ,0.165834  ,3.880080  ,8.000000  ,0.061330  
0.480000  ,0.849265  ,0.186995  ,4.070280  ,8.000000  ,0.047876  
0.500000  ,0.929590  ,0.209085  ,4.260480  ,8.000000  ,0.033616  
0.520000  ,1.013643  ,0.231967  ,4.450680  ,8.000000  ,0.019558  
0.540000  ,1.101444  ,0.255558  ,4.640880  ,8.000000  ,0.004493  
0.560000  ,1.193079  ,0.279535  ,4.831080  ,8.000000  ,0.009074  
0.580000  ,1.288599  ,0.303675  ,5.021280  ,8.000000  ,0.022886  
0.600000  ,1.388032  ,0.327839  ,5.211480  ,8.000000  ,0.035178  
0.620000  ,1.491403  ,0.351886  ,5.401680  ,8.000000  ,0.047244  
0.640000  ,1.598736  ,0.375665  ,5.591880  ,8.000000  ,0.057749  
0.660000  ,1.710075  ,0.398905  ,5.782080  ,8.000000  ,0.067457  
0.680000  ,1.825407  ,0.421594  ,5.972280  ,8.000000  ,0.075456  
0.700000  ,1.944747  ,0.443481  ,6.159276  ,8.000000  ,0.082211  
0.720000  ,2.067874  ,0.464537  ,6.330167  ,8.000000  ,0.087436  
0.740000  ,2.194467  ,0.484595  ,6.485193  ,8.000000  ,0.090862  
0.760000  ,2.324225  ,0.503489  ,6.625826  ,8.000000  ,0.092749  
0.780000  ,2.456873  ,0.521058  ,6.753403  ,8.000000  ,0.092820  
