# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.271841 ,0.013070  ,7.192093  ,8.000000  ,0.000000  ,-0.047363 ,100.000000,-0.172447 ,12.632684 
0.020000  ,-0.137625 ,0.064826  ,7.192828  ,8.000000  ,0.000000  ,0.028819  ,100.000000,-0.181943 ,5.583240  
0.040000  ,-0.002949 ,0.115410  ,7.193493  ,8.000000  ,0.077818  ,-0.005117 ,0.000000  ,-0.148730 ,11.319085 
0.060000  ,0.132377  ,0.164264  ,7.194097  ,8.000000  ,0.030373  ,0.100340  ,0.120000  ,-0.164387 ,11.018619 
0.080000  ,0.268531  ,0.210794  ,7.194645  ,8.000000  ,0.082097  ,0.060458  ,0.230000  ,-0.157332 ,4.970870  
0.100000  ,0.405602  ,0.254580  ,7.195143  ,8.000000  ,0.138673  ,0.006584  ,0.230000  ,-0.152540 ,10.896620 
0.120000  ,0.543774  ,0.294787  ,7.195594  ,8.000000  ,0.165894  ,-0.099329 ,0.350000  ,-0.125061 ,6.297913  
0.140000  ,0.683091  ,0.330855  ,7.196003  ,8.000000  ,0.134895  ,0.070038  ,0.460000  ,-0.074547 ,25.140825 
0.160000  ,0.823484  ,0.362511  ,7.196374  ,8.000000  ,0.185469  ,0.097945  ,0.460000  ,-0.061753 ,17.885631 
0.180000  ,0.964853  ,0.389511  ,7.196710  ,8.000000  ,0.162692  ,-0.092682 ,0.580000  ,-0.020773 ,8.658971  
0.200000  ,1.107027  ,0.411927  ,7.197016  ,8.000000  ,0.253895  ,-0.112633 ,0.690000  ,-0.041431 ,-28.451111
0.220000  ,1.249853  ,0.429782  ,7.197293  ,8.000000  ,0.166109  ,-0.122960 ,0.690000  ,0.038747  ,59.772697 
0.240000  ,1.393147  ,0.443436  ,7.197544  ,8.000000  ,0.152966  ,0.058156  ,0.810000  ,0.048628  ,-4.904229 
0.260000  ,1.536790  ,0.452817  ,7.197772  ,8.000000  ,0.188467  ,-0.079379 ,0.930000  ,0.043702  ,-22.691263
0.280000  ,1.680629  ,0.458589  ,7.197979  ,8.000000  ,0.179238  ,0.016117  ,1.040000  ,0.061018  ,-9.055198 
0.300000  ,1.824558  ,0.461508  ,7.198167  ,8.000000  ,0.306356  ,0.107120  ,1.160000  ,-0.016405 ,-35.188564
0.320000  ,1.968521  ,0.462031  ,7.198337  ,8.000000  ,0.181923  ,-0.051874 ,1.160000  ,0.038787  ,73.681556 
