# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.094491  ,0.094491  ,0.000000  ,8.000000  ,0.072207  
0.000000  ,-0.017739 ,-0.017739 ,0.000000  ,8.000000  ,0.170869  
0.020000  ,-0.090287 ,-0.091903 ,0.171180  ,8.000000  ,0.000000  
0.020000  ,-0.045977 ,-0.047594 ,0.171180  ,8.000000  ,0.197300  
0.040000  ,-0.110654 ,-0.117595 ,0.361380  ,8.000000  ,0.000000  
0.040000  ,0.032502  ,0.025561  ,0.361380  ,8.000000  ,0.133598  
0.060000  ,0.018889  ,0.002890  ,0.551580  ,8.000000  ,0.154563  
0.060000  ,-0.059505 ,-0.075504 ,0.551580  ,8.000000  ,0.223480  
0.080000  ,0.003751  ,-0.024469 ,0.741780  ,8.000000  ,0.180013  
0.080000  ,0.072706  ,0.044486  ,0.741780  ,8.000000  ,0.119393  
0.100000  ,0.000874  ,-0.042586 ,0.931980  ,8.000000  ,0.197682  
0.100000  ,0.138371  ,0.094911  ,0.931980  ,8.000000  ,0.078267  
0.120000  ,0.007084  ,-0.054478 ,1.122180  ,8.000000  ,0.210206  
0.120000  ,0.021961  ,-0.039601 ,1.122180  ,8.000000  ,0.197127  
0.140000  ,0.212002  ,0.129563  ,1.312380  ,8.000000  ,0.050278  
0.140000  ,0.041966  ,-0.040472 ,1.312380  ,8.000000  ,0.200280  
0.160000  ,0.063856  ,-0.042078 ,1.502580  ,8.000000  ,0.204378  
0.160000  ,0.177695  ,0.071762  ,1.502580  ,8.000000  ,0.104811  
0.180000  ,0.047940  ,-0.084130 ,1.692780  ,8.000000  ,0.244334  
0.180000  ,0.210234  ,0.078165  ,1.692780  ,8.000000  ,0.101317  
0.200000  ,0.123352  ,-0.037605 ,1.882980  ,8.000000  ,0.208930  
0.200000  ,0.169762  ,0.008805  ,1.882980  ,8.000000  ,0.166816  
0.220000  ,0.282279  ,0.090061  ,2.073180  ,8.000000  ,0.095854  
0.220000  ,0.225403  ,0.033185  ,2.073180  ,8.000000  ,0.147465  
0.240000  ,0.321399  ,0.095764  ,2.263380  ,8.000000  ,0.094694  
0.240000  ,0.301522  ,0.075887  ,2.263380  ,8.000000  ,0.113044  
0.260000  ,0.328096  ,0.066787  ,2.453580  ,8.000000  ,0.124088  
0.260000  ,0.271184  ,0.009876  ,2.453580  ,8.000000  ,0.174740  
0.280000  ,0.371043  ,0.071557  ,2.643780  ,8.000000  ,0.122512  
0.280000  ,0.391006  ,0.091520  ,2.643780  ,8.000000  ,0.104083  
0.300000  ,0.428537  ,0.088118  ,2.833980  ,8.000000  ,0.110256  
0.300000  ,0.445079  ,0.104660  ,2.833980  ,8.000000  ,0.094985  
0.320000  ,0.485472  ,0.101363  ,3.024180  ,8.000000  ,0.101264  
0.320000  ,0.517265  ,0.133156  ,3.024180  ,8.000000  ,0.070616  
0.340000  ,0.578366  ,0.147734  ,3.214380  ,8.000000  ,0.061694  
0.340000  ,0.519181  ,0.088549  ,3.214380  ,8.000000  ,0.115211  
0.360000  ,0.601011  ,0.120966  ,3.404580  ,8.000000  ,0.090425  
0.360000  ,0.627229  ,0.147183  ,3.404580  ,8.000000  ,0.066718  
0.380000  ,0.709665  ,0.177216  ,3.594780  ,8.000000  ,0.043758  
0.380000  ,0.657596  ,0.125147  ,3.594780  ,8.000000  ,0.091443  
0.400000  ,0.711868  ,0.123857  ,3.784980  ,8.000000  ,0.097072  
0.400000  ,0.654683  ,0.066672  ,3.784980  ,8.000000  ,0.149405  
0.420000  ,0.852370  ,0.205763  ,3.975180  ,8.000000  ,0.029508  
