# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,37.640000 ,100.000000,0.000000  ,-0.000000 ,0.027395  ,1.717381  
2.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,0.000000  ,0.026982  ,1.686136  
3.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,0.000000  ,0.027232  ,1.704582  
4.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,-0.000000 ,0.026562  ,1.668842  
5.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,0.000000  ,0.026896  ,1.720416  
6.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,0.000000  ,0.027254  ,1.696544  
7.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,0.000000  ,0.026716  ,1.682150  
8.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,0.000000  ,0.026637  ,1.677003  
9.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,-0.000000 ,0.027069  ,1.682668  
10.000000 ,1.000000  ,37.200000 ,100.000000,0.000000  ,-0.000000 ,0.026487  ,1.673891  
11.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.000000  ,0.026969  ,1.750817  
12.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.013109  ,0.026736  ,1.708586  
13.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.015458  ,0.027141  ,1.740258  
14.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.012904  ,0.027248  ,1.661920  
15.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.015926  ,0.027197  ,1.665240  
16.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.013540  ,0.026893  ,1.672415  
17.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.013117  ,0.026254  ,1.685122  
18.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.015142  ,0.026849  ,1.695984  
19.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.014164  ,0.027268  ,1.692296  
20.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.013071  ,0.026953  ,1.693463  
21.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.016729  ,0.026802  ,1.656084  
22.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.026818  ,0.026968  ,1.682879  
23.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.024475  ,0.026581  ,1.643618  
24.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.023840  ,0.026944  ,1.647163  
25.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.028713  ,0.027046  ,1.779829  
26.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.036761  ,0.026732  ,1.664060  
27.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.026527  ,0.027315  ,1.661363  
28.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.027897  ,0.027231  ,1.669184  
29.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.027064  ,0.027070  ,1.660868  
30.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.029832  ,0.027124  ,1.665114  
31.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.027645  ,0.026971  ,1.679712  
32.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.040619  ,0.026934  ,1.644980  
33.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.044198  ,0.026733  ,1.641382  
34.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.044468  ,0.026738  ,1.698003  
35.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.047101  ,0.026820  ,1.666472  
36.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.041256  ,0.026798  ,1.690354  
