# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,37.640000 ,100.000000,0.000000  ,0.000000  ,0.013694  ,1.664746  
2.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,-0.000000 ,0.013491  ,1.667434  
3.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,0.000000  ,0.013616  ,1.656370  
4.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,0.000000  ,0.013281  ,1.633121  
5.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,0.000000  ,0.013448  ,1.652401  
6.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,0.000000  ,0.013627  ,1.643116  
7.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,-0.000000 ,0.013358  ,1.635540  
8.000000  ,1.000000  ,37.200000 ,100.000000,0.000000  ,-0.000000 ,0.013319  ,1.640614  
9.000000  ,1.000000  ,37.220000 ,100.000000,0.000000  ,-0.000000 ,0.013534  ,1.642868  
10.000000 ,1.000000  ,37.200000 ,100.000000,0.000000  ,-0.000000 ,0.013244  ,1.649673  
11.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.000000  ,0.013484  ,1.646202  
12.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.013804  ,0.013470  ,1.642852  
13.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.016016  ,0.013477  ,1.643287  
14.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.013508  ,0.013350  ,1.640044  
15.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.012062  ,0.013660  ,1.646339  
16.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.012148  ,0.013241  ,1.635427  
17.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.014093  ,0.013359  ,1.641923  
18.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.012277  ,0.013437  ,1.669084  
19.000000 ,1.000000  ,37.200000 ,100.000000,0.020000  ,0.016095  ,0.013420  ,1.633166  
20.000000 ,1.000000  ,37.220000 ,100.000000,0.020000  ,0.011817  ,0.013327  ,1.631601  
21.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.014117  ,0.013604  ,1.630516  
22.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.026879  ,0.013305  ,1.629357  
23.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.027641  ,0.013516  ,1.636269  
24.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.024664  ,0.013466  ,1.627084  
25.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.028387  ,0.013403  ,1.630927  
26.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.024867  ,0.013446  ,1.633223  
27.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.029647  ,0.013374  ,1.623366  
28.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.023407  ,0.013373  ,1.628495  
29.000000 ,1.000000  ,37.220000 ,100.000000,0.040000  ,0.030821  ,0.013633  ,1.627661  
30.000000 ,1.000000  ,37.200000 ,100.000000,0.040000  ,0.026307  ,0.013459  ,1.639294  
31.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.027127  ,0.013394  ,1.633896  
32.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.040377  ,0.013668  ,1.642452  
33.000000 ,1.000000  ,37.200000 ,100.000000,0.060000  ,0.044204  ,0.013806  ,1.636843  
34.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.041683  ,0.013750  ,1.649861  
35.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.046940  ,0.013384  ,1.644431  
36.000000 ,1.000000  ,37.200000 ,100.000000,0.060000  ,0.037230  ,0.013742  ,1.636961  
37.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.041838  ,0.013698  ,1.639789  
38.000000 ,1.000000  ,37.200000 ,100.000000,0.060000  ,0.044153  ,0.013629  ,1.661856  
39.000000 ,1.000000  ,37.220000 ,100.000000,0.060000  ,0.038016  ,0.013583  ,1.630976  
40.000000 ,1.000000  ,37.200000 ,100.000000,0.060000  ,0.049193  ,0.013649  ,1.635833  
41.000000 ,1.000000  ,37.220000 ,100.000000,0.080000  ,0.043419  ,0.013616  ,1.639437  
