# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,37.640000 ,100.000000,0.000000  ,0.000000  ,0.013694  ,1.645555  
2.000000  ,1.000000  ,37.240000 ,100.000000,10.000000 ,0.000000  ,0.014478  ,1.648270  
3.000000  ,0.000000  ,14.680000 ,38.210000 ,20.000000 ,0.000000  ,0.011309  ,0.643612  
4.000000  ,0.000000  ,4.180000  ,11.100000 ,30.000000 ,0.000000  ,0.002666  ,0.196235  
5.000000  ,0.000000  ,4.700000  ,11.100000 ,40.000000 ,0.000000  ,0.005682  ,0.216511  
6.000000  ,0.000000  ,4.320000  ,10.240000 ,50.000000 ,0.000000  ,0.008135  ,0.198293  
7.000000  ,0.000000  ,3.100000  ,8.690000  ,60.000000 ,0.000000  ,0.001788  ,0.152606  
8.000000  ,0.000000  ,2.620000  ,7.310000  ,70.000000 ,0.000000  ,0.002026  ,0.121058  
9.000000  ,0.000000  ,2.680000  ,7.230000  ,80.000000 ,0.000000  ,0.003201  ,0.126957  
10.000000 ,0.000000  ,5.380000  ,10.070000 ,90.000000 ,0.000000  ,0.018317  ,0.255038  
