# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,33.900000 ,100.000000,0.000000  ,0.000000  ,0.036788  ,1.387317  
2.000000  ,1.000000  ,33.520000 ,100.000000,10.000000 ,0.000000  ,0.037975  ,1.381984  
3.000000  ,1.000000  ,33.480000 ,100.000000,20.000000 ,0.000000  ,0.037125  ,1.383937  
4.000000  ,0.000000  ,15.140000 ,44.990000 ,30.000000 ,0.000000  ,0.016181  ,0.619889  
5.000000  ,0.000000  ,16.340000 ,43.770000 ,40.000000 ,0.000000  ,0.018963  ,0.667990  
6.000000  ,1.000000  ,33.900000 ,100.000000,50.000000 ,0.000000  ,0.037074  ,1.399940  
7.000000  ,0.000000  ,15.080000 ,44.810000 ,60.000000 ,0.000000  ,0.015766  ,0.614884  
8.000000  ,1.000000  ,33.880000 ,100.000000,70.000000 ,0.000000  ,0.036833  ,1.448739  
9.000000  ,1.000000  ,33.480000 ,100.000000,80.000000 ,0.000000  ,0.037570  ,1.388647  
10.000000 ,0.000000  ,15.080000 ,44.810000 ,90.000000 ,0.000000  ,0.016108  ,0.614860  
