# lap_count, lap_success, laptime, completion, lfd_constant, lookahead dist, aveTrackErr, Computation_time
1.000000  ,0.000000  ,29.440000 ,83.780000 ,0.000000  ,0.573182  ,0.031180  ,1.254730  
2.000000  ,0.000000  ,28.900000 ,83.350000 ,0.050000  ,0.621815  ,0.029101  ,1.227049  
3.000000  ,1.000000  ,33.900000 ,100.000000,0.100000  ,0.900000  ,0.034870  ,1.451668  
4.000000  ,1.000000  ,33.500000 ,100.000000,0.150000  ,0.950000  ,0.037217  ,1.435964  
5.000000  ,1.000000  ,33.520000 ,100.000000,0.200000  ,1.000000  ,0.040268  ,1.432404  
6.000000  ,0.000000  ,28.020000 ,81.780000 ,0.250000  ,0.971663  ,0.037428  ,1.187012  
7.000000  ,0.000000  ,28.400000 ,81.780000 ,0.300000  ,1.021663  ,0.038572  ,1.207803  
8.000000  ,0.000000  ,15.580000 ,44.900000 ,0.350000  ,1.047435  ,0.020390  ,0.656768  
9.000000  ,0.000000  ,16.440000 ,43.680000 ,0.400000  ,1.200000  ,0.024206  ,0.698665  
10.000000 ,0.000000  ,26.560000 ,76.200000 ,0.450000  ,1.176715  ,0.039608  ,1.133292  
11.000000 ,0.000000  ,16.480000 ,43.500000 ,0.500000  ,1.300000  ,0.026870  ,0.699687  
12.000000 ,0.000000  ,16.000000 ,44.730000 ,0.550000  ,1.260532  ,0.025852  ,0.682204  
13.000000 ,0.000000  ,16.000000 ,44.730000 ,0.600000  ,1.310532  ,0.026793  ,0.676191  
14.000000 ,0.000000  ,16.000000 ,44.640000 ,0.650000  ,1.367805  ,0.028649  ,0.677266  
15.000000 ,0.000000  ,15.800000 ,44.640000 ,0.700000  ,1.417805  ,0.030015  ,0.666248  
16.000000 ,0.000000  ,15.760000 ,44.730000 ,0.750000  ,1.460532  ,0.030781  ,0.664258  
17.000000 ,0.000000  ,13.880000 ,39.410000 ,0.800000  ,1.373585  ,0.028898  ,0.583439  
18.000000 ,0.000000  ,14.020000 ,39.670000 ,0.850000  ,1.457620  ,0.031623  ,0.588441  
19.000000 ,0.000000  ,13.980000 ,39.580000 ,0.900000  ,1.495799  ,0.032150  ,0.588958  
20.000000 ,0.000000  ,13.980000 ,39.580000 ,0.950000  ,1.545799  ,0.032609  ,0.586937  
21.000000 ,0.000000  ,13.920000 ,39.410000 ,1.000000  ,1.573585  ,0.033886  ,0.584439  
22.000000 ,0.000000  ,13.860000 ,39.320000 ,1.050000  ,1.613184  ,0.035214  ,0.583458  
23.000000 ,0.000000  ,14.340000 ,39.230000 ,1.100000  ,1.653209  ,0.039672  ,0.601392  
24.000000 ,0.000000  ,4.840000  ,14.470000 ,1.150000  ,1.950000  ,0.009557  ,0.205729  
25.000000 ,0.000000  ,4.200000  ,12.120000 ,1.200000  ,2.000000  ,0.005704  ,0.176390  
26.000000 ,0.000000  ,4.140000  ,12.120000 ,1.250000  ,2.050000  ,0.005352  ,0.175570  
27.000000 ,0.000000  ,4.100000  ,11.940000 ,1.300000  ,2.100000  ,0.005168  ,0.172541  
28.000000 ,0.000000  ,4.080000  ,11.860000 ,1.350000  ,2.150000  ,0.005307  ,0.171543  
29.000000 ,0.000000  ,4.020000  ,11.770000 ,1.400000  ,2.200000  ,0.004692  ,0.172047  
30.000000 ,0.000000  ,4.020000  ,11.770000 ,1.450000  ,2.250000  ,0.004730  ,0.169547  
31.000000 ,0.000000  ,4.160000  ,11.770000 ,1.500000  ,2.300000  ,0.005967  ,0.175530  
32.000000 ,0.000000  ,4.000000  ,11.680000 ,1.550000  ,2.340935  ,0.004677  ,0.171513  
33.000000 ,0.000000  ,4.140000  ,11.770000 ,1.600000  ,2.400000  ,0.005967  ,0.175530  
34.000000 ,0.000000  ,4.000000  ,11.680000 ,1.650000  ,2.440935  ,0.004620  ,0.170135  
35.000000 ,0.000000  ,4.000000  ,11.680000 ,1.700000  ,2.490935  ,0.004313  ,0.169581  
36.000000 ,0.000000  ,4.000000  ,11.680000 ,1.750000  ,2.540935  ,0.004332  ,0.167557  
37.000000 ,0.000000  ,4.140000  ,11.770000 ,1.800000  ,2.600000  ,0.005382  ,0.175603  
38.000000 ,0.000000  ,4.000000  ,11.680000 ,1.850000  ,2.640935  ,0.004357  ,0.168087  
39.000000 ,0.000000  ,4.000000  ,11.680000 ,1.900000  ,2.690935  ,0.003877  ,0.168521  
40.000000 ,0.000000  ,4.000000  ,11.680000 ,1.950000  ,2.740935  ,0.003771  ,0.169547  
41.000000 ,0.000000  ,4.000000  ,11.680000 ,2.000000  ,2.790935  ,0.003955  ,0.169546  
42.000000 ,0.000000  ,4.080000  ,11.680000 ,2.050000  ,2.840935  ,0.004745  ,0.171569  
43.000000 ,0.000000  ,4.080000  ,11.770000 ,2.100000  ,2.900000  ,0.004691  ,0.171803  
44.000000 ,0.000000  ,3.980000  ,11.600000 ,2.150000  ,2.921858  ,0.003770  ,0.167552  
45.000000 ,0.000000  ,4.080000  ,11.680000 ,2.200000  ,2.990935  ,0.004948  ,0.172541  
46.000000 ,0.000000  ,3.980000  ,11.600000 ,2.250000  ,3.021858  ,0.003785  ,0.165767  
47.000000 ,0.000000  ,3.980000  ,11.600000 ,2.300000  ,3.071858  ,0.003808  ,0.166583  
48.000000 ,0.000000  ,3.980000  ,11.680000 ,2.350000  ,3.140935  ,0.003978  ,0.171513  
49.000000 ,0.000000  ,4.140000  ,11.680000 ,2.400000  ,3.190935  ,0.005849  ,0.175531  
50.000000 ,0.000000  ,4.080000  ,11.680000 ,2.450000  ,3.240935  ,0.005198  ,0.173746  
