# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,33.900000 ,100.000000,0.000000  ,0.000000  ,0.018398  ,33.283102 
2.000000  ,0.000000  ,28.580000 ,83.440000 ,10.000000 ,0.000000  ,0.016734  ,27.868616 
3.000000  ,0.000000  ,23.560000 ,67.920000 ,20.000000 ,0.000000  ,0.018680  ,22.757213 
4.000000  ,0.000000  ,6.380000  ,17.260000 ,30.000000 ,0.000000  ,0.007679  ,6.166788  
5.000000  ,0.000000  ,4.560000  ,12.990000 ,40.000000 ,0.000000  ,0.005138  ,4.391246  
6.000000  ,0.000000  ,4.080000  ,11.510000 ,50.000000 ,0.000000  ,0.002529  ,4.339381  
7.000000  ,0.000000  ,2.720000  ,7.590000  ,60.000000 ,0.000000  ,0.001796  ,2.677002  
8.000000  ,0.000000  ,2.700000  ,7.410000  ,70.000000 ,0.000000  ,0.002544  ,2.603037  
9.000000  ,0.000000  ,3.440000  ,7.850000  ,80.000000 ,0.000000  ,0.004863  ,3.370072  
10.000000 ,0.000000  ,3.180000  ,7.410000  ,90.000000 ,0.000000  ,0.004423  ,3.111674  
