# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,33.900000 ,100.000000,0.000000  ,0.301018  ,0.036788  ,1.378315  
2.000000  ,1.000000  ,33.520000 ,100.000000,0.000000  ,0.302856  ,0.036992  ,1.370333  
3.000000  ,1.000000  ,33.500000 ,100.000000,0.000000  ,0.301609  ,0.037397  ,1.365348  
4.000000  ,1.000000  ,33.480000 ,100.000000,0.000000  ,0.304152  ,0.037400  ,1.370333  
5.000000  ,1.000000  ,33.520000 ,100.000000,0.000000  ,0.306768  ,0.037724  ,1.365346  
6.000000  ,1.000000  ,33.540000 ,100.000000,0.000000  ,0.406963  ,0.038814  ,1.355343  
7.000000  ,1.000000  ,33.480000 ,100.000000,0.000000  ,0.299723  ,0.037498  ,1.348394  
8.000000  ,1.000000  ,33.500000 ,100.000000,0.000000  ,0.310934  ,0.037564  ,1.379281  
9.000000  ,1.000000  ,33.520000 ,100.000000,0.000000  ,0.308331  ,0.038029  ,1.378282  
10.000000 ,1.000000  ,33.520000 ,100.000000,0.000000  ,0.356361  ,0.039034  ,1.370353  
11.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.307097  ,0.037659  ,1.372327  
12.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.296010  ,0.037457  ,1.358338  
13.000000 ,1.000000  ,33.520000 ,100.000000,0.020000  ,0.306648  ,0.038004  ,1.349415  
14.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.316751  ,0.036812  ,1.375320  
15.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.303668  ,0.037403  ,1.359391  
16.000000 ,1.000000  ,33.480000 ,100.000000,0.020000  ,0.314198  ,0.037311  ,1.363387  
17.000000 ,1.000000  ,33.520000 ,100.000000,0.020000  ,0.307019  ,0.037642  ,1.360360  
18.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.317184  ,0.037138  ,1.359391  
19.000000 ,1.000000  ,33.500000 ,100.000000,0.020000  ,0.308446  ,0.038064  ,1.362357  
20.000000 ,1.000000  ,33.540000 ,100.000000,0.020000  ,0.385363  ,0.038975  ,1.371331  
21.000000 ,1.000000  ,33.500000 ,100.000000,0.040000  ,0.303132  ,0.037846  ,1.386320  
22.000000 ,1.000000  ,33.500000 ,100.000000,0.040000  ,0.321912  ,0.037901  ,1.358365  
23.000000 ,1.000000  ,33.500000 ,100.000000,0.040000  ,0.304733  ,0.038234  ,1.365346  
24.000000 ,1.000000  ,33.520000 ,100.000000,0.040000  ,0.319904  ,0.038513  ,1.372358  
25.000000 ,1.000000  ,33.500000 ,100.000000,0.040000  ,0.312671  ,0.037255  ,1.369338  
26.000000 ,1.000000  ,33.560000 ,100.000000,0.040000  ,0.396787  ,0.040725  ,1.371333  
27.000000 ,0.000000  ,28.580000 ,83.520000 ,0.040000  ,0.328851  ,0.034004  ,1.159897  
28.000000 ,1.000000  ,33.920000 ,100.000000,0.040000  ,0.316702  ,0.037658  ,1.391279  
29.000000 ,1.000000  ,33.540000 ,100.000000,0.040000  ,0.422377  ,0.040685  ,1.374295  
30.000000 ,1.000000  ,33.500000 ,100.000000,0.040000  ,0.320099  ,0.037640  ,1.372357  
