# lap_count, lap_success, laptime, completion, v_gain, lookahead dist, aveTrackErr, Computation_time
1.000000  ,0.000000  ,0.940000  ,1.570000  ,0.000000  ,0.100000  ,0.003112  ,0.043878  
2.000000  ,0.000000  ,2.480000  ,3.400000  ,0.010000  ,0.180000  ,0.020669  ,0.117481  
3.000000  ,0.000000  ,1.240000  ,2.270000  ,0.020000  ,0.260000  ,0.005410  ,0.056819  
4.000000  ,0.000000  ,1.440000  ,3.140000  ,0.030000  ,0.340000  ,0.003997  ,0.065823  
5.000000  ,0.000000  ,3.280000  ,7.930000  ,0.040000  ,0.420000  ,0.010279  ,0.145609  
6.000000  ,0.000000  ,3.580000  ,10.460000 ,0.050000  ,0.430774  ,0.001615  ,0.153660  
7.000000  ,0.000000  ,4.760000  ,13.780000 ,0.060000  ,0.580000  ,0.007966  ,0.204022  
8.000000  ,0.000000  ,6.840000  ,20.400000 ,0.070000  ,0.631985  ,0.006246  ,0.290195  
9.000000  ,0.000000  ,26.840000 ,74.630000 ,0.080000  ,0.554097  ,0.027037  ,1.135601  
10.000000 ,0.000000  ,24.940000 ,70.180000 ,0.090000  ,0.698939  ,0.036994  ,1.056678  
11.000000 ,1.000000  ,33.900000 ,100.000000,0.100000  ,0.900000  ,0.034870  ,1.437548  
12.000000 ,1.000000  ,33.500000 ,100.000000,0.110000  ,0.980000  ,0.038146  ,1.434035  
13.000000 ,0.000000  ,27.940000 ,81.780000 ,0.120000  ,0.965995  ,0.035792  ,1.170581  
14.000000 ,0.000000  ,15.520000 ,44.730000 ,0.130000  ,1.023691  ,0.019205  ,0.650206  
15.000000 ,0.000000  ,15.520000 ,44.730000 ,0.140000  ,1.094744  ,0.020615  ,0.648982  
16.000000 ,0.000000  ,16.000000 ,44.810000 ,0.150000  ,1.155603  ,0.023308  ,0.669210  
17.000000 ,0.000000  ,15.700000 ,44.900000 ,0.160000  ,1.215896  ,0.024511  ,0.655354  
18.000000 ,0.000000  ,15.540000 ,44.730000 ,0.170000  ,1.307904  ,0.024896  ,0.649840  
19.000000 ,0.000000  ,15.540000 ,44.730000 ,0.180000  ,1.378957  ,0.026591  ,0.649263  
20.000000 ,0.000000  ,15.760000 ,44.810000 ,0.190000  ,1.437097  ,0.030062  ,0.658746  
21.000000 ,0.000000  ,16.040000 ,44.550000 ,0.200000  ,1.551089  ,0.031088  ,0.679262  
22.000000 ,0.000000  ,15.920000 ,44.550000 ,0.210000  ,1.623643  ,0.034361  ,0.668609  
23.000000 ,0.000000  ,15.860000 ,44.640000 ,0.220000  ,1.679171  ,0.034966  ,0.667213  
24.000000 ,0.000000  ,4.860000  ,14.470000 ,0.230000  ,1.940000  ,0.009409  ,0.204453  
25.000000 ,0.000000  ,14.480000 ,39.670000 ,0.240000  ,1.558287  ,0.038578  ,0.608917  
26.000000 ,0.000000  ,14.500000 ,39.760000 ,0.250000  ,1.649914  ,0.040146  ,0.611775  
27.000000 ,0.000000  ,4.200000  ,12.120000 ,0.260000  ,2.180000  ,0.005579  ,0.176528  
28.000000 ,0.000000  ,4.140000  ,12.120000 ,0.270000  ,2.260000  ,0.005132  ,0.173565  
29.000000 ,0.000000  ,4.140000  ,12.030000 ,0.280000  ,2.340000  ,0.005315  ,0.174042  
30.000000 ,0.000000  ,4.040000  ,11.770000 ,0.290000  ,2.420000  ,0.004784  ,0.168527  
31.000000 ,0.000000  ,4.020000  ,11.770000 ,0.300000  ,2.500000  ,0.004571  ,0.169547  
32.000000 ,0.000000  ,4.140000  ,11.770000 ,0.310000  ,2.580000  ,0.005933  ,0.173047  
33.000000 ,0.000000  ,4.000000  ,11.680000 ,0.320000  ,2.630991  ,0.004645  ,0.167538  
34.000000 ,0.000000  ,4.140000  ,11.680000 ,0.330000  ,2.710084  ,0.005951  ,0.174042  
35.000000 ,0.000000  ,4.000000  ,11.680000 ,0.340000  ,2.789178  ,0.004120  ,0.167552  
36.000000 ,0.000000  ,4.140000  ,11.680000 ,0.350000  ,2.868271  ,0.005992  ,0.172538  
37.000000 ,0.000000  ,4.140000  ,11.680000 ,0.360000  ,2.947365  ,0.005483  ,0.174533  
38.000000 ,0.000000  ,4.140000  ,11.680000 ,0.370000  ,3.026458  ,0.005501  ,0.173536  
39.000000 ,0.000000  ,4.140000  ,11.770000 ,0.380000  ,3.140000  ,0.005456  ,0.172055  
40.000000 ,0.000000  ,4.140000  ,11.770000 ,0.390000  ,3.220000  ,0.005428  ,0.173540  
41.000000 ,0.000000  ,3.980000  ,11.680000 ,0.400000  ,3.263738  ,0.004001  ,0.168551  
42.000000 ,0.000000  ,3.980000  ,11.680000 ,0.410000  ,3.342832  ,0.004122  ,0.167554  
43.000000 ,0.000000  ,3.980000  ,11.600000 ,0.420000  ,3.341803  ,0.004174  ,0.165658  
44.000000 ,0.000000  ,4.140000  ,11.680000 ,0.430000  ,3.501019  ,0.005941  ,0.172538  
45.000000 ,0.000000  ,4.080000  ,11.680000 ,0.440000  ,3.580112  ,0.005455  ,0.171543  
46.000000 ,0.000000  ,4.080000  ,11.680000 ,0.450000  ,3.659206  ,0.005182  ,0.169546  
47.000000 ,0.000000  ,3.960000  ,11.600000 ,0.460000  ,3.650547  ,0.004357  ,0.166555  
48.000000 ,0.000000  ,3.960000  ,11.600000 ,0.470000  ,3.727732  ,0.004636  ,0.165560  
49.000000 ,0.000000  ,3.960000  ,11.600000 ,0.480000  ,3.804918  ,0.004499  ,0.165559  
50.000000 ,0.000000  ,3.960000  ,11.600000 ,0.490000  ,3.882104  ,0.004525  ,0.167554  
