# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,32.640000 ,100.000000,0.000000  ,-0.000000 ,0.012583  ,1.431810  
2.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,-0.000000 ,0.011919  ,1.410692  
3.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,-0.000000 ,0.011913  ,1.447330  
4.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011836  ,1.425090  
5.000000  ,1.000000  ,32.240000 ,100.000000,0.000000  ,-0.000000 ,0.012084  ,1.424245  
6.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,-0.000000 ,0.011893  ,1.426835  
7.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,0.000000  ,0.011847  ,1.429293  
8.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011882  ,1.436219  
9.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011748  ,1.421236  
10.000000 ,1.000000  ,32.240000 ,100.000000,0.000000  ,0.000000  ,0.011789  ,1.416155  
11.000000 ,1.000000  ,32.200000 ,100.000000,0.020000  ,0.000000  ,0.011732  ,1.417594  
12.000000 ,1.000000  ,32.240000 ,100.000000,0.020000  ,0.012844  ,0.011897  ,1.409837  
13.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.012742  ,0.011886  ,1.408612  
14.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.014669  ,0.011852  ,1.389344  
15.000000 ,1.000000  ,32.200000 ,100.000000,0.020000  ,0.013544  ,0.012033  ,1.410435  
16.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.013260  ,0.011709  ,1.424660  
17.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.015628  ,0.011717  ,1.404543  
18.000000 ,1.000000  ,32.240000 ,100.000000,0.020000  ,0.013741  ,0.011903  ,1.407067  
19.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.014119  ,0.011877  ,1.412441  
20.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.011857  ,0.011874  ,1.409368  
21.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.012581  ,0.011583  ,1.415328  
22.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.028568  ,0.011806  ,1.443888  
23.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.027099  ,0.011949  ,1.415018  
24.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.025974  ,0.011913  ,1.436519  
25.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.026376  ,0.012001  ,1.410014  
26.000000 ,1.000000  ,32.200000 ,100.000000,0.040000  ,0.025967  ,0.012032  ,1.401097  
27.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.025969  ,0.011635  ,1.415902  
28.000000 ,1.000000  ,32.240000 ,100.000000,0.040000  ,0.037590  ,0.011768  ,1.409797  
29.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.024544  ,0.011941  ,1.416534  
30.000000 ,1.000000  ,32.220000 ,100.000000,0.040000  ,0.029098  ,0.011887  ,1.415782  
31.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.025826  ,0.011810  ,1.391794  
32.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.037962  ,0.011965  ,1.407406  
33.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.039356  ,0.011617  ,1.425030  
34.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.040886  ,0.011778  ,1.410504  
35.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.036881  ,0.011756  ,1.409587  
36.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.038044  ,0.011770  ,1.415381  
37.000000 ,1.000000  ,32.240000 ,100.000000,0.060000  ,0.038363  ,0.011764  ,1.412168  
38.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.042593  ,0.011785  ,1.406195  
39.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.047323  ,0.011934  ,1.405432  
40.000000 ,1.000000  ,32.220000 ,100.000000,0.060000  ,0.043047  ,0.011778  ,1.413379  
41.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.037097  ,0.011842  ,1.407287  
42.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.051594  ,0.011953  ,1.414474  
43.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.061214  ,0.011798  ,1.413461  
44.000000 ,1.000000  ,32.240000 ,100.000000,0.080000  ,0.055810  ,0.011889  ,1.427243  
45.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.049482  ,0.011927  ,1.414240  
46.000000 ,1.000000  ,32.240000 ,100.000000,0.080000  ,0.047691  ,0.011904  ,1.430982  
47.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.055029  ,0.011934  ,1.420814  
48.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.051577  ,0.011859  ,1.400289  
49.000000 ,1.000000  ,32.240000 ,100.000000,0.080000  ,0.050677  ,0.011938  ,1.407428  
50.000000 ,1.000000  ,32.220000 ,100.000000,0.080000  ,0.056919  ,0.011836  ,1.407520  
51.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.056406  ,0.011908  ,1.401933  
52.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.073358  ,0.011717  ,1.404857  
53.000000 ,1.000000  ,32.240000 ,100.000000,0.100000  ,0.054757  ,0.011985  ,1.402158  
54.000000 ,1.000000  ,32.240000 ,100.000000,0.100000  ,0.060048  ,0.011819  ,1.413322  
55.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.056652  ,0.011779  ,1.394044  
56.000000 ,1.000000  ,32.240000 ,100.000000,0.100000  ,0.064345  ,0.011951  ,1.409491  
57.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.075797  ,0.011966  ,1.400054  
58.000000 ,1.000000  ,32.240000 ,100.000000,0.100000  ,0.069905  ,0.011931  ,1.389384  
59.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.074444  ,0.011909  ,1.404185  
60.000000 ,1.000000  ,32.220000 ,100.000000,0.100000  ,0.063896  ,0.011512  ,1.409381  
61.000000 ,1.000000  ,32.220000 ,100.000000,0.120000  ,0.064589  ,0.011689  ,1.409210  
62.000000 ,1.000000  ,32.240000 ,100.000000,0.120000  ,0.089778  ,0.011669  ,1.407578  
63.000000 ,1.000000  ,32.220000 ,100.000000,0.120000  ,0.072708  ,0.011487  ,1.412039  
64.000000 ,1.000000  ,32.240000 ,100.000000,0.120000  ,0.070197  ,0.011775  ,1.418438  
