# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,29.200000 ,100.000000,0.000000  ,0.192177  ,0.033320  ,1.257540  
2.000000  ,1.000000  ,28.800000 ,100.000000,0.000000  ,0.196237  ,0.031001  ,1.217815  
3.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.190645  ,0.031363  ,1.212484  
4.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.190626  ,0.031037  ,1.212633  
5.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.195032  ,0.031164  ,1.209843  
6.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.192650  ,0.031302  ,1.209599  
7.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.186129  ,0.031153  ,1.209080  
8.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.187572  ,0.030863  ,1.209034  
9.000000  ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.193210  ,0.030736  ,1.208768  
10.000000 ,1.000000  ,28.780000 ,100.000000,0.000000  ,0.192737  ,0.031304  ,1.216530  
11.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.190656  ,0.031239  ,1.220435  
12.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.190687  ,0.031110  ,1.220469  
13.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.189991  ,0.031160  ,1.221077  
14.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.192887  ,0.030911  ,1.222688  
15.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.191329  ,0.030808  ,1.222173  
16.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.184514  ,0.030864  ,1.216583  
17.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.191357  ,0.031157  ,1.217755  
18.000000 ,1.000000  ,28.780000 ,100.000000,0.020000  ,0.188684  ,0.031147  ,1.217166  
