# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,29.200000 ,100.000000,0.000000  ,0.000000  ,0.033320  ,1.213728  
2.000000  ,1.000000  ,28.800000 ,100.000000,10.000000 ,0.000000  ,0.031330  ,1.189844  
3.000000  ,0.000000  ,18.040000 ,60.760000 ,20.000000 ,0.000000  ,0.027500  ,0.743013  
4.000000  ,0.000000  ,3.660000  ,11.680000 ,30.000000 ,0.000000  ,0.010786  ,0.150218  
5.000000  ,0.000000  ,2.900000  ,9.120000  ,40.000000 ,0.000000  ,0.007795  ,0.119679  
6.000000  ,0.000000  ,2.200000  ,6.970000  ,50.000000 ,0.000000  ,0.005285  ,0.090785  
7.000000  ,0.000000  ,1.360000  ,3.590000  ,60.000000 ,0.000000  ,0.002796  ,0.056848  
8.000000  ,0.000000  ,1.300000  ,3.380000  ,70.000000 ,0.000000  ,0.003082  ,0.053856  
9.000000  ,0.000000  ,1.300000  ,3.380000  ,80.000000 ,0.000000  ,0.003384  ,0.053828  
10.000000 ,0.000000  ,1.320000  ,3.380000  ,90.000000 ,0.000000  ,0.004106  ,0.054826  
