# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,32.640000 ,100.000000,0.000000  ,0.000000  ,0.025203  ,1.374224  
2.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,-0.000000 ,0.023837  ,1.356212  
3.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,0.000000  ,0.023826  ,1.353580  
4.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.023672  ,1.353400  
5.000000  ,1.000000  ,32.240000 ,100.000000,0.000000  ,0.000000  ,0.024168  ,1.381324  
6.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,-0.000000 ,0.023786  ,1.361879  
7.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,0.000000  ,0.023694  ,1.368178  
8.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.023765  ,1.373326  
9.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,-0.000000 ,0.023496  ,1.373710  
10.000000 ,1.000000  ,32.240000 ,100.000000,0.000000  ,0.000000  ,0.023579  ,1.375204  
11.000000 ,1.000000  ,32.200000 ,100.000000,0.020000  ,0.000000  ,0.023464  ,1.356495  
12.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.014488  ,0.023950  ,1.368476  
13.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.015058  ,0.023727  ,1.373606  
14.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.013471  ,0.023689  ,1.356263  
15.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.013567  ,0.023640  ,1.358885  
16.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.015301  ,0.023805  ,1.369881  
17.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.013512  ,0.023708  ,1.375961  
18.000000 ,1.000000  ,32.200000 ,100.000000,0.020000  ,0.013466  ,0.023986  ,1.370349  
19.000000 ,1.000000  ,32.220000 ,100.000000,0.020000  ,0.013382  ,0.023554  ,1.369817  
