# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,28.980000 ,100.000000,0.000000  ,0.000000  ,0.015412  ,1.248480  
2.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.014990  ,1.249632  
3.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,0.000000  ,0.015263  ,1.245772  
4.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,0.000000  ,0.015188  ,1.234533  
5.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,-0.000000 ,0.014614  ,1.245500  
6.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.014731  ,1.255129  
7.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.015137  ,1.227052  
8.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,0.000000  ,0.014882  ,1.240284  
9.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,-0.000000 ,0.015176  ,1.229815  
10.000000 ,1.000000  ,28.560000 ,100.000000,0.000000  ,0.000000  ,0.015035  ,1.236326  
11.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,-0.000000 ,0.014882  ,1.222006  
12.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.012602  ,0.015106  ,1.224968  
13.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.013310  ,0.015058  ,1.238762  
14.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.012712  ,0.015205  ,1.229671  
15.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.012283  ,0.015065  ,1.227930  
16.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.012546  ,0.014918  ,1.223104  
17.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.015205  ,0.015133  ,1.223056  
18.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.012830  ,0.015133  ,1.242479  
