# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,28.980000 ,100.000000,0.000000  ,0.000000  ,0.015412  ,1.259093  
2.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.014990  ,1.251900  
3.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,0.000000  ,0.015263  ,1.261480  
4.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,0.000000  ,0.015188  ,1.241411  
5.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,0.000000  ,0.014614  ,1.246971  
6.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,0.000000  ,0.014731  ,1.245956  
7.000000  ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.015137  ,1.236575  
8.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,0.000000  ,0.014882  ,1.241654  
9.000000  ,1.000000  ,28.580000 ,100.000000,0.000000  ,-0.000000 ,0.015176  ,1.254041  
10.000000 ,1.000000  ,28.560000 ,100.000000,0.000000  ,-0.000000 ,0.015035  ,1.237449  
11.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.000000  ,0.014882  ,1.237631  
12.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.014669  ,0.015193  ,1.240119  
13.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.014226  ,0.014893  ,1.246953  
14.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.013551  ,0.015115  ,1.245017  
15.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.013233  ,0.014978  ,1.249189  
16.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.011756  ,0.015134  ,1.250505  
17.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.013073  ,0.014948  ,1.256372  
18.000000 ,1.000000  ,28.580000 ,100.000000,0.020000  ,0.014230  ,0.014907  ,1.255607  
19.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.014753  ,0.014955  ,1.243019  
20.000000 ,1.000000  ,28.560000 ,100.000000,0.020000  ,0.014399  ,0.015178  ,1.258941  
21.000000 ,1.000000  ,28.560000 ,100.000000,0.040000  ,0.011048  ,0.015197  ,1.229317  
22.000000 ,1.000000  ,28.580000 ,100.000000,0.040000  ,0.025327  ,0.014543  ,1.227424  
23.000000 ,1.000000  ,28.560000 ,100.000000,0.040000  ,0.029006  ,0.015027  ,1.236075  
24.000000 ,1.000000  ,28.560000 ,100.000000,0.040000  ,0.026530  ,0.014911  ,1.250510  
25.000000 ,1.000000  ,28.580000 ,100.000000,0.040000  ,0.024640  ,0.015219  ,1.233940  
26.000000 ,1.000000  ,28.580000 ,100.000000,0.040000  ,0.026830  ,0.015041  ,1.240090  
27.000000 ,1.000000  ,28.560000 ,100.000000,0.040000  ,0.026833  ,0.015118  ,1.231745  
28.000000 ,1.000000  ,28.560000 ,100.000000,0.040000  ,0.025572  ,0.014734  ,1.233325  
29.000000 ,1.000000  ,28.580000 ,100.000000,0.040000  ,0.028369  ,0.015035  ,1.236324  
30.000000 ,1.000000  ,28.580000 ,100.000000,0.040000  ,0.025390  ,0.015112  ,1.246272  
31.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.024414  ,0.014874  ,1.231016  
32.000000 ,1.000000  ,28.580000 ,100.000000,0.060000  ,0.036555  ,0.015162  ,1.227298  
33.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.040226  ,0.015265  ,1.242764  
34.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.042162  ,0.015094  ,1.229602  
35.000000 ,1.000000  ,28.580000 ,100.000000,0.060000  ,0.041070  ,0.015086  ,1.241391  
36.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.042965  ,0.014902  ,1.231467  
37.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.033470  ,0.014800  ,1.249923  
38.000000 ,1.000000  ,28.580000 ,100.000000,0.060000  ,0.044468  ,0.015363  ,1.239939  
39.000000 ,1.000000  ,28.580000 ,100.000000,0.060000  ,0.043672  ,0.014425  ,1.234155  
40.000000 ,1.000000  ,28.560000 ,100.000000,0.060000  ,0.033337  ,0.014696  ,1.227976  
41.000000 ,1.000000  ,28.560000 ,100.000000,0.080000  ,0.034239  ,0.015257  ,1.242974  
42.000000 ,1.000000  ,28.560000 ,100.000000,0.080000  ,0.048915  ,0.015334  ,1.253589  
43.000000 ,1.000000  ,28.580000 ,100.000000,0.080000  ,0.051995  ,0.015584  ,1.237386  
44.000000 ,1.000000  ,28.560000 ,100.000000,0.080000  ,0.065200  ,0.014976  ,1.245575  
45.000000 ,1.000000  ,28.580000 ,100.000000,0.080000  ,0.051879  ,0.015289  ,1.252215  
46.000000 ,1.000000  ,28.580000 ,100.000000,0.080000  ,0.061614  ,0.015244  ,1.234188  
47.000000 ,1.000000  ,28.580000 ,100.000000,0.080000  ,0.053224  ,0.014823  ,1.230475  
48.000000 ,1.000000  ,28.560000 ,100.000000,0.080000  ,0.050737  ,0.015462  ,1.238954  
49.000000 ,1.000000  ,28.560000 ,100.000000,0.080000  ,0.057997  ,0.015287  ,1.240634  
50.000000 ,1.000000  ,28.580000 ,100.000000,0.080000  ,0.057067  ,0.015160  ,1.241700  
51.000000 ,1.000000  ,28.560000 ,100.000000,0.100000  ,0.059096  ,0.015041  ,1.248347  
52.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.060023  ,0.014911  ,1.251199  
53.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.074250  ,0.015827  ,1.241088  
54.000000 ,1.000000  ,28.560000 ,100.000000,0.100000  ,0.063456  ,0.014887  ,1.246011  
55.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.065454  ,0.015671  ,1.237290  
56.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.062223  ,0.015419  ,1.245908  
57.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.078711  ,0.015078  ,1.252130  
58.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.059609  ,0.015282  ,1.236633  
59.000000 ,1.000000  ,28.580000 ,100.000000,0.100000  ,0.061734  ,0.015230  ,1.222713  
60.000000 ,1.000000  ,28.560000 ,100.000000,0.100000  ,0.060571  ,0.014615  ,1.271084  
61.000000 ,1.000000  ,28.560000 ,100.000000,0.120000  ,0.066265  ,0.015259  ,1.242296  
62.000000 ,1.000000  ,28.560000 ,100.000000,0.120000  ,0.075200  ,0.015479  ,1.222031  
63.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.067303  ,0.015628  ,1.230387  
64.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.089170  ,0.015116  ,1.222369  
65.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.087639  ,0.015281  ,1.241385  
66.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.084910  ,0.015284  ,1.232892  
67.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.080635  ,0.015444  ,1.231920  
68.000000 ,1.000000  ,28.560000 ,100.000000,0.120000  ,0.076854  ,0.015162  ,1.241951  
69.000000 ,1.000000  ,28.600000 ,100.000000,0.120000  ,0.084066  ,0.015399  ,1.242646  
70.000000 ,1.000000  ,28.580000 ,100.000000,0.120000  ,0.070537  ,0.015454  ,1.227549  
71.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.076158  ,0.015594  ,1.235373  
72.000000 ,1.000000  ,28.580000 ,100.000000,0.140000  ,0.097740  ,0.015593  ,1.229478  
73.000000 ,1.000000  ,28.600000 ,100.000000,0.140000  ,0.088595  ,0.015670  ,1.232188  
74.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.088045  ,0.015561  ,1.228925  
75.000000 ,1.000000  ,28.580000 ,100.000000,0.140000  ,0.096453  ,0.016270  ,1.229027  
76.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.092326  ,0.015113  ,1.240663  
77.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.092529  ,0.015439  ,1.260181  
78.000000 ,1.000000  ,28.600000 ,100.000000,0.140000  ,0.109854  ,0.015523  ,1.244349  
79.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.105090  ,0.015464  ,1.229817  
80.000000 ,1.000000  ,28.560000 ,100.000000,0.140000  ,0.085231  ,0.015205  ,1.249834  
81.000000 ,1.000000  ,28.580000 ,100.000000,0.160000  ,0.091276  ,0.015438  ,1.252338  
82.000000 ,1.000000  ,28.560000 ,100.000000,0.160000  ,0.091604  ,0.015336  ,1.245020  
83.000000 ,1.000000  ,28.580000 ,100.000000,0.160000  ,0.107211  ,0.015797  ,1.243143  
84.000000 ,1.000000  ,28.580000 ,100.000000,0.160000  ,0.115469  ,0.015930  ,1.233224  
85.000000 ,1.000000  ,28.580000 ,100.000000,0.160000  ,0.103852  ,0.016002  ,1.237836  
86.000000 ,1.000000  ,28.580000 ,100.000000,0.160000  ,0.099752  ,0.015114  ,1.237187  
87.000000 ,1.000000  ,28.560000 ,100.000000,0.160000  ,0.157170  ,0.015513  ,1.238419  
88.000000 ,1.000000  ,28.540000 ,100.000000,0.160000  ,0.104878  ,0.015553  ,1.245990  
89.000000 ,1.000000  ,28.600000 ,100.000000,0.160000  ,0.121784  ,0.016095  ,1.250806  
90.000000 ,1.000000  ,28.560000 ,100.000000,0.160000  ,0.113134  ,0.015011  ,1.239161  
91.000000 ,1.000000  ,28.600000 ,100.000000,0.180000  ,0.099446  ,0.015334  ,1.243851  
92.000000 ,1.000000  ,28.560000 ,100.000000,0.180000  ,0.116437  ,0.015528  ,1.250078  
93.000000 ,1.000000  ,28.580000 ,100.000000,0.180000  ,0.123958  ,0.015812  ,1.241635  
94.000000 ,1.000000  ,28.560000 ,100.000000,0.180000  ,0.140507  ,0.015437  ,1.253121  
95.000000 ,1.000000  ,28.580000 ,100.000000,0.180000  ,0.126416  ,0.015421  ,1.244156  
96.000000 ,1.000000  ,28.560000 ,100.000000,0.180000  ,0.134652  ,0.015497  ,1.244157  
97.000000 ,1.000000  ,28.580000 ,100.000000,0.180000  ,0.121987  ,0.016695  ,1.257633  
98.000000 ,1.000000  ,28.560000 ,100.000000,0.180000  ,0.115204  ,0.015538  ,1.245907  
99.000000 ,1.000000  ,28.600000 ,100.000000,0.180000  ,0.139307  ,0.016165  ,1.244361  
100.000000,1.000000  ,28.600000 ,100.000000,0.180000  ,0.125643  ,0.016777  ,1.235149  
101.000000,1.000000  ,28.580000 ,100.000000,0.200000  ,0.141342  ,0.016046  ,1.236881  
102.000000,1.000000  ,28.580000 ,100.000000,0.200000  ,0.110605  ,0.016804  ,1.257549  
103.000000,1.000000  ,28.600000 ,100.000000,0.200000  ,0.124289  ,0.016215  ,1.236028  
104.000000,1.000000  ,28.600000 ,100.000000,0.200000  ,0.120384  ,0.015919  ,1.238244  
105.000000,1.000000  ,28.580000 ,100.000000,0.200000  ,0.139276  ,0.016790  ,1.240950  
106.000000,1.000000  ,28.600000 ,100.000000,0.200000  ,0.139821  ,0.016486  ,1.243251  
107.000000,1.000000  ,28.600000 ,100.000000,0.200000  ,0.130758  ,0.017413  ,1.271769  
108.000000,1.000000  ,28.580000 ,100.000000,0.200000  ,0.128393  ,0.016173  ,1.242958  
109.000000,1.000000  ,28.600000 ,100.000000,0.200000  ,0.122830  ,0.016029  ,1.258759  
110.000000,1.000000  ,28.580000 ,100.000000,0.200000  ,0.111307  ,0.016293  ,1.252033  
111.000000,1.000000  ,28.580000 ,100.000000,0.220000  ,0.142686  ,0.016795  ,1.277358  
112.000000,1.000000  ,28.580000 ,100.000000,0.220000  ,0.160965  ,0.016274  ,1.247160  
113.000000,1.000000  ,28.620000 ,100.000000,0.220000  ,0.159603  ,0.017097  ,1.249269  
114.000000,1.000000  ,28.580000 ,100.000000,0.220000  ,0.144506  ,0.015584  ,1.242879  
115.000000,1.000000  ,28.600000 ,100.000000,0.220000  ,0.151859  ,0.015658  ,1.236990  
116.000000,1.000000  ,28.580000 ,100.000000,0.220000  ,0.143344  ,0.016574  ,1.237067  
117.000000,1.000000  ,28.560000 ,100.000000,0.220000  ,0.153256  ,0.015770  ,1.238633  
118.000000,1.000000  ,28.620000 ,100.000000,0.220000  ,0.153506  ,0.016364  ,1.249360  
119.000000,1.000000  ,28.540000 ,100.000000,0.220000  ,0.149627  ,0.016525  ,1.237701  
120.000000,1.000000  ,28.580000 ,100.000000,0.220000  ,0.155122  ,0.016063  ,1.246542  
121.000000,1.000000  ,28.600000 ,100.000000,0.240000  ,0.132972  ,0.016914  ,1.250826  
122.000000,1.000000  ,28.600000 ,100.000000,0.240000  ,0.163375  ,0.017257  ,1.253870  
123.000000,1.000000  ,28.600000 ,100.000000,0.240000  ,0.141513  ,0.016917  ,1.249013  
124.000000,1.000000  ,28.620000 ,100.000000,0.240000  ,0.142012  ,0.017773  ,1.238840  
125.000000,1.000000  ,28.580000 ,100.000000,0.240000  ,0.159145  ,0.016831  ,1.248490  
126.000000,1.000000  ,28.560000 ,100.000000,0.240000  ,0.155216  ,0.016173  ,1.241070  
127.000000,1.000000  ,28.620000 ,100.000000,0.240000  ,0.162951  ,0.017273  ,1.256176  
128.000000,1.000000  ,28.600000 ,100.000000,0.240000  ,0.174160  ,0.016976  ,1.261181  
129.000000,1.000000  ,28.620000 ,100.000000,0.240000  ,0.156951  ,0.016624  ,1.258288  
130.000000,1.000000  ,28.580000 ,100.000000,0.240000  ,0.241432  ,0.017065  ,1.236368  
131.000000,1.000000  ,28.600000 ,100.000000,0.260000  ,0.160575  ,0.016815  ,1.240980  
132.000000,1.000000  ,28.600000 ,100.000000,0.260000  ,0.160447  ,0.017055  ,1.232344  
133.000000,1.000000  ,28.620000 ,100.000000,0.260000  ,0.200952  ,0.017476  ,1.249582  
134.000000,1.000000  ,28.620000 ,100.000000,0.260000  ,0.161257  ,0.017272  ,1.244831  
135.000000,1.000000  ,28.580000 ,100.000000,0.260000  ,0.186259  ,0.017679  ,1.244930  
136.000000,1.000000  ,28.580000 ,100.000000,0.260000  ,0.170466  ,0.017116  ,1.243336  
137.000000,1.000000  ,28.620000 ,100.000000,0.260000  ,0.166591  ,0.016758  ,1.242109  
138.000000,1.000000  ,28.580000 ,100.000000,0.260000  ,0.189408  ,0.018116  ,1.242656  
139.000000,1.000000  ,28.580000 ,100.000000,0.260000  ,0.155698  ,0.016101  ,1.238677  
140.000000,1.000000  ,28.640000 ,100.000000,0.260000  ,0.164554  ,0.018296  ,1.246257  
141.000000,1.000000  ,28.600000 ,100.000000,0.280000  ,0.178094  ,0.017128  ,1.244374  
142.000000,1.000000  ,28.600000 ,100.000000,0.280000  ,0.199959  ,0.016818  ,1.236971  
143.000000,1.000000  ,28.620000 ,100.000000,0.280000  ,0.182275  ,0.018358  ,1.267317  
144.000000,1.000000  ,28.620000 ,100.000000,0.280000  ,0.187069  ,0.016889  ,1.253348  
145.000000,1.000000  ,28.580000 ,100.000000,0.280000  ,0.178158  ,0.017095  ,1.243357  
146.000000,1.000000  ,28.660000 ,100.000000,0.280000  ,0.198089  ,0.017973  ,1.260651  
147.000000,1.000000  ,28.600000 ,100.000000,0.280000  ,0.188324  ,0.017420  ,1.250224  
148.000000,1.000000  ,28.560000 ,100.000000,0.280000  ,0.172841  ,0.016321  ,1.249473  
149.000000,1.000000  ,28.620000 ,100.000000,0.280000  ,0.216057  ,0.017220  ,1.274284  
150.000000,1.000000  ,28.600000 ,100.000000,0.280000  ,0.184146  ,0.017692  ,1.250096  
151.000000,1.000000  ,28.640000 ,100.000000,0.300000  ,0.213935  ,0.017362  ,1.239009  
152.000000,1.000000  ,28.620000 ,100.000000,0.300000  ,0.183986  ,0.018263  ,1.245033  
153.000000,1.000000  ,28.580000 ,100.000000,0.300000  ,0.247712  ,0.016372  ,1.243372  
154.000000,1.000000  ,28.580000 ,100.000000,0.300000  ,0.177841  ,0.015999  ,1.244231  
