# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,25.940000 ,100.000000,0.000000  ,0.000000  ,0.030484  ,1.060033  
2.000000  ,0.000000  ,17.440000 ,68.270000 ,10.000000 ,0.000000  ,0.018518  ,0.707606  
3.000000  ,0.000000  ,9.800000  ,37.600000 ,20.000000 ,0.000000  ,0.023858  ,0.402951  
4.000000  ,0.000000  ,4.400000  ,18.330000 ,30.000000 ,0.000000  ,0.007545  ,0.184506  
5.000000  ,0.000000  ,3.080000  ,11.750000 ,40.000000 ,0.000000  ,0.006942  ,0.128664  
6.000000  ,0.000000  ,1.420000  ,4.350000  ,50.000000 ,0.000000  ,0.002348  ,0.057591  
7.000000  ,0.000000  ,1.320000  ,4.000000  ,60.000000 ,0.000000  ,0.002247  ,0.053883  
8.000000  ,0.000000  ,2.540000  ,6.580000  ,70.000000 ,0.000000  ,0.005734  ,0.104720  
9.000000  ,0.000000  ,2.180000  ,5.990000  ,80.000000 ,0.000000  ,0.004390  ,0.088764  
10.000000 ,0.000000  ,1.300000  ,3.880000  ,90.000000 ,0.000000  ,0.003259  ,0.052886  
