# lap_count, lap_success, laptime, completion, lfd_constant, lookahead dist, aveTrackErr, Computation_time
1.000000  ,0.000000  ,1.120000  ,2.820000  ,0.000000  ,0.400000  ,0.005867  ,0.046875  
2.000000  ,0.000000  ,3.540000  ,9.640000  ,0.050000  ,0.450000  ,0.013439  ,0.150148  
3.000000  ,0.000000  ,2.160000  ,7.760000  ,0.100000  ,0.500000  ,0.003372  ,0.091755  
4.000000  ,0.000000  ,3.800000  ,15.040000 ,0.150000  ,0.550000  ,0.011132  ,0.163635  
5.000000  ,0.000000  ,5.460000  ,20.680000 ,0.200000  ,0.600000  ,0.013279  ,0.239638  
6.000000  ,0.000000  ,8.700000  ,35.840000 ,0.250000  ,0.500428  ,0.009042  ,0.365023  
7.000000  ,0.000000  ,9.740000  ,37.960000 ,0.300000  ,0.527259  ,0.016123  ,0.408906  
8.000000  ,1.000000  ,25.940000 ,100.000000,0.350000  ,0.750000  ,0.026720  ,1.082606  
9.000000  ,1.000000  ,25.500000 ,100.000000,0.400000  ,0.800000  ,0.028331  ,1.057924  
10.000000 ,1.000000  ,25.540000 ,100.000000,0.450000  ,0.850000  ,0.029496  ,1.066684  
11.000000 ,0.000000  ,18.060000 ,71.210000 ,0.500000  ,0.872002  ,0.021360  ,0.751605  
12.000000 ,0.000000  ,18.500000 ,71.210000 ,0.550000  ,0.922002  ,0.023514  ,0.773681  
13.000000 ,0.000000  ,18.500000 ,71.210000 ,0.600000  ,0.972002  ,0.025231  ,0.772123  
14.000000 ,0.000000  ,18.500000 ,71.210000 ,0.650000  ,1.022002  ,0.026411  ,0.774374  
15.000000 ,0.000000  ,18.520000 ,71.330000 ,0.700000  ,1.071220  ,0.027767  ,0.774448  
16.000000 ,0.000000  ,18.560000 ,71.330000 ,0.750000  ,1.121220  ,0.029925  ,0.778042  
17.000000 ,0.000000  ,18.520000 ,71.210000 ,0.800000  ,1.172002  ,0.031299  ,0.784900  
18.000000 ,0.000000  ,18.600000 ,71.330000 ,0.850000  ,1.221220  ,0.032800  ,0.776240  
19.000000 ,0.000000  ,1.480000  ,4.700000  ,0.900000  ,1.300000  ,0.002860  ,0.062834  
20.000000 ,0.000000  ,1.480000  ,4.700000  ,0.950000  ,1.350000  ,0.002983  ,0.062833  
21.000000 ,0.000000  ,1.480000  ,4.700000  ,1.000000  ,1.400000  ,0.003028  ,0.061835  
22.000000 ,0.000000  ,1.480000  ,4.700000  ,1.050000  ,1.450000  ,0.003133  ,0.061835  
23.000000 ,0.000000  ,1.420000  ,4.350000  ,1.100000  ,1.500000  ,0.003092  ,0.059840  
24.000000 ,0.000000  ,1.420000  ,4.350000  ,1.150000  ,1.550000  ,0.003235  ,0.062832  
25.000000 ,0.000000  ,1.420000  ,4.350000  ,1.200000  ,1.600000  ,0.003261  ,0.060838  
26.000000 ,0.000000  ,1.540000  ,4.230000  ,1.250000  ,1.650000  ,0.003710  ,0.065824  
27.000000 ,0.000000  ,1.540000  ,4.350000  ,1.300000  ,1.700000  ,0.003767  ,0.066821  
28.000000 ,0.000000  ,1.420000  ,4.350000  ,1.350000  ,1.750000  ,0.003397  ,0.060837  
29.000000 ,0.000000  ,1.540000  ,4.350000  ,1.400000  ,1.800000  ,0.003835  ,0.064826  
30.000000 ,0.000000  ,1.540000  ,4.350000  ,1.450000  ,1.850000  ,0.003911  ,0.064826  
31.000000 ,0.000000  ,1.540000  ,4.350000  ,1.500000  ,1.900000  ,0.003989  ,0.062870  
32.000000 ,0.000000  ,1.540000  ,4.350000  ,1.550000  ,1.950000  ,0.004075  ,0.063831  
33.000000 ,0.000000  ,1.520000  ,4.350000  ,1.600000  ,2.000000  ,0.004100  ,0.063829  
34.000000 ,0.000000  ,1.740000  ,4.580000  ,1.650000  ,2.050000  ,0.004855  ,0.072805  
35.000000 ,0.000000  ,1.360000  ,4.230000  ,1.700000  ,2.100000  ,0.003887  ,0.056825  
36.000000 ,0.000000  ,1.360000  ,4.230000  ,1.750000  ,2.150000  ,0.003935  ,0.055850  
37.000000 ,0.000000  ,1.480000  ,4.580000  ,1.800000  ,2.200000  ,0.004310  ,0.061834  
38.000000 ,0.000000  ,1.400000  ,4.350000  ,1.850000  ,2.250000  ,0.004131  ,0.058842  
39.000000 ,0.000000  ,1.480000  ,4.580000  ,1.900000  ,2.300000  ,0.004397  ,0.061834  
40.000000 ,0.000000  ,1.540000  ,4.580000  ,1.950000  ,2.350000  ,0.004592  ,0.063828  
41.000000 ,0.000000  ,1.540000  ,4.580000  ,2.000000  ,2.400000  ,0.004630  ,0.063829  
42.000000 ,0.000000  ,1.640000  ,4.700000  ,2.050000  ,2.450000  ,0.004939  ,0.067819  
43.000000 ,0.000000  ,1.420000  ,4.470000  ,2.100000  ,2.500000  ,0.004445  ,0.057846  
44.000000 ,0.000000  ,1.460000  ,4.700000  ,2.150000  ,2.550000  ,0.004581  ,0.059839  
45.000000 ,0.000000  ,1.420000  ,4.470000  ,2.200000  ,2.600000  ,0.004587  ,0.058842  
46.000000 ,0.000000  ,1.460000  ,4.700000  ,2.250000  ,2.650000  ,0.004784  ,0.059840  
47.000000 ,0.000000  ,1.460000  ,4.700000  ,2.300000  ,2.700000  ,0.004804  ,0.060837  
48.000000 ,0.000000  ,1.460000  ,4.700000  ,2.350000  ,2.750000  ,0.004931  ,0.062831  
49.000000 ,0.000000  ,1.480000  ,4.820000  ,2.400000  ,2.800000  ,0.005127  ,0.061835  
50.000000 ,0.000000  ,1.480000  ,4.820000  ,2.450000  ,2.850000  ,0.005213  ,0.062832  
