# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,28.980000 ,100.000000,0.000000  ,0.000000  ,0.007717  ,1.053342  
2.000000  ,1.000000  ,28.600000 ,100.000000,10.000000 ,0.000000  ,0.007572  ,1.051405  
3.000000  ,1.000000  ,28.580000 ,100.000000,20.000000 ,0.000000  ,0.007623  ,1.089216  
4.000000  ,1.000000  ,28.720000 ,100.000000,30.000000 ,0.000000  ,0.008871  ,1.059804  
5.000000  ,0.000000  ,26.660000 ,89.350000 ,40.000000 ,0.000000  ,0.014033  ,1.017546  
6.000000  ,0.000000  ,21.160000 ,73.150000 ,50.000000 ,0.000000  ,0.007667  ,0.783684  
7.000000  ,0.000000  ,6.320000  ,24.770000 ,60.000000 ,0.000000  ,0.002745  ,0.243331  
8.000000  ,0.000000  ,5.700000  ,21.990000 ,70.000000 ,0.000000  ,0.005019  ,0.236688  
9.000000  ,0.000000  ,3.180000  ,11.000000 ,80.000000 ,0.000000  ,0.002395  ,0.136863  
10.000000 ,0.000000  ,2.380000  ,8.220000  ,90.000000 ,0.000000  ,0.001339  ,0.100753  
