# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,25.940000 ,100.000000,0.000000  ,0.215713  ,0.030484  ,1.044294  
2.000000  ,1.000000  ,25.520000 ,100.000000,0.000000  ,0.215885  ,0.029512  ,1.030156  
3.000000  ,1.000000  ,25.540000 ,100.000000,0.000000  ,0.209674  ,0.029816  ,1.030182  
4.000000  ,1.000000  ,25.520000 ,100.000000,0.000000  ,0.213945  ,0.029800  ,1.032379  
5.000000  ,1.000000  ,25.520000 ,100.000000,0.000000  ,0.213701  ,0.029300  ,1.028173  
6.000000  ,0.000000  ,17.480000 ,68.510000 ,0.000000  ,0.212090  ,0.018308  ,0.703274  
7.000000  ,1.000000  ,25.940000 ,100.000000,0.000000  ,0.215713  ,0.030453  ,1.055667  
8.000000  ,1.000000  ,25.520000 ,100.000000,0.000000  ,0.215885  ,0.029512  ,1.031581  
9.000000  ,1.000000  ,25.540000 ,100.000000,0.000000  ,0.209674  ,0.029816  ,1.029042  
10.000000 ,1.000000  ,25.520000 ,100.000000,0.000000  ,0.213945  ,0.029800  ,1.032274  
11.000000 ,1.000000  ,25.520000 ,100.000000,0.020000  ,0.213701  ,0.029300  ,1.026238  
12.000000 ,1.000000  ,25.540000 ,100.000000,0.020000  ,0.222572  ,0.029884  ,1.024829  
13.000000 ,0.000000  ,18.180000 ,69.210000 ,0.020000  ,1.007018  ,0.024876  ,0.735428  
14.000000 ,0.000000  ,18.560000 ,69.210000 ,0.020000  ,0.984766  ,0.024920  ,0.752156  
15.000000 ,0.000000  ,17.900000 ,68.510000 ,0.020000  ,0.208203  ,0.019413  ,0.730613  
16.000000 ,1.000000  ,25.920000 ,100.000000,0.020000  ,0.216246  ,0.030495  ,1.039190  
17.000000 ,1.000000  ,25.540000 ,100.000000,0.020000  ,0.223447  ,0.029742  ,1.018889  
18.000000 ,0.000000  ,18.040000 ,69.100000 ,0.020000  ,0.906339  ,0.022035  ,0.723008  
19.000000 ,0.000000  ,18.480000 ,69.210000 ,0.020000  ,0.918349  ,0.023570  ,0.748067  
20.000000 ,1.000000  ,25.940000 ,100.000000,0.020000  ,0.215495  ,0.030290  ,1.046005  
21.000000 ,1.000000  ,25.520000 ,100.000000,0.040000  ,0.224453  ,0.029650  ,1.024930  
22.000000 ,0.000000  ,17.460000 ,68.390000 ,0.040000  ,0.225776  ,0.019048  ,0.701725  
23.000000 ,0.000000  ,17.900000 ,68.510000 ,0.040000  ,0.218226  ,0.019937  ,0.721381  
24.000000 ,1.000000  ,25.940000 ,100.000000,0.040000  ,0.225319  ,0.030726  ,1.041927  
25.000000 ,0.000000  ,17.480000 ,68.510000 ,0.040000  ,0.225904  ,0.018671  ,0.706154  
26.000000 ,1.000000  ,25.940000 ,100.000000,0.040000  ,0.219219  ,0.030634  ,1.043591  
27.000000 ,1.000000  ,25.520000 ,100.000000,0.040000  ,0.237135  ,0.029810  ,1.023383  
28.000000 ,0.000000  ,17.460000 ,68.390000 ,0.040000  ,0.228784  ,0.018812  ,0.699934  
29.000000 ,1.000000  ,25.940000 ,100.000000,0.040000  ,0.217981  ,0.030577  ,1.041940  
30.000000 ,0.000000  ,17.460000 ,68.390000 ,0.040000  ,0.218463  ,0.018355  ,0.699121  
