# lap_count, lap_success, laptime, completion, v_gain, lookahead dist, aveTrackErr, Computation_time
1.000000  ,0.000000  ,3.540000  ,9.640000  ,0.000000  ,0.450000  ,0.013470  ,0.152529  
2.000000  ,0.000000  ,2.840000  ,10.690000 ,0.010000  ,0.530000  ,0.005907  ,0.123669  
3.000000  ,0.000000  ,5.920000  ,25.260000 ,0.020000  ,0.576355  ,0.005616  ,0.257381  
4.000000  ,1.000000  ,25.960000 ,100.000000,0.030000  ,0.690000  ,0.026019  ,1.089593  
5.000000  ,0.000000  ,17.440000 ,68.390000 ,0.040000  ,0.770000  ,0.016756  ,0.731052  
6.000000  ,1.000000  ,25.940000 ,100.000000,0.050000  ,0.850000  ,0.030453  ,1.084111  
7.000000  ,0.000000  ,18.080000 ,71.210000 ,0.060000  ,0.896403  ,0.021812  ,0.759620  
8.000000  ,0.000000  ,18.480000 ,71.090000 ,0.070000  ,0.972114  ,0.024761  ,0.773496  
9.000000  ,0.000000  ,18.520000 ,71.330000 ,0.080000  ,1.043952  ,0.026940  ,0.775794  
10.000000 ,0.000000  ,18.520000 ,71.210000 ,0.090000  ,1.119604  ,0.029031  ,0.771439  
11.000000 ,0.000000  ,18.520000 ,71.210000 ,0.100000  ,1.194005  ,0.030359  ,0.774360  
12.000000 ,0.000000  ,1.480000  ,4.700000  ,0.110000  ,1.330000  ,0.002901  ,0.061866  
13.000000 ,0.000000  ,1.420000  ,4.470000  ,0.120000  ,1.410000  ,0.002949  ,0.058813  
14.000000 ,0.000000  ,1.480000  ,4.700000  ,0.130000  ,1.490000  ,0.003248  ,0.063829  
15.000000 ,0.000000  ,1.540000  ,4.230000  ,0.140000  ,1.570000  ,0.003601  ,0.063829  
16.000000 ,0.000000  ,1.540000  ,4.230000  ,0.150000  ,1.650000  ,0.003710  ,0.063829  
17.000000 ,0.000000  ,1.360000  ,4.230000  ,0.160000  ,1.730000  ,0.003169  ,0.056848  
18.000000 ,0.000000  ,1.540000  ,4.350000  ,0.170000  ,1.810000  ,0.003873  ,0.064826  
19.000000 ,0.000000  ,1.540000  ,4.350000  ,0.180000  ,1.890000  ,0.003986  ,0.063829  
20.000000 ,0.000000  ,1.520000  ,4.350000  ,0.190000  ,1.970000  ,0.004050  ,0.065823  
21.000000 ,0.000000  ,1.740000  ,4.580000  ,0.200000  ,2.050000  ,0.004855  ,0.072806  
22.000000 ,0.000000  ,1.360000  ,4.230000  ,0.210000  ,2.130000  ,0.003935  ,0.056848  
23.000000 ,0.000000  ,1.480000  ,4.580000  ,0.220000  ,2.210000  ,0.004310  ,0.060837  
24.000000 ,0.000000  ,1.400000  ,4.350000  ,0.230000  ,2.290000  ,0.004131  ,0.057845  
25.000000 ,0.000000  ,1.540000  ,4.580000  ,0.240000  ,2.370000  ,0.004669  ,0.063804  
26.000000 ,0.000000  ,1.640000  ,4.700000  ,0.250000  ,2.450000  ,0.004939  ,0.066821  
27.000000 ,0.000000  ,1.460000  ,4.700000  ,0.260000  ,2.530000  ,0.004581  ,0.060837  
28.000000 ,0.000000  ,1.460000  ,4.700000  ,0.270000  ,2.610000  ,0.004682  ,0.059843  
29.000000 ,0.000000  ,1.460000  ,4.700000  ,0.280000  ,2.690000  ,0.004815  ,0.059840  
30.000000 ,0.000000  ,1.460000  ,4.700000  ,0.290000  ,2.770000  ,0.004931  ,0.059841  
31.000000 ,0.000000  ,1.480000  ,4.820000  ,0.300000  ,2.850000  ,0.005213  ,0.060828  
32.000000 ,0.000000  ,1.500000  ,4.820000  ,0.310000  ,2.930000  ,0.005461  ,0.061834  
33.000000 ,0.000000  ,1.580000  ,5.170000  ,0.320000  ,3.010000  ,0.005877  ,0.064829  
34.000000 ,0.000000  ,1.580000  ,5.170000  ,0.330000  ,3.090000  ,0.006047  ,0.065332  
35.000000 ,0.000000  ,1.580000  ,5.290000  ,0.340000  ,3.170000  ,0.006446  ,0.064826  
36.000000 ,0.000000  ,1.840000  ,5.410000  ,0.350000  ,3.250000  ,0.007324  ,0.075306  
37.000000 ,0.000000  ,1.780000  ,5.520000  ,0.360000  ,3.330000  ,0.007458  ,0.074308  
38.000000 ,0.000000  ,1.780000  ,5.520000  ,0.370000  ,3.410000  ,0.007834  ,0.073803  
39.000000 ,0.000000  ,1.660000  ,5.640000  ,0.380000  ,3.490000  ,0.008143  ,0.068816  
40.000000 ,0.000000  ,1.760000  ,5.990000  ,0.390000  ,3.570000  ,0.008795  ,0.072806  
41.000000 ,0.000000  ,1.820000  ,6.110000  ,0.400000  ,3.650000  ,0.009356  ,0.075797  
42.000000 ,0.000000  ,1.820000  ,6.110000  ,0.410000  ,3.730000  ,0.009353  ,0.075797  
43.000000 ,0.000000  ,1.820000  ,6.110000  ,0.420000  ,3.810000  ,0.009356  ,0.075797  
44.000000 ,0.000000  ,1.760000  ,6.110000  ,0.430000  ,3.890000  ,0.009191  ,0.073803  
45.000000 ,0.000000  ,1.920000  ,6.460000  ,0.440000  ,3.970000  ,0.009911  ,0.079787  
46.000000 ,0.000000  ,1.920000  ,6.460000  ,0.450000  ,4.050000  ,0.009980  ,0.080745  
47.000000 ,0.000000  ,1.920000  ,6.460000  ,0.460000  ,4.130000  ,0.010022  ,0.079787  
48.000000 ,0.000000  ,1.940000  ,6.930000  ,0.470000  ,4.210000  ,0.010231  ,0.082779  
49.000000 ,0.000000  ,1.940000  ,6.930000  ,0.480000  ,4.290000  ,0.010231  ,0.081289  
50.000000 ,0.000000  ,1.920000  ,6.820000  ,0.490000  ,4.370000  ,0.010171  ,0.081073  
